elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.584,0.0,0.0,0.0,0.0,0.0,0.2094,0.0,12.0,0.2094,1.5,0.0,0.52,0.52,straight,False
0.877,0.2945,0.039,-0.2337,0.0,0.0,0.2094,0.2971,4.464,0.0779,1.2029,0.0,0.8214,0.8214,straight,False
1.175,0.3383,0.0285,-0.2337,0.0,0.0,0.2094,0.3395,7.177,0.1253,1.1605,0.0,0.7129,0.7129,straight,False
1.378,0.3918,0.0158,-0.2337,0.0,0.0,0.2094,0.3921,9.69,0.1691,1.1079,0.0,0.6124,0.6124,straight,False
1.675,0.5085,-0.012,-0.2337,0.0,0.0,0.2094,0.5087,13.35,0.233,0.9913,0.0087,0.466,0.4747,straight,True
1.98,0.6539,-0.0466,-0.2337,0.0,0.0,0.2094,0.6555,16.075,0.2806,0.8445,0.1555,0.357,0.5126,fast_straight,True
2.281,0.8053,-0.0826,-0.2337,0.0,0.0,0.2094,0.8095,17.858,0.3117,0.6905,0.3095,0.2857,0.5952,fast_straight,True
2.575,0.9798,-0.1242,-0.2337,0.0,0.0,0.2094,0.9876,19.222,0.3355,0.5124,0.4876,0.2311,0.7187,fast_straight,True
2.882,1.1549,-0.1658,-0.2337,0.0395,0.0084,0.2094,1.1289,20.879,0.3644,0.3711,0.6289,0.1648,0.7937,fast_left,True
3.174,1.3246,-0.2061,-0.2281,0.1566,0.0333,0.2094,1.1923,23.583,0.4116,0.3077,0.6923,0.0567,0.749,fast_left,True
3.374,1.4173,-0.2267,-0.2031,0.2348,0.0499,0.2094,1.2144,25.168,0.4393,0.2856,0.7144,-0.0067,0.7077,fast_straight,True
3.574,1.5005,-0.2422,-0.1593,0.3131,0.0665,0.2094,1.2269,26.578,0.4639,0.2731,0.7269,-0.0631,0.6638,fast_straight,True
3.781,1.5985,-0.2562,-0.1243,0.3915,0.0832,0.2094,1.2537,27.707,0.4836,0.2463,0.7537,-0.1083,0.6455,fast_left,True
4.084,1.7688,-0.2754,-0.0981,0.5088,0.1081,0.2094,1.3171,28.929,0.5049,0.1829,0.8171,-0.1572,0.6599,fast_right,True
4.385,1.9054,-0.2858,-0.0493,0.6263,0.1331,0.2094,1.346,30.136,0.526,0.154,0.846,-0.2054,0.6405,fast_straight,True
4.682,2.0369,-0.2909,-0.0337,0.7437,0.1581,0.2094,1.3689,31.146,0.5436,0.1311,0.8689,-0.2458,0.6231,fast_straight,True
4.984,2.2058,-0.2966,-0.0337,0.861,0.183,0.2094,1.4277,31.628,0.552,0.0723,0.9277,-0.2651,0.6626,fast_left,True
5.286,2.3801,-0.3023,-0.0281,0.9784,0.208,0.2094,1.4916,32.005,0.5586,0.0084,0.9916,-0.2802,0.7114,fast_left,True
5.485,2.4751,-0.3041,-0.0031,1.0567,0.2246,0.2094,1.5137,32.445,0.5663,0.0137,0.9863,-0.2978,0.6885,fast_left,True
5.776,2.601,-0.3006,0.0719,1.1739,0.2495,0.2094,1.5295,33.08,0.5773,0.0295,0.9705,-0.3232,0.6474,fast_left,True
6.078,2.7259,-0.285,0.1919,1.2913,0.2745,0.2094,1.5399,33.303,0.5812,0.0399,0.9601,-0.3321,0.628,fast_left,True
6.376,2.8476,-0.2524,0.3413,1.4086,0.2994,0.2094,1.5411,32.982,0.5757,0.0411,0.9589,-0.3193,0.6396,fast_left,True
6.585,2.9253,-0.2208,0.4413,1.487,0.3161,0.2094,1.5353,32.469,0.5667,0.0353,0.9647,-0.2988,0.666,right,True
6.876,3.0304,-0.1623,0.5857,1.6043,0.341,0.2094,1.5124,31.437,0.5487,0.0124,0.9876,-0.2575,0.7302,fast_right,True
7.183,3.1191,-0.0962,0.6907,1.7218,0.366,0.2094,1.4718,30.303,0.5289,0.0282,0.9718,-0.2121,0.7597,fast_right,True
