elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.397,1.5,0.0,0.2094,0.0,0.0,0.2094,1.5,12.0,0.2094,0.0,1.0,0.52,1.52,fast_left,True
0.697,1.5055,0.0012,0.215,0.0,0.0,0.2094,1.5055,11.955,0.2087,0.0055,0.9945,0.5218,1.5163,fast_left,True
0.999,1.5492,0.0117,0.26,0.0,0.0,0.2094,1.5493,11.568,0.2019,0.0493,0.9507,0.5373,1.488,fast_left,True
1.302,1.6351,0.0384,0.35,0.0,0.0,0.2094,1.6356,10.653,0.1859,0.1356,0.8644,0.5739,1.4383,fast_left,True
1.596,1.7488,0.0878,0.4844,0.0,0.0,0.2094,1.751,9.124,0.1592,0.251,0.749,0.635,1.3841,fast_left,True
1.896,1.8558,0.1541,0.6344,0.0,0.0,0.2094,1.8622,7.253,0.1266,0.3622,0.6378,0.7099,1.3477,fast_left,True
2.199,1.9517,0.2356,0.7844,0.0,0.0,0.2094,1.9659,5.116,0.0893,0.4659,0.5341,0.7954,1.3295,fast_straight,True
2.497,2.0379,0.3349,0.9288,0.0,0.0,0.2094,2.0653,2.668,0.0466,0.5653,0.4837,0.8933,1.377,right,True
2.796,2.1267,0.4677,1.0338,0.0001,0.0,0.2094,2.1774,0.403,0.007,0.6774,0.4556,0.9839,1.4395,right,True
3.102,2.1879,0.5778,1.0938,0.1176,0.025,0.2094,2.1428,2.951,0.0515,0.6428,0.4643,0.882,1.3463,right,True
3.402,2.2351,0.6716,1.1088,0.2351,0.05,0.2094,2.0944,5.267,0.0919,0.5944,0.4764,0.7893,1.2657,right,True
3.697,2.2828,0.7651,1.0788,0.3523,0.0749,0.2094,2.0502,7.674,0.1339,0.5502,0.4874,0.693,1.1805,right,True
4.0,2.3353,0.8561,1.0038,0.4697,0.0998,0.2094,2.013,10.065,0.1757,0.513,0.4967,0.5974,1.0941,fast_right,True
4.313,2.3996,0.9459,0.8838,0.5872,0.1248,0.2094,1.9898,12.373,0.2159,0.4898,0.5102,0.5051,1.0153,right,True
4.603,2.482,1.0336,0.7344,0.7044,0.1497,0.2094,1.9852,14.439,0.252,0.4852,0.5148,0.4225,0.9373,fast_right,True
4.907,2.5691,1.1015,0.5844,0.8219,0.1747,0.2094,1.9778,15.944,0.2783,0.4778,0.5222,0.3623,0.8844,fast_right,True
5.206,2.6787,1.1635,0.4344,0.9393,0.1997,0.2094,1.9886,16.99,0.2965,0.4886,0.5114,0.3204,0.8318,fast_right,True
5.506,2.7964,1.2083,0.2844,1.0566,0.2246,0.2094,1.9986,17.486,0.3052,0.4986,0.5014,0.3006,0.802,fast_right,True
5.808,2.9194,1.2351,0.1344,1.1741,0.2496,0.2094,2.0043,17.453,0.3046,0.5043,0.4989,0.3019,0.8008,fast_right,True
6.097,3.045,1.2432,-0.0156,1.2913,0.2745,0.2094,2.0035,16.916,0.2952,0.5035,0.4991,0.3234,0.8225,fast_right,True
6.406,3.1704,1.2324,-0.1656,1.4088,0.2995,0.2094,1.9934,15.907,0.2776,0.4934,0.5066,0.3637,0.8703,fast_right,True
6.701,3.2928,1.2031,-0.3156,1.5261,0.3244,0.2094,1.9732,14.443,0.2521,0.4732,0.5268,0.4223,0.9491,fast_right,True
7.005,3.4094,1.1557,-0.4656,1.6435,0.3493,0.2094,1.9413,12.543,0.2189,0.4413,0.5587,0.4983,1.057,fast_left,True
7.307,3.5177,1.0915,-0.61,1.7609,0.3743,0.2094,1.8976,10.208,0.1782,0.3976,0.6024,0.5917,1.1941,fast_left,True
7.608,3.617,1.0141,-0.715,1.8784,0.3993,0.2094,1.8441,7.474,0.1304,0.3441,0.6559,0.701,1.3569,fast_left,True
7.901,3.7095,0.9285,-0.775,1.9956,0.4075,-0.2094,1.7914,28.908,0.5045,0.2914,0.7086,-0.1563,0.5523,fast_right,True
8.107,3.769,0.8692,-0.7912,2.0739,0.3908,-0.2094,1.7613,27.76,0.4845,0.2613,0.7387,-0.1104,0.6283,fast_right,True
8.472,3.856,0.7781,-0.8362,2.1912,0.3659,-0.2094,1.715,25.907,0.4522,0.215,0.785,-0.0363,0.7487,fast_straight,True
8.627,3.856,0.7781,-0.8362,2.2302,0.3576,-0.2094,1.6793,26.501,0.4625,0.1793,0.8207,-0.06,0.7607,fast_straight,True
