elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.844,0.3994,0.2688,0.2439,0.0,0.0,0.2094,0.4815,21.941,0.3829,1.0185,0.0,0.1223,0.1223,straight,False
1.063,0.4006,0.2691,0.2439,0.0,0.0,0.2094,0.4826,21.893,0.3821,1.0174,0.0,0.1243,0.1243,straight,False
1.363,0.4326,0.2771,0.2439,0.0,0.0,0.2094,0.5137,20.639,0.3602,0.9863,0.0137,0.1745,0.1882,straight,True
1.563,0.4782,0.2884,0.2439,0.0,0.0,0.2094,0.5585,19.095,0.3333,0.9415,0.0585,0.2362,0.2947,straight,True
1.864,0.583,0.3145,0.2439,0.0,0.0,0.2094,0.6624,16.344,0.2853,0.8376,0.1624,0.3462,0.5087,fast_right,True
2.163,0.7191,0.3483,0.2383,0.0,0.0,0.2094,0.799,13.841,0.2416,0.701,0.299,0.4464,0.7454,fast_right,True
2.363,0.8009,0.3673,0.2133,0.0392,0.0083,0.2094,0.842,13.234,0.231,0.658,0.342,0.4706,0.8127,fast_right,True
2.564,0.8833,0.3836,0.1683,0.1175,0.025,0.2094,0.8456,13.09,0.2285,0.6544,0.3456,0.4764,0.822,fast_right,True
2.863,1.0083,0.399,0.0633,0.2349,0.0499,0.2094,0.8486,12.291,0.2145,0.6514,0.3486,0.5083,0.8569,fast_straight,True
3.063,1.0929,0.4009,-0.0305,0.3131,0.0666,0.2094,0.8484,11.207,0.1956,0.6516,0.3484,0.5517,0.9001,fast_left,True
3.264,1.1904,0.3939,-0.1155,0.3913,0.0832,0.2094,0.8573,9.248,0.1614,0.6427,0.3573,0.6301,0.9874,fast_left,True
3.563,1.3203,0.3729,-0.2055,0.5087,0.1081,0.2094,0.8537,6.071,0.106,0.6463,0.3537,0.7571,1.1108,fast_left,True
3.764,1.4022,0.3544,-0.2405,0.587,0.1248,0.2094,0.8469,3.73,0.0651,0.6531,0.3469,0.8508,1.1977,fast_left,True
4.07,1.5242,0.323,-0.2555,0.7044,0.1497,0.2094,0.838,0.063,0.0011,0.662,0.338,0.9975,1.3355,fast_left,True
4.368,1.6464,0.2924,-0.2255,0.8218,0.1747,0.2094,0.833,3.872,0.0676,0.667,0.333,0.8451,1.1781,fast_left,True
4.664,1.77,0.2681,-0.1505,0.9391,0.1996,0.2094,0.8338,7.286,0.1272,0.6662,0.3338,0.7086,1.0423,fast_left,True
4.866,1.8534,0.2582,-0.0755,1.0174,0.2162,0.2094,0.8371,9.127,0.1593,0.6629,0.3371,0.6349,0.9721,fast_left,True
5.174,1.9793,0.257,0.0689,1.1349,0.2412,0.2094,0.8446,10.933,0.1908,0.6554,0.3446,0.5627,0.9073,fast_left,True
5.465,2.104,0.2744,0.2189,1.2521,0.2661,0.2094,0.8519,11.446,0.1998,0.6481,0.3519,0.5421,0.8941,fast_left,True
5.665,2.185,0.2963,0.3189,1.3304,0.2828,0.2094,0.8548,11.095,0.1936,0.6452,0.3548,0.5562,0.911,fast_left,True
6.043,2.3015,0.344,0.4689,1.4478,0.3077,0.2094,0.8545,9.568,0.167,0.6455,0.3545,0.6173,0.9718,fast_left,True
6.198,2.3015,0.344,0.4689,1.4868,0.316,0.2094,0.8152,10.034,0.1751,0.6848,0.3152,0.5986,0.9138,fast_left,True
6.466,2.4757,0.4603,0.7189,1.6434,0.3493,0.2094,0.8396,4.402,0.0768,0.6604,0.3396,0.8239,1.1636,fast_right,True
6.765,2.5645,0.5496,0.8633,1.7607,0.3743,0.2094,0.8227,0.307,0.0054,0.6773,0.3227,0.9877,1.3104,fast_right,True
6.965,2.6168,0.6153,0.9383,1.839,0.3909,0.2094,0.8095,4.095,0.0715,0.6905,0.3095,0.8362,1.1457,fast_right,True
7.265,2.6872,0.7197,1.0133,1.9564,0.4158,-0.2094,0.7915,34.579,0.6035,0.7085,0.2915,-0.3832,-0.0916,fast_right,True
7.564,2.752,0.8278,1.0433,2.0737,0.3909,-0.2094,0.8068,44.79,0.7817,0.6932,0.3068,-0.7916,-0.4848,fast_right,True
7.765,2.7943,0.9004,1.0383,2.152,0.3742,-0.2094,0.8303,51.321,0.8957,0.6697,0.3303,-1.0,-0.6697,fast_right,False
7.965,2.8377,0.9723,1.0133,2.2303,0.3576,-0.2094,0.8642,57.345,1.0009,0.6358,0.3642,-1.0,-0.6358,fast_right,False
8.265,2.9076,1.0771,0.9383,2.3476,0.3326,-0.2094,0.9315,65.047,1.1353,0.5685,0.4315,-1.0,-0.5685,fast_right,False
8.465,2.9594,1.1432,0.8633,2.4259,0.316,-0.2094,0.9843,69.177,1.2074,0.5157,0.4843,-1.0,-0.5157,fast_right,False
8.768,3.0473,1.2333,0.7189,2.5433,0.291,-0.2094,1.0686,73.857,1.289,0.4314,0.5686,-1.0,-0.4314,fast_left,False
9.065,3.1476,1.3094,0.5745,2.6607,0.2661,-0.2094,1.1514,76.982,1.3436,0.3486,0.6514,-1.0,-0.3486,fast_straight,False
9.374,3.2617,1.3748,0.4695,2.7782,0.2411,-0.2094,1.2325,78.901,1.3771,0.2675,0.7325,-1.0,-0.2675,fast_left,False
9.665,3.4064,1.4425,0.4095,2.8954,0.2162,-0.2094,1.3286,79.378,1.3854,0.1714,0.8286,-1.0,-0.1714,fast_straight,False
9.965,3.5329,1.4958,0.3939,3.0128,0.1913,-0.2094,1.4044,80.265,1.4009,0.0956,0.9044,-1.0,-0.0956,fast_right,False
10.267,3.6805,1.557,0.3883,3.1302,0.1663,-0.2094,1.4956,80.414,1.4035,0.0044,0.9956,-1.0,-0.0044,fast_right,False
10.566,3.8031,1.6048,0.3433,3.2475,0.1414,-0.2094,1.5654,81.213,1.4174,0.0654,0.9346,-1.0,-0.0654,right,False
10.865,3.9178,1.6411,0.2533,3.3649,0.1164,-0.2094,1.6219,82.068,1.4324,0.1219,0.8781,-1.0,-0.1219,right,False
11.165,4.0208,1.6614,0.1189,3.4823,0.0915,-0.2094,1.6597,83.069,1.4498,0.1597,0.8403,-1.0,-0.1597,fast_right,False
11.473,4.1312,1.6665,-0.0311,3.5998,0.0665,-0.2094,1.6859,83.629,1.4596,0.1859,0.8141,-1.0,-0.1859,fast_left,False
11.764,4.2564,1.6539,-0.1755,3.717,0.0416,-0.2094,1.7001,83.503,1.4574,0.2001,0.7999,-1.0,-0.2001,left,False
12.065,4.3737,1.6268,-0.2805,3.8345,0.0166,-0.2094,1.6981,83.485,1.4571,0.1981,0.8019,-1.0,-0.1981,fast_left,False
12.265,4.4411,1.6058,-0.3255,3.9127,0.0,0.2094,1.6904,59.787,1.0435,0.1904,0.8096,-1.0,-0.1904,fast_left,False
12.465,4.5184,1.5785,-0.3505,3.991,0.0167,0.2094,1.6485,59.34,1.0357,0.1485,0.8515,-1.0,-0.1485,fast_left,False
12.79,4.6366,1.5348,-0.3505,4.1083,0.0416,0.2094,1.5839,58.518,1.0213,0.0839,0.9161,-1.0,-0.0839,fast_straight,False
13.065,4.7596,1.4922,-0.3139,4.2257,0.0666,0.2094,1.5223,57.469,1.003,0.0223,0.9777,-1.0,-0.0223,fast_left,False
13.366,4.9091,1.445,-0.2967,4.3431,0.0915,0.2094,1.467,55.306,0.9653,0.033,0.967,-1.0,-0.033,fast_left,False
13.665,5.0343,1.4093,-0.2457,4.4605,0.1165,0.2094,1.4145,54.065,0.9436,0.0855,0.9145,-1.0,-0.0855,fast_left,False
13.968,5.1577,1.3838,-0.1497,4.5779,0.1414,0.2094,1.371,52.982,0.9247,0.129,0.871,-1.0,-0.129,fast_left,False
14.265,5.2831,1.3727,-0.0107,4.6952,0.1663,0.2094,1.342,52.019,0.9079,0.158,0.842,-1.0,-0.158,fast_left,False
14.465,5.367,1.3756,0.0893,4.7734,0.183,0.2094,1.3322,51.541,0.8996,0.1678,0.8322,-1.0,-0.1678,fast_left,False
14.765,5.4913,1.3956,0.2393,4.8908,0.2079,0.2094,1.3308,51.179,0.8932,0.1692,0.8308,-1.0,-0.1692,fast_left,False
15.065,5.6112,1.4339,0.3893,5.0083,0.2329,0.2094,1.3438,51.342,0.8961,0.1562,0.8438,-1.0,-0.1562,fast_left,False
15.365,5.724,1.4897,0.5393,5.1256,0.2578,0.2094,1.3695,52.089,0.9091,0.1305,0.8695,-1.0,-0.1305,fast_straight,False
15.566,5.7945,1.5363,0.6387,5.2039,0.2745,0.2094,1.3933,52.916,0.9236,0.1067,0.8933,-1.0,-0.1067,fast_right,False
15.868,5.9054,1.6294,0.7587,5.3213,0.2994,0.2094,1.4526,54.29,0.9475,0.0474,0.9526,-1.0,-0.0474,right,False
16.176,5.99,1.7158,0.8337,5.4387,0.3244,0.2094,1.4967,56.388,0.9842,0.0033,0.9967,-1.0,-0.0033,fast_right,False
16.474,6.0628,1.7991,0.8637,5.5562,0.3494,0.2094,1.5357,58.736,1.0251,0.0357,0.9643,-1.0,-0.0357,fast_right,False
16.765,6.145,1.8946,0.8487,5.6734,0.3743,0.2094,1.5918,60.765,1.0606,0.0918,0.9082,-1.0,-0.0918,right,False
16.965,6.201,1.9564,0.8137,5.7517,0.3909,0.2094,1.6287,61.986,1.0819,0.1287,0.8713,-1.0,-0.1287,fast_right,False
17.264,6.2814,2.0351,0.7237,5.869,0.4158,-0.2094,1.671,87.709,1.5308,0.171,0.829,-1.0,-0.171,right,False
17.569,6.376,2.1095,0.5893,5.9865,0.3908,-0.2094,1.7623,89.231,1.5574,0.2623,0.7377,-1.0,-0.2623,fast_right,False
17.864,6.4721,2.1641,0.4393,6.1037,0.3659,-0.2094,1.8355,90.424,1.5782,0.3355,0.6645,-1.0,-0.3355,right,False
18.065,6.549,2.1961,0.3393,6.182,0.3493,-0.2094,1.883,90.76,1.5841,0.383,0.617,-1.0,-0.383,fast_right,False
18.371,6.6575,2.2259,0.1893,6.2994,0.3243,-0.2094,1.935,91.336,1.5941,0.435,0.565,-1.0,-0.435,right,False
18.665,6.7769,2.2405,0.0393,6.4168,0.2994,-0.2094,1.9743,91.489,1.5968,0.4743,0.5257,-1.0,-0.4743,fast_straight,False
18.864,6.8475,2.2401,-0.0601,6.495,0.2827,-0.2094,1.9888,91.792,1.6021,0.4888,0.5112,-1.0,-0.4888,fast_left,False
19.166,6.9723,2.2249,-0.1801,6.6124,0.2578,-0.2094,1.9998,91.632,1.5993,0.4998,0.5002,-1.0,-0.4998,fast_left,False
19.55,7.0953,2.1976,-0.2551,6.7299,0.2328,-0.2094,1.9985,91.465,1.5964,0.4985,0.5015,-1.0,-0.4985,fast_left,False
19.705,7.0953,2.1976,-0.2551,6.7689,0.2245,-0.2094,1.9999,92.608,1.6163,0.4999,0.5001,-1.0,-0.4999,fast_left,False
19.967,7.2972,2.1401,-0.2801,6.9254,0.1912,-0.2094,1.984,91.2,1.5917,0.484,0.516,-1.0,-0.484,fast_left,False
20.269,7.4189,2.1073,-0.2351,7.043,0.1663,-0.2094,1.9771,91.04,1.589,0.4771,0.5229,-1.0,-0.4771,fast_left,False
20.569,7.5424,2.0827,-0.1451,7.1602,0.1413,-0.2094,1.9786,90.862,1.5858,0.4786,0.5214,-1.0,-0.4786,left,False
20.867,7.6623,2.0721,-0.0107,7.2776,0.1164,-0.2094,1.9932,90.873,1.586,0.4932,0.5068,-1.0,-0.4932,fast_left,False
21.073,7.7328,2.0746,0.0893,7.3559,0.0997,-0.2094,2.0105,91.197,1.5917,0.5105,0.4974,-1.0,-0.5026,fast_straight,False
21.368,7.8606,2.0954,0.2337,7.4733,0.0748,-0.2094,2.0574,91.149,1.5909,0.5574,0.4857,-1.0,-0.5143,fast_right,False
21.664,8.0138,2.1405,0.3387,7.5905,0.0499,-0.2094,2.1331,90.554,1.5805,0.6331,0.4667,-1.0,-0.5333,fast_right,False
21.971,8.1365,2.188,0.3987,7.7081,0.0249,-0.2094,2.2052,90.797,1.5847,0.7052,0.4487,-1.0,-0.5513,fast_right,False
22.273,8.2521,2.2382,0.4137,7.8256,0.0001,0.2094,2.2784,67.212,1.1731,0.7784,0.4304,-1.0,-0.5696,fast_right,False
22.571,8.368,2.2877,0.3837,7.9428,0.025,0.2094,2.3022,67.359,1.1756,0.8022,0.4244,-1.0,-0.5756,fast_straight,False
22.864,8.4914,2.3331,0.3199,8.0601,0.0499,0.2094,2.3236,67.302,1.1746,0.8236,0.4191,-1.0,-0.5809,right,False
23.164,8.644,2.3805,0.2787,8.1774,0.0749,0.2094,2.3523,66.559,1.1617,0.8523,0.4119,-1.0,-0.5881,fast_right,False
23.468,8.7716,2.4128,0.2037,8.295,0.0999,0.2094,2.3615,66.358,1.1582,0.8615,0.4096,-1.0,-0.5904,fast_right,False
23.764,8.8961,2.4318,0.0837,8.4122,0.1248,0.2094,2.3572,66.154,1.1546,0.8572,0.4107,-1.0,-0.5893,fast_right,False
23.964,8.98,2.4351,-0.0157,8.4904,0.1414,0.2094,2.3453,65.952,1.1511,0.8453,0.4137,-1.0,-0.5863,fast_straight,False
24.165,9.0644,2.4299,-0.1151,8.5687,0.158,0.2094,2.3253,65.692,1.1465,0.8253,0.4187,-1.0,-0.5813,fast_left,False
24.467,9.2069,2.4048,-0.2351,8.6861,0.183,0.2094,2.282,64.809,1.1311,0.782,0.4295,-1.0,-0.5705,fast_left,False
24.764,9.3287,2.3705,-0.3101,8.8035,0.2079,0.2094,2.2255,64.348,1.1231,0.7255,0.4436,-1.0,-0.5564,fast_left,False
25.075,9.448,2.33,-0.3401,8.921,0.2329,0.2094,2.1622,63.894,1.1152,0.6622,0.4594,-1.0,-0.5406,fast_left,False
25.367,9.5669,2.2883,-0.3251,9.0383,0.2578,0.2094,2.0982,63.406,1.1066,0.5982,0.4755,-1.0,-0.5245,fast_left,False
25.664,9.6873,2.251,-0.2651,9.1555,0.2828,0.2094,2.0388,62.882,1.0975,0.5388,0.4903,-1.0,-0.5097,fast_left,False
25.873,9.7689,2.2312,-0.2001,9.2341,0.2995,0.2094,2.0044,62.525,1.0913,0.5044,0.4989,-1.0,-0.5011,fast_left,False
26.165,9.8936,2.2136,-0.0657,9.3512,0.3244,0.2094,1.9655,61.981,1.0818,0.4655,0.5345,-1.0,-0.4655,fast_left,False
26.364,9.9775,2.2118,0.0343,9.4295,0.341,0.2094,1.9494,61.673,1.0764,0.4494,0.5506,-1.0,-0.4494,fast_left,False
26.6,10.0612,2.2185,0.1343,9.5077,0.3576,0.2094,1.9414,61.435,1.0722,0.4414,0.5586,-1.0,-0.4414,fast_left,False
26.868,10.1845,2.244,0.2843,9.6251,0.3826,0.2094,1.9436,61.274,1.0694,0.4436,0.5564,-1.0,-0.4436,fast_straight,False
27.164,10.3077,2.2898,0.4287,9.7425,0.4075,0.2094,1.9653,61.285,1.0696,0.4653,0.5347,-1.0,-0.4653,fast_right,False
27.365,10.4041,2.3381,0.5037,9.8207,0.4075,-0.2094,2.0168,85.187,1.4868,0.5168,0.4958,-1.0,-0.5042,right,False
27.565,10.4895,2.3881,0.5587,9.899,0.3909,-0.2094,2.0827,85.528,1.4927,0.5827,0.4793,-1.0,-0.5207,fast_right,False
27.864,10.591,2.455,0.6037,10.0163,0.3659,-0.2094,2.1667,86.619,1.5118,0.6667,0.4583,-1.0,-0.5417,right,False
28.065,10.6595,2.5026,0.6087,10.0946,0.3493,-0.2094,2.2262,87.301,1.5237,0.7262,0.4434,-1.0,-0.5566,right,False
28.364,10.7479,2.5629,0.5787,10.212,0.3243,-0.2094,2.3019,88.537,1.5453,0.8019,0.4245,-1.0,-0.5755,right,False
28.664,10.8375,2.6176,0.5037,10.3293,0.2994,-0.2094,2.3732,89.636,1.5644,0.8732,0.4067,-1.0,-0.5933,right,False
28.864,10.8998,2.6494,0.4287,10.4076,0.2827,-0.2094,2.4173,90.25,1.5752,0.9173,0.3957,-1.0,-0.6043,right,False
29.064,10.9646,2.6758,0.3343,10.4858,0.2661,-0.2094,2.4568,90.762,1.5841,0.9568,0.3858,-1.0,-0.6142,fast_right,False
29.364,11.0714,2.7044,0.1843,10.6032,0.2412,-0.2094,2.5073,91.239,1.5924,1.0073,0.3732,-1.0,-0.6268,fast_right,False
29.564,11.1545,2.7161,0.0843,10.6815,0.2245,-0.2094,2.536,91.25,1.5926,1.036,0.366,-1.0,-0.634,fast_right,False
29.764,11.2384,2.7194,-0.0157,10.7597,0.2079,-0.2094,2.5567,91.208,1.5919,1.0567,0.3608,-1.0,-0.6392,fast_right,False
30.064,11.3638,2.7086,-0.1657,10.8771,0.1829,-0.2094,2.5721,91.092,1.5899,1.0721,0.357,-1.0,-0.643,fast_right,False
30.264,11.4459,2.691,-0.2657,10.9553,0.1663,-0.2094,2.5719,91.003,1.5883,1.0719,0.357,-1.0,-0.643,fast_right,False
30.465,11.5259,2.6653,-0.3657,11.0336,0.1497,-0.2094,2.5634,90.928,1.587,1.0634,0.3592,-1.0,-0.6408,fast_straight,False
30.765,11.645,2.6097,-0.5101,11.151,0.1247,-0.2094,2.5336,90.757,1.584,1.0336,0.3666,-1.0,-0.6334,fast_straight,False
30.973,11.7381,2.553,-0.5851,11.2294,0.1081,-0.2094,2.4973,90.246,1.5751,0.9973,0.3757,-1.0,-0.6243,fast_left,False
31.27,11.8797,2.4513,-0.6601,11.3467,0.0831,-0.2094,2.4274,89.316,1.5589,0.9274,0.3931,-1.0,-0.6069,fast_left,False
31.569,11.9865,2.3655,-0.6901,11.464,0.0582,-0.2094,2.3657,89.242,1.5576,0.8657,0.4086,-1.0,-0.5914,fast_left,False
31.864,12.0839,2.2856,-0.6751,11.5814,0.0332,-0.2094,2.3077,89.423,1.5607,0.8077,0.4231,-1.0,-0.5769,fast_left,False
32.065,12.1502,2.234,-0.6401,11.6596,0.0166,-0.2094,2.271,89.524,1.5625,0.771,0.4322,-1.0,-0.5678,fast_left,False
