elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.906,-0.0115,-0.229,-0.0515,0.0,0.0,0.2094,0.2293,104.872,1.8304,1.2707,0.0,-1.0,-1.0,straight,False
1.154,-0.0085,-0.2292,-0.0515,0.0,0.0,0.2094,0.2293,104.122,1.8173,1.2707,0.0,-1.0,-1.0,straight,False
1.462,0.0305,-0.2312,-0.0515,0.0,0.0,0.2094,0.2332,94.494,1.6492,1.2668,0.0,-1.0,-1.0,straight,False
1.757,0.1074,-0.2351,-0.0515,0.0,0.0,0.2094,0.2585,77.459,1.3519,1.2415,0.0,-1.0,-1.0,straight,False
2.061,0.2432,-0.2421,-0.0515,0.0,0.0,0.2094,0.3432,56.875,0.9927,1.1568,0.0,-1.0,-1.0,straight,False
2.361,0.393,-0.2498,-0.0515,0.0,0.0,0.2094,0.4657,44.446,0.7757,1.0343,0.0,-0.7778,-0.7778,straight,False
2.654,0.5428,-0.2575,-0.0515,0.0783,0.0167,0.2094,0.5393,42.557,0.7428,0.9607,0.0393,-0.7023,-0.6629,straight,True
2.854,0.6426,-0.2627,-0.0515,0.1566,0.0333,0.2094,0.5691,43.341,0.7564,0.9309,0.0691,-0.7336,-0.6646,fast_straight,True
3.155,0.7996,-0.2708,-0.0515,0.2739,0.0582,0.2094,0.6202,44.039,0.7686,0.8798,0.1202,-0.7616,-0.6414,fast_right,True
3.46,0.972,-0.2798,-0.0587,0.3922,0.0834,0.2094,0.6841,44.066,0.7691,0.8159,0.1841,-0.7626,-0.5785,fast_right,True
3.754,1.1066,-0.2901,-0.1067,0.5087,0.1081,0.2094,0.7184,45.669,0.7971,0.7816,0.2184,-0.8268,-0.6084,fast_right,True
4.054,1.2312,-0.3085,-0.1997,0.6261,0.1331,0.2094,0.7491,48.119,0.8398,0.7509,0.2491,-0.9248,-0.6756,fast_straight,True
4.258,1.314,-0.3285,-0.2843,0.7046,0.1498,0.2094,0.7747,50.129,0.8749,0.7253,0.2747,-1.0,-0.7253,fast_right,False
4.557,1.4534,-0.3774,-0.3975,0.8217,0.1747,0.2094,0.8389,53.152,0.9277,0.6611,0.3389,-1.0,-0.6611,fast_straight,False
4.756,1.5316,-0.414,-0.4881,0.9,0.1913,0.2094,0.8748,55.783,0.9736,0.6252,0.3748,-1.0,-0.6252,fast_right,False
4.955,1.6169,-0.4635,-0.5695,0.9783,0.2079,0.2094,0.9266,58.435,1.0199,0.5734,0.4266,-1.0,-0.5734,fast_straight,False
5.255,1.7276,-0.5447,-0.7021,1.0956,0.2329,0.2094,1.002,62.898,1.0978,0.498,0.502,-1.0,-0.498,fast_left,False
5.565,1.8443,-0.6535,-0.7981,1.214,0.258,0.2094,1.1082,67.335,1.1752,0.3918,0.6082,-1.0,-0.3918,fast_left,False
5.855,1.9326,-0.7491,-0.8491,1.3304,0.2828,0.2094,1.1948,71.73,1.2519,0.3052,0.6948,-1.0,-0.3052,fast_left,False
6.055,1.9878,-0.8125,-0.8581,1.4087,0.2994,0.2094,1.2537,74.488,1.3001,0.2463,0.7537,-1.0,-0.2463,fast_left,False
6.266,2.0429,-0.8758,-0.8471,1.4875,0.3162,0.2094,1.315,77.018,1.3442,0.185,0.815,-1.0,-0.185,left,False
6.561,2.1245,-0.9644,-0.7931,1.605,0.3412,0.2094,1.4051,80.304,1.4016,0.0949,0.9051,-1.0,-0.0949,left,False
6.855,2.2012,-1.036,-0.6941,1.7216,0.3659,0.2094,1.4817,83.113,1.4506,0.0183,0.9817,-1.0,-0.0183,left,False
7.166,2.286,-1.0978,-0.5531,1.8397,0.391,0.2094,1.5543,85.314,1.489,0.0543,0.9457,-1.0,-0.0543,left,False
7.466,2.3789,-1.1466,-0.4031,1.9572,0.4156,-0.2094,1.6181,62.894,1.0977,0.1181,0.8819,-1.0,-0.1181,left,False
7.766,2.478,-1.1809,-0.2531,2.0746,0.3907,-0.2094,1.6225,63.604,1.1101,0.1225,0.8775,-1.0,-0.1225,fast_left,False
8.076,2.5867,-1.2007,-0.1031,2.192,0.3657,-0.2094,1.6154,63.858,1.1145,0.1154,0.8846,-1.0,-0.1154,fast_straight,False
8.364,2.7181,-1.2049,0.0413,2.3092,0.3408,-0.2094,1.5989,63.183,1.1028,0.0989,0.9011,-1.0,-0.0989,fast_left,False
8.658,2.8771,-1.1896,0.1575,2.4259,0.316,-0.2094,1.5718,61.318,1.0702,0.0718,0.9282,-1.0,-0.0718,fast_right,False
8.97,3.0054,-1.161,0.2931,2.5443,0.2908,-0.2094,1.5233,60.381,1.0538,0.0233,0.9767,-1.0,-0.0233,fast_right,False
