elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.367,-0.1878,0.2273,-0.0234,0.0,0.0,0.2094,0.2948,117.575,2.0521,1.2052,0.0,-1.0,-1.0,straight,False
0.567,-0.1872,0.2272,-0.0234,0.0,0.0,0.2094,0.2944,117.487,2.0505,1.2056,0.0,-1.0,-1.0,straight,False
0.771,-0.1722,0.2269,-0.0234,0.0,0.0,0.2094,0.2849,115.203,2.0107,1.2151,0.0,-1.0,-1.0,straight,False
1.068,-0.1123,0.2255,-0.0234,0.0,0.0,0.2094,0.2519,104.466,1.8233,1.2481,0.0,-1.0,-1.0,straight,False
1.272,-0.0473,0.224,-0.0234,0.0,0.0,0.2094,0.2289,89.919,1.5694,1.2711,0.0,-1.0,-1.0,straight,False
1.567,0.0871,0.2208,-0.0234,0.0,0.0,0.2094,0.2374,56.477,0.9857,1.2626,0.0,-1.0,-1.0,straight,False
1.767,0.1871,0.2185,-0.0234,0.0,0.0,0.2094,0.2876,37.431,0.6533,1.2124,0.0,-0.4972,-0.4972,straight,False
2.07,0.337,0.215,-0.0234,0.0,0.0,0.2094,0.3997,20.533,0.3584,1.1003,0.0,0.1787,0.1787,straight,False
2.367,0.487,0.2115,-0.0234,0.0,0.0,0.2094,0.5309,11.472,0.2002,0.9691,0.0309,0.5411,0.572,straight,True
2.669,0.6369,0.208,-0.0234,0.0001,0.0,0.2094,0.67,6.082,0.1062,0.83,0.17,0.7567,0.9267,fast_straight,True
2.968,0.7925,0.2043,-0.0234,0.1175,0.025,0.2094,0.6985,2.879,0.0503,0.8015,0.1985,0.8848,1.0833,fast_left,True
3.267,0.9662,0.2004,-0.0178,0.2348,0.0499,0.2094,0.7467,0.376,0.0066,0.7533,0.2467,0.985,1.2317,fast_left,True
3.467,1.0612,0.1996,0.0072,0.313,0.0665,0.2094,0.7599,1.919,0.0335,0.7401,0.2599,0.9232,1.1832,fast_left,True
3.68,1.1452,0.2017,0.0522,0.3915,0.0832,0.2094,0.763,3.064,0.0535,0.737,0.263,0.8774,1.1404,fast_left,True
3.969,1.2706,0.214,0.1572,0.5087,0.1081,0.2094,0.7692,4.09,0.0714,0.7308,0.2692,0.8364,1.1056,fast_left,True
4.269,1.3933,0.2418,0.3016,0.626,0.1331,0.2094,0.775,3.936,0.0687,0.725,0.275,0.8426,1.1175,fast_left,True
4.468,1.4723,0.2703,0.4016,0.7043,0.1497,0.2094,0.7774,3.075,0.0537,0.7226,0.2774,0.877,1.1544,fast_straight,True
