elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.426,0.3411,0.279,-0.1735,0.0,0.0,0.2094,0.4406,27.277,0.4761,1.0594,0.0,-0.0911,-0.0911,straight,False
0.626,0.3417,0.2789,-0.1735,0.0,0.0,0.2094,0.441,27.218,0.475,1.059,0.0,-0.0887,-0.0887,straight,False
0.926,0.3712,0.2737,-0.1735,0.0,0.0,0.2094,0.4612,24.398,0.4258,1.0388,0.0,0.0241,0.0241,straight,False
1.226,0.4451,0.2607,-0.1735,0.0,0.0,0.2094,0.5158,18.36,0.3204,0.9842,0.0158,0.2656,0.2815,straight,True
1.426,0.519,0.2478,-0.1735,0.0,0.0,0.2094,0.5751,13.521,0.236,0.9249,0.0751,0.4592,0.5343,straight,True
1.726,0.6612,0.2228,-0.1735,0.0,0.0,0.2094,0.6978,6.625,0.1156,0.8022,0.1978,0.735,0.9328,fast_left,True
2.026,0.8035,0.198,-0.1679,0.0,0.0,0.2094,0.8275,1.845,0.0322,0.6725,0.3275,0.9262,1.2537,fast_left,True
2.326,0.928,0.1791,-0.1229,0.0,0.0,0.2094,0.9451,1.077,0.0188,0.5549,0.4451,0.9569,1.4021,fast_left,True
2.53,1.0116,0.1707,-0.0679,0.0,0.0,0.2094,1.0259,2.42,0.0422,0.4741,0.5259,0.9032,1.4291,fast_left,True
2.831,1.1375,0.1688,0.0521,0.0394,0.0084,0.2094,1.1098,3.69,0.0644,0.3902,0.6098,0.8524,1.4622,fast_left,True
3.126,1.2625,0.184,0.2015,0.1566,0.0333,0.2094,1.1161,4.238,0.074,0.3839,0.6161,0.8305,1.4466,fast_left,True
3.426,1.3837,0.2178,0.3515,0.274,0.0582,0.2094,1.1212,3.819,0.0667,0.3788,0.6212,0.8472,1.4684,fast_left,True
3.726,1.4986,0.2693,0.5015,0.3913,0.0832,0.2094,1.1228,2.459,0.0429,0.3772,0.6228,0.9016,1.5244,fast_left,True
4.029,1.6045,0.3374,0.6515,0.5087,0.1081,0.2094,1.1195,0.184,0.0032,0.3805,0.6195,0.9926,1.6121,fast_left,True
4.227,1.6689,0.3912,0.7515,0.587,0.1248,0.2094,1.1143,1.836,0.032,0.3857,0.6143,0.9266,1.5408,fast_right,True
4.436,1.7276,0.4513,0.8509,0.6654,0.1414,0.2094,1.1064,4.261,0.0744,0.3936,0.6064,0.8296,1.436,fast_right,True
4.732,1.8048,0.5507,0.9709,0.7828,0.1664,0.2094,1.0919,8.609,0.1503,0.4081,0.5919,0.6556,1.2475,fast_right,True
5.027,1.8719,0.6574,1.0459,0.9,0.1913,0.2094,1.0779,13.621,0.2377,0.4221,0.5779,0.4552,1.033,fast_right,True
5.227,1.913,0.7306,1.0709,0.9783,0.2079,0.2094,1.0709,17.212,0.3004,0.4291,0.5709,0.3115,0.8824,fast_right,True
5.528,1.973,0.8414,1.0709,1.0956,0.2329,0.2094,1.0678,22.744,0.397,0.4322,0.5678,0.0903,0.658,fast_right,True
5.727,2.014,0.9147,1.0459,1.1739,0.2495,0.2094,1.0716,26.374,0.4603,0.4284,0.5716,-0.055,0.5166,fast_right,True
6.027,2.0805,1.0217,0.9709,1.2913,0.2745,0.2094,1.0868,31.436,0.5487,0.4132,0.5868,-0.2574,0.3294,fast_right,True
6.328,2.1569,1.1218,0.8509,1.4087,0.2994,0.2094,1.1118,35.702,0.6231,0.3882,0.6118,-0.4281,0.1838,fast_right,True
6.627,2.2463,1.2105,0.7015,1.526,0.3244,0.2094,1.1419,38.893,0.6788,0.3581,0.6419,-0.5557,0.0862,fast_right,True
6.827,2.3128,1.2617,0.6015,1.6043,0.341,0.2094,1.1618,40.42,0.7055,0.3382,0.6618,-0.6168,0.0449,fast_right,True
7.128,2.4213,1.3255,0.4515,1.7216,0.3659,0.2094,1.1876,41.902,0.7313,0.3124,0.6876,-0.6761,0.0115,fast_straight,True
7.548,2.5434,1.3743,0.3071,1.8392,0.3909,0.2094,1.2095,42.393,0.7399,0.2905,0.7095,-0.6957,0.0138,fast_left,True
7.703,2.5434,1.3743,0.3071,1.8781,0.3992,0.2094,1.1804,43.696,0.7626,0.3196,0.6804,-0.7478,-0.0674,fast_left,True
7.928,2.812,1.4357,0.1571,2.0347,0.3992,-0.2094,1.2956,65.132,1.1368,0.2044,0.7956,-1.0,-0.2044,fast_straight,False
8.139,2.8999,1.4485,0.1321,2.1132,0.3825,-0.2094,1.3249,65.572,1.1444,0.1751,0.8249,-1.0,-0.1751,fast_straight,False
8.428,3.0546,1.4683,0.1265,2.2304,0.3576,-0.2094,1.3832,65.422,1.1418,0.1168,0.8832,-1.0,-0.1168,fast_right,False
8.729,3.2276,1.4902,0.1209,2.3477,0.3326,-0.2094,1.454,64.76,1.1303,0.046,0.954,-1.0,-0.046,fast_right,False
9.027,3.3639,1.5045,0.0759,2.465,0.3077,-0.2094,1.4968,65.091,1.1361,0.0032,0.9968,-1.0,-0.0032,fast_right,False
9.227,3.4478,1.5089,0.0209,2.5433,0.291,-0.2094,1.517,65.401,1.1415,0.017,0.983,-1.0,-0.017,fast_left,False
9.527,3.5736,1.5052,-0.0879,2.6606,0.2661,-0.2094,1.5391,65.615,1.1452,0.0391,0.9609,-1.0,-0.0391,fast_left,False
9.727,3.6571,1.4956,-0.1429,2.7389,0.2495,-0.2094,1.5478,65.615,1.1452,0.0478,0.9522,-1.0,-0.0478,fast_left,False
10.027,3.7813,1.4745,-0.1879,2.8563,0.2245,-0.2094,1.5551,65.498,1.1432,0.0551,0.9449,-1.0,-0.0551,fast_left,False
10.327,3.905,1.4505,-0.1879,2.9737,0.1996,-0.2094,1.5596,65.333,1.1403,0.0596,0.9404,-1.0,-0.0596,fast_left,False
10.528,3.9877,1.4356,-0.1629,3.0519,0.1829,-0.2094,1.5636,65.241,1.1387,0.0636,0.9364,-1.0,-0.0636,fast_left,False
10.827,4.1125,1.4191,-0.0879,3.1693,0.158,-0.2094,1.5749,65.205,1.138,0.0749,0.9251,-1.0,-0.0749,fast_left,False
11.027,4.1964,1.4144,-0.0129,3.2475,0.1414,-0.2094,1.5878,65.301,1.1397,0.0878,0.9122,-1.0,-0.0878,fast_right,False
11.328,4.3221,1.421,0.1259,3.3649,0.1164,-0.2094,1.618,65.731,1.1472,0.118,0.882,-1.0,-0.118,fast_left,False
11.627,4.446,1.4435,0.2421,3.4823,0.0915,-0.2094,1.6604,66.52,1.161,0.1604,0.8396,-1.0,-0.1604,fast_right,False
11.927,4.566,1.4815,0.3809,3.5997,0.0665,-0.2094,1.7135,67.67,1.1811,0.2135,0.7865,-1.0,-0.2135,right,False
12.128,4.6423,1.5152,0.4559,3.6779,0.0499,-0.2094,1.7542,68.651,1.1982,0.2542,0.7458,-1.0,-0.2542,right,False
12.332,4.7061,1.5486,0.5109,3.7564,0.0332,-0.2094,1.7884,69.926,1.2204,0.2884,0.7116,-1.0,-0.2884,right,False
12.627,4.7964,1.6022,0.5559,3.8736,0.0083,-0.2094,1.8417,71.931,1.2554,0.3417,0.6583,-1.0,-0.3417,right,False
12.927,4.8854,1.6579,0.5559,3.991,0.0167,0.2094,1.8691,49.412,0.8624,0.3691,0.6309,-0.9765,-0.3456,fast_right,True
13.228,4.9803,1.7146,0.5109,4.1083,0.0416,0.2094,1.8866,50.469,0.8809,0.3866,0.6134,-1.0,-0.3866,fast_right,False
13.528,5.0925,1.7719,0.4209,4.2257,0.0666,0.2094,1.913,51.057,0.8911,0.413,0.587,-1.0,-0.413,fast_straight,False
13.829,5.2155,1.8184,0.2971,4.3431,0.0915,0.2094,1.9348,51.197,0.8935,0.4348,0.5652,-1.0,-0.4348,fast_straight,False
14.188,5.3792,1.8602,0.2071,4.4604,0.1164,0.2094,1.971,50.215,0.8764,0.471,0.529,-1.0,-0.471,fast_left,False
14.343,5.3792,1.8602,0.2071,4.4996,0.1248,0.2094,1.9456,51.121,0.8922,0.4456,0.5544,-1.0,-0.4456,fast_left,False
14.627,5.654,1.9084,0.1571,4.6561,0.158,0.2094,2.0148,48.312,0.8432,0.5148,0.4963,-0.9325,-0.4362,straight,True
14.828,5.7386,1.9222,0.1709,4.7344,0.1747,0.2094,2.0156,48.115,0.8398,0.5156,0.4961,-0.9246,-0.4285,fast_straight,True
15.131,5.8889,1.9489,0.1765,4.8518,0.1996,0.2094,2.0336,47.336,0.8262,0.5336,0.4916,-0.8934,-0.4018,fast_straight,True
15.427,6.0655,1.9804,0.1765,4.9691,0.2246,0.2094,2.07,46.016,0.8031,0.57,0.4825,-0.8407,-0.3582,fast_straight,True
15.637,6.1837,2.0014,0.1765,5.0475,0.2412,0.2094,2.095,45.159,0.7882,0.595,0.4762,-0.8064,-0.3301,fast_left,True
15.927,6.3553,2.0322,0.1821,5.1647,0.2661,0.2094,2.1299,44.013,0.7682,0.6299,0.4675,-0.7605,-0.293,fast_left,True
16.127,6.4486,2.0502,0.2071,5.243,0.2828,0.2094,2.1395,43.701,0.7627,0.6395,0.4651,-0.748,-0.2829,fast_left,True
16.427,6.571,2.08,0.2821,5.3603,0.3077,0.2094,2.1463,43.662,0.762,0.6463,0.4634,-0.7465,-0.2831,left,True
16.627,6.6503,2.1057,0.3571,5.4386,0.3244,0.2094,2.1544,43.776,0.764,0.6544,0.4614,-0.751,-0.2896,fast_left,True
16.827,6.7172,2.1338,0.4515,5.5169,0.341,0.2094,2.1576,44.196,0.7714,0.6576,0.4606,-0.7678,-0.3072,fast_right,True
17.131,6.8246,2.1956,0.5959,5.6344,0.366,0.2094,2.1827,44.953,0.7846,0.6827,0.4543,-0.7981,-0.3438,fast_right,True
17.427,6.925,2.2716,0.7009,5.7516,0.3909,0.2094,2.2168,46.04,0.8035,0.7168,0.4458,-0.8416,-0.3958,fast_right,True
17.73,7.0186,2.3559,0.7609,5.869,0.4158,-0.2094,2.2551,71.35,1.2453,0.7551,0.4362,-1.0,-0.5638,fast_right,False
18.027,7.109,2.4438,0.7759,5.9863,0.3909,-0.2094,2.3398,73.328,1.2798,0.8398,0.415,-1.0,-0.585,right,False
18.227,7.1688,2.5019,0.7609,6.0646,0.3742,-0.2094,2.3971,74.572,1.3015,0.8971,0.4007,-1.0,-0.5993,right,False
18.53,7.248,2.5738,0.7009,6.182,0.3493,-0.2094,2.4667,76.396,1.3334,0.9667,0.3833,-1.0,-0.6167,right,False
18.835,7.3312,2.6377,0.5959,6.2995,0.3243,-0.2094,2.5331,77.966,1.3608,1.0331,0.3667,-1.0,-0.6333,right,False
19.136,7.4217,2.6908,0.4515,6.4169,0.2993,-0.2094,2.594,79.211,1.3825,1.094,0.3515,-1.0,-0.6485,right,False
19.427,7.5191,2.7299,0.3015,6.5341,0.2744,-0.2094,2.6456,80.143,1.3988,1.1456,0.3386,-1.0,-0.6614,fast_right,False
19.627,7.5873,2.7478,0.2015,6.6124,0.2578,-0.2094,2.674,80.617,1.407,1.174,0.3315,-1.0,-0.6685,fast_right,False
19.827,7.6683,2.7605,0.1015,6.6906,0.2412,-0.2094,2.7024,80.79,1.41,1.2024,0.3244,-1.0,-0.6756,fast_right,False
20.039,7.7521,2.7652,0.0015,6.769,0.2245,-0.2094,2.7243,80.847,1.411,1.2243,0.3189,-1.0,-0.6811,fast_right,False
20.329,7.8777,2.7566,-0.1485,6.8863,0.1996,-0.2094,2.7425,80.807,1.4103,1.2425,0.3144,-1.0,-0.6856,fast_right,False
20.604,7.9601,2.7404,-0.2485,6.9647,0.1829,-0.2094,2.7444,80.733,1.409,1.2444,0.3139,-1.0,-0.6861,fast_right,False
20.759,7.9601,2.7404,-0.2485,7.0036,0.1746,-0.2094,2.7383,81.555,1.4234,1.2383,0.3154,-1.0,-0.6846,fast_right,False
21.029,8.1555,2.665,-0.4985,7.1602,0.1414,-0.2094,2.7128,80.475,1.4046,1.2128,0.3218,-1.0,-0.6782,fast_left,False
21.327,8.2616,2.5973,-0.6429,7.2775,0.1164,-0.2094,2.6689,80.362,1.4026,1.1689,0.3328,-1.0,-0.6672,fast_left,False
