elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.388,-0.0616,0.3659,0.2576,0.0,0.0,0.2094,0.371,87.557,1.5281,1.129,0.0,-1.0,-1.0,straight,False
0.689,-0.0562,0.3673,0.2576,0.0,0.0,0.2094,0.3716,86.696,1.5131,1.1284,0.0,-1.0,-1.0,straight,False
0.986,-0.0127,0.3787,0.2576,0.0,0.0,0.2094,0.379,79.915,1.3948,1.121,0.0,-1.0,-1.0,straight,False
1.289,0.0744,0.4017,0.2576,0.0,0.0,0.2094,0.4085,67.511,1.1783,1.0915,0.0,-1.0,-1.0,straight,False
1.588,0.2043,0.4359,0.2576,0.0,0.0,0.2094,0.4814,52.886,0.923,1.0186,0.0,-1.0,-1.0,straight,False
1.89,0.3494,0.4741,0.2576,0.0,0.0,0.2094,0.589,41.614,0.7263,0.911,0.089,-0.6646,-0.5756,fast_straight,True
2.19,0.4998,0.5138,0.2576,0.0,0.0,0.2094,0.7168,33.788,0.5897,0.7832,0.2168,-0.3515,-0.1347,fast_straight,True
2.492,0.6733,0.5595,0.2576,0.0,0.0,0.2094,0.8754,27.724,0.4839,0.6246,0.3754,-0.109,0.2665,fast_left,True
2.79,0.8419,0.604,0.2632,0.0785,0.0167,0.2094,0.9632,25.574,0.4463,0.5368,0.4632,-0.023,0.4402,fast_left,True
3.09,0.9736,0.6418,0.3082,0.1959,0.0416,0.2094,0.9824,25.66,0.4479,0.5176,0.4824,-0.0264,0.456,fast_left,True
3.386,1.0921,0.6846,0.3982,0.3132,0.0666,0.2094,0.9943,26.431,0.4613,0.5057,0.4943,-0.0572,0.4371,fast_left,True
3.691,1.205,0.7402,0.5326,0.4307,0.0915,0.2094,1.0102,27.953,0.4879,0.4898,0.5102,-0.1181,0.3921,fast_left,True
3.991,1.3088,0.8116,0.6826,0.548,0.1165,0.2094,1.0304,30.419,0.5309,0.4696,0.5304,-0.2168,0.3137,fast_right,True
4.209,1.3715,0.8674,0.782,0.6263,0.1331,0.2094,1.0461,32.58,0.5686,0.4539,0.5461,-0.3032,0.243,fast_right,True
4.495,1.4553,0.9613,0.902,0.7437,0.1581,0.2094,1.0731,36.462,0.6364,0.4269,0.5731,-0.4585,0.1146,fast_right,True
4.792,1.5296,1.0631,0.977,0.8611,0.183,0.2094,1.1052,40.781,0.7118,0.3948,0.6052,-0.6312,-0.026,fast_right,True
4.996,1.5757,1.1333,1.002,0.9393,0.1997,0.2094,1.1299,43.725,0.7631,0.3701,0.6299,-0.749,-0.1191,fast_right,True
5.287,1.6431,1.2398,1.002,1.0565,0.2246,0.2094,1.1725,47.978,0.8374,0.3275,0.6725,-0.9191,-0.2466,fast_right,True
5.487,1.689,1.3101,0.977,1.1349,0.2412,0.2094,1.204,50.594,0.883,0.296,0.704,-1.0,-0.296,fast_right,False
5.787,1.7627,1.4122,0.902,1.2521,0.2661,0.2094,1.2547,53.985,0.9422,0.2453,0.7547,-1.0,-0.2453,fast_right,False
5.993,1.8169,1.4764,0.827,1.3306,0.2828,0.2094,1.2889,55.834,0.9745,0.2111,0.7889,-1.0,-0.2111,fast_right,False
6.286,1.908,1.5633,0.6826,1.4477,0.3077,0.2094,1.3373,57.867,1.01,0.1627,0.8373,-1.0,-0.1627,fast_right,False
6.495,1.9755,1.6133,0.5826,1.5263,0.3244,0.2094,1.3649,58.785,1.026,0.1351,0.8649,-1.0,-0.1351,fast_right,False
6.9,2.0852,1.675,0.4326,1.6434,0.3493,0.2094,1.3974,59.568,1.0397,0.1026,0.8974,-1.0,-0.1026,fast_straight,False
7.055,2.0852,1.675,0.4326,1.6825,0.3576,0.2094,1.3776,61.001,1.0647,0.1224,0.8776,-1.0,-0.1224,fast_right,False
7.287,2.2957,1.7427,0.1942,1.8391,0.3909,0.2094,1.4268,59.338,1.0357,0.0732,0.9268,-1.0,-0.0732,fast_left,False
7.488,2.3799,1.7555,0.096,1.9174,0.4076,0.2094,1.425,59.064,1.0309,0.075,0.925,-1.0,-0.075,fast_left,False
7.787,2.5057,1.76,-0.024,2.0348,0.3991,-0.2094,1.4401,82.913,1.4471,0.0599,0.9401,-1.0,-0.0599,fast_left,False
8.087,2.6314,1.7521,-0.099,2.152,0.3742,-0.2094,1.4589,82.817,1.4454,0.0411,0.9589,-1.0,-0.0411,fast_left,False
8.286,2.7149,1.7428,-0.124,2.2303,0.3576,-0.2094,1.4675,82.719,1.4437,0.0325,0.9675,-1.0,-0.0325,left,False
8.488,2.7976,1.7321,-0.129,2.3085,0.341,-0.2094,1.4746,82.631,1.4422,0.0254,0.9746,-1.0,-0.0254,fast_left,False
8.786,2.9094,1.7188,-0.099,2.4259,0.316,-0.2094,1.4838,82.984,1.4483,0.0162,0.9838,-1.0,-0.0162,fast_left,False
8.986,2.9931,1.7121,-0.054,2.5042,0.2994,-0.2094,1.4949,82.908,1.447,0.0051,0.9949,-1.0,-0.0051,fast_left,False
9.186,3.0771,1.7099,0.011,2.5825,0.2827,-0.2094,1.5104,82.885,1.4466,0.0104,0.9896,-1.0,-0.0104,fast_left,False
9.487,3.2027,1.7187,0.1454,2.6998,0.2578,-0.2094,1.5451,83.005,1.4487,0.0451,0.9549,-1.0,-0.0451,fast_left,False
9.686,3.2851,1.7346,0.2454,2.7781,0.2411,-0.2094,1.5772,83.248,1.453,0.0772,0.9228,-1.0,-0.0772,fast_right,False
9.986,3.4048,1.7736,0.3898,2.8954,0.2162,-0.2094,1.6386,83.886,1.4641,0.1386,0.8614,-1.0,-0.1386,right,False
10.186,3.4808,1.8079,0.4648,2.9737,0.1996,-0.2094,1.6864,84.501,1.4748,0.1864,0.8136,-1.0,-0.1864,right,False
10.495,3.5745,1.8595,0.5398,3.0912,0.1746,-0.2094,1.7529,85.995,1.5009,0.2529,0.7471,-1.0,-0.2529,right,False
10.795,3.6636,1.9151,0.5698,3.2086,0.1496,-0.2094,1.8231,87.548,1.528,0.3231,0.6769,-1.0,-0.3231,right,False
11.086,3.7522,1.9714,0.5548,3.3258,0.1247,-0.2094,1.8953,88.997,1.5533,0.3953,0.6047,-1.0,-0.3953,right,False
11.286,3.8122,2.0074,0.5198,3.4041,0.1081,-0.2094,1.9427,89.872,1.5686,0.4427,0.5573,-1.0,-0.4427,right,False
11.586,3.9053,2.0561,0.4298,3.5214,0.0831,-0.2094,2.0099,90.99,1.5881,0.5099,0.4975,-1.0,-0.5025,right,False
11.787,3.9699,2.0829,0.3448,3.5998,0.0665,-0.2094,2.0501,91.6,1.5987,0.5501,0.4875,-1.0,-0.5125,fast_right,False
12.087,4.0763,2.1126,0.1954,3.717,0.0416,-0.2094,2.102,92.159,1.6085,0.602,0.4745,-1.0,-0.5255,right,False
