elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
1.504,0.0243,-0.3995,-0.0914,0.0,0.0,0.6981,0.4003,126.522,2.2082,1.0997,0.0,-1.0,-1.0,fast_right,False
1.806,0.0285,-0.3999,-0.0956,0.0,0.0,0.6981,0.4009,125.929,2.1979,1.0991,0.0,-1.0,-1.0,fast_right,False
2.094,0.0702,-0.4048,-0.1376,0.0,0.0,0.6981,0.4108,120.163,2.0972,1.0892,0.0,-1.0,-1.0,fast_right,False
2.395,0.1558,-0.4202,-0.2246,0.0,0.0,0.6981,0.4481,109.657,1.9139,1.0519,0.0,-1.0,-1.0,fast_right,False
2.693,0.2738,-0.4546,-0.3564,0.0004,0.0004,0.6981,0.5307,99.001,1.7279,0.9693,0.0307,-1.0,-0.9693,fast_right,False
2.986,0.3884,-0.5066,-0.5064,0.092,0.0772,0.6981,0.6548,103.083,1.7991,0.8452,0.1548,-1.0,-0.8452,fast_right,False
3.189,0.4599,-0.5506,-0.6064,0.1534,0.1287,0.6981,0.7453,105.714,1.8451,0.7547,0.2453,-1.0,-0.7547,fast_straight,False
3.493,0.5623,-0.6331,-0.7508,0.2454,0.2059,0.6981,0.8969,109.307,1.9078,0.6031,0.3969,-1.0,-0.6031,fast_left,False
3.792,0.6751,-0.7501,-0.8558,0.3374,0.2831,0.6981,1.087,111.899,1.953,0.413,0.587,-1.0,-0.413,left,False
4.093,0.7586,-0.8523,-0.9158,0.4293,0.3602,0.6981,1.2565,114.809,2.0038,0.2435,0.7565,-1.0,-0.2435,left,False
4.396,0.8218,-0.9365,-0.9308,0.5212,0.4373,0.6981,1.4063,117.66,2.0535,0.0937,0.9063,-1.0,-0.0937,left,False
4.694,0.8853,-1.02,-0.9008,0.6132,0.5146,0.6981,1.5585,119.946,2.0934,0.0585,0.9415,-1.0,-0.0585,left,False
4.992,0.953,-1.1002,-0.8258,0.7051,0.5916,0.6981,1.7099,121.662,2.1234,0.2099,0.7901,-1.0,-0.2099,left,False
5.306,1.0281,-1.1736,-0.7058,0.797,0.6688,0.6981,1.8568,122.849,2.1441,0.3568,0.6432,-1.0,-0.3568,left,False
5.611,1.1125,-1.2359,-0.5564,0.889,0.7459,0.6981,1.9944,123.565,2.1566,0.4944,0.5056,-1.0,-0.4944,left,False
5.9,1.2052,-1.2849,-0.4064,0.9808,0.823,0.6981,2.1198,123.923,2.1629,0.6198,0.47,-1.0,-0.53,left,False
6.202,1.3042,-1.3196,-0.2564,1.0727,0.9001,0.6981,2.2317,124.046,2.165,0.7317,0.4421,-1.0,-0.5579,left,False
6.499,1.4073,-1.339,-0.1064,1.1647,0.9511,-0.6981,2.3029,43.952,0.7671,0.8029,0.4243,-0.7581,-0.3338,fast_left,True
6.801,1.5164,-1.3428,0.0436,1.2566,0.8739,-0.6981,2.2319,43.317,0.756,0.7319,0.442,-0.7327,-0.2906,fast_left,True
7.096,1.6414,-1.3285,0.1936,1.3485,0.7968,-0.6981,2.1454,42.152,0.7357,0.6454,0.4636,-0.6861,-0.2225,fast_straight,True
7.4,1.767,-1.2945,0.3394,1.4406,0.7196,-0.6981,2.0403,40.795,0.712,0.5403,0.4899,-0.6318,-0.1419,fast_right,True
7.7,1.9143,-1.2332,0.4474,1.5324,0.6425,-0.6981,1.9142,38.494,0.6718,0.4142,0.5858,-0.5397,0.0461,fast_right,True
8.0,2.0324,-1.1718,0.5104,1.6243,0.5654,-0.6981,1.7845,36.779,0.6419,0.2845,0.7155,-0.4712,0.2444,fast_straight,True
8.299,2.1453,-1.1068,0.5286,1.7163,0.4882,-0.6981,1.6517,34.947,0.6099,0.1517,0.8483,-0.3979,0.4504,fast_right,True
8.599,2.2831,-1.0264,0.5244,1.8082,0.4111,-0.6981,1.5139,31.717,0.5536,0.0139,0.9861,-0.2687,0.7174,fast_right,True
8.899,2.3994,-0.9614,0.4824,1.9001,0.334,-0.6981,1.3884,28.921,0.5048,0.1116,0.8884,-0.1568,0.7315,fast_right,True
9.201,2.5131,-0.9072,0.3954,1.9921,0.2568,-0.6981,1.2753,25.886,0.4518,0.2247,0.7753,-0.0355,0.7398,fast_right,True
9.498,2.6319,-0.8655,0.2636,2.084,0.1797,-0.6981,1.1801,22.335,0.3898,0.3199,0.6801,0.1066,0.7867,fast_right,True
9.799,2.7554,-0.8413,0.1136,2.1759,0.1026,-0.6981,1.1076,18.45,0.322,0.3924,0.6076,0.262,0.8696,fast_right,True
10.1,2.8812,-0.8358,-0.0364,2.2678,0.0255,-0.6981,1.0573,14.541,0.2538,0.4427,0.5573,0.4184,0.9757,fast_right,True
10.4,3.0063,-0.8492,-0.1864,2.3598,0.0517,0.6981,1.1089,94.332,1.6464,0.3911,0.6089,-1.0,-0.3911,straight,False
10.699,3.1321,-0.8823,-0.3322,2.4517,0.1288,0.6981,1.2188,96.06,1.6766,0.2812,0.7188,-1.0,-0.2812,left,False
11.0,3.267,-0.937,-0.4402,2.5436,0.206,0.6981,1.3527,97.669,1.7046,0.1473,0.8527,-1.0,-0.1473,left,False
11.299,3.3669,-0.988,-0.5032,2.6355,0.2831,0.6981,1.4665,100.083,1.7468,0.0335,0.9665,-1.0,-0.0335,left,False
11.602,3.4583,-1.0398,-0.5212,2.7274,0.3602,0.6981,1.5793,102.433,1.7878,0.0793,0.9207,-1.0,-0.0793,left,False
11.901,3.5498,-1.0912,-0.4942,2.8194,0.4374,0.6981,1.6941,104.46,1.8232,0.1941,0.8059,-1.0,-0.1941,left,False
12.2,3.6436,-1.1383,-0.4222,2.9113,0.5145,0.6981,1.8077,106.101,1.8518,0.3077,0.6923,-1.0,-0.3077,left,False
12.498,3.7414,-1.1763,-0.3052,3.0033,0.5917,0.6981,1.9159,107.341,1.8735,0.4159,0.5841,-1.0,-0.4159,left,False
12.799,3.8434,-1.2009,-0.1564,3.0951,0.6687,0.6981,2.0138,108.187,1.8882,0.5138,0.4965,-1.0,-0.5035,left,False
13.102,3.9479,-1.2099,-0.0064,3.1871,0.7459,0.6981,2.0986,108.743,1.8979,0.5986,0.4753,-1.0,-0.5247,left,False
13.394,4.0526,-1.2033,0.1436,3.2789,0.8229,0.6981,2.1689,109.1,1.9041,0.6689,0.4578,-1.0,-0.5422,left,False
13.761,4.1551,-1.1811,0.2936,3.3709,0.9002,0.6981,2.2241,109.353,1.9086,0.7241,0.444,-1.0,-0.556,left,False
13.915,4.1551,-1.1811,0.2936,3.4014,0.9258,0.6981,2.2376,110.315,1.9254,0.7376,0.4406,-1.0,-0.5594,left,False
14.2,4.315,-1.1109,0.5436,3.5241,0.8997,-0.6981,2.1605,28.527,0.4979,0.6605,0.4599,-0.1411,0.3188,fast_right,True
14.498,4.4041,-1.048,0.6894,3.616,0.8225,-0.6981,2.0297,27.154,0.4739,0.5297,0.4926,-0.0862,0.4064,fast_right,True
14.8,4.4968,-0.9627,0.7974,3.7079,0.7454,-0.6981,1.8815,25.211,0.44,0.3815,0.6185,-0.0085,0.6101,right,True
15.1,4.579,-0.8729,0.8604,3.7999,0.6682,-0.6981,1.7268,23.182,0.4046,0.2268,0.7732,0.0727,0.8459,fast_right,True
15.4,4.6492,-0.7892,0.8784,3.8918,0.5911,-0.6981,1.5744,21.247,0.3708,0.0744,0.9256,0.1501,1.0757,fast_right,True
15.7,4.7305,-0.693,0.8514,3.9838,0.5139,-0.6981,1.4192,18.256,0.3186,0.0808,0.9192,0.2698,1.189,fast_right,True
15.999,4.8163,-0.6007,0.7794,4.0757,0.4368,-0.6981,1.2748,14.481,0.2527,0.2252,0.7748,0.4208,1.1955,right,True
16.3,4.907,-0.5195,0.6624,4.1676,0.3597,-0.6981,1.1488,9.938,0.1735,0.3512,0.6488,0.6025,1.2513,fast_right,True
16.597,4.9976,-0.4587,0.5136,4.2595,0.2826,-0.6981,1.0461,5.126,0.0895,0.4539,0.5461,0.795,1.3411,right,True
16.903,5.1074,-0.4063,0.3636,4.3514,0.2054,-0.6981,0.9724,1.019,0.0178,0.5276,0.4724,0.9592,1.4317,right,True
17.188,5.2146,-0.3745,0.2036,4.4433,0.1284,-0.6981,0.9208,6.9,0.1204,0.5792,0.4208,0.724,1.1448,fast_right,True
17.498,5.3172,-0.3604,0.0636,4.5353,0.0511,-0.6981,0.8836,12.239,0.2136,0.6164,0.3836,0.5104,0.894,fast_right,True
17.798,5.4431,-0.3612,-0.0864,4.6272,0.026,0.6981,0.9031,65.388,1.1412,0.5969,0.4031,-1.0,-0.5969,fast_right,False
18.098,5.5674,-0.3808,-0.2364,4.7191,0.1031,0.6981,0.9766,69.704,1.2166,0.5234,0.4766,-1.0,-0.5234,fast_straight,False
18.396,5.6914,-0.4202,-0.3822,4.811,0.1802,0.6981,1.0656,74.296,1.2967,0.4344,0.5656,-1.0,-0.4344,fast_left,False
18.701,5.8359,-0.4877,-0.4902,4.903,0.2574,0.6981,1.194,78.613,1.3721,0.306,0.694,-1.0,-0.306,fast_left,False
18.996,5.9513,-0.5542,-0.5532,4.9949,0.3345,0.6981,1.3056,82.895,1.4468,0.1944,0.8056,-1.0,-0.1944,left,False
19.3,6.0542,-0.6194,-0.5712,5.0868,0.4116,0.6981,1.4138,86.824,1.5154,0.0862,0.9138,-1.0,-0.0862,left,False
19.601,6.143,-0.6754,-0.5442,5.1788,0.4888,0.6981,1.5116,90.365,1.5772,0.0116,0.9884,-1.0,-0.0116,left,False
19.901,6.2344,-0.727,-0.4722,5.2708,0.566,0.6981,1.6126,93.307,1.6285,0.1126,0.8874,-1.0,-0.1126,left,False
20.203,6.3302,-0.7699,-0.3552,5.3626,0.643,0.6981,1.7125,95.598,1.6685,0.2125,0.7875,-1.0,-0.2125,left,False
20.499,6.4308,-0.7996,-0.2064,5.4546,0.7202,0.6981,1.8063,97.286,1.698,0.3063,0.6937,-1.0,-0.3063,left,False
20.799,6.5347,-0.8138,-0.0564,5.5465,0.7973,0.6981,1.8901,98.475,1.7187,0.3901,0.6099,-1.0,-0.3901,left,False
21.1,6.6396,-0.8124,0.0936,5.6384,0.8745,0.6981,1.9616,99.31,1.7333,0.4616,0.5384,-1.0,-0.4616,left,False
21.467,6.7431,-0.7953,0.2436,5.7303,0.9516,0.6981,2.0193,99.895,1.7435,0.5193,0.4952,-1.0,-0.5048,left,False
21.621,6.7431,-0.7953,0.2436,5.7609,0.9511,-0.6981,2.0037,20.646,0.3603,0.5037,0.4991,0.1742,0.6732,left,True
21.897,6.9063,-0.7333,0.4936,5.8835,0.8482,-0.6981,1.8834,17.11,0.2986,0.3834,0.6166,0.3156,0.9322,right,True
22.2,6.995,-0.6773,0.6394,5.9754,0.7711,-0.6981,1.7712,14.857,0.2593,0.2712,0.7288,0.4057,1.1345,right,True
22.499,7.0757,-0.6102,0.7474,6.0674,0.694,-0.6981,1.6485,12.29,0.2145,0.1485,0.8515,0.5084,1.3599,right,True
22.802,7.1503,-0.5363,0.8104,6.1593,0.6168,-0.6981,1.5204,9.325,0.1628,0.0204,0.9796,0.627,1.6066,right,True
23.101,7.2217,-0.4594,0.8284,6.2512,0.5397,-0.6981,1.3928,5.831,0.1018,0.1072,0.8928,0.7668,1.6596,right,True
23.4,7.2934,-0.3826,0.8014,6.3432,0.4625,-0.6981,1.2716,1.652,0.0288,0.2284,0.7716,0.9339,1.7056,right,True
23.699,7.3686,-0.3094,0.7294,6.4351,0.3854,-0.6981,1.1638,3.339,0.0583,0.3362,0.6638,0.8664,1.5302,right,True
23.999,7.4503,-0.2436,0.6124,6.527,0.3083,-0.6981,1.0757,9.134,0.1594,0.4243,0.5757,0.6346,1.2103,right,True
24.301,7.5401,-0.1893,0.4636,6.6189,0.2312,-0.6981,1.0127,15.465,0.2699,0.4873,0.5127,0.3814,0.8941,right,True
24.6,7.637,-0.1491,0.3136,6.7109,0.154,-0.6981,0.9745,21.877,0.3818,0.5255,0.4745,0.1249,0.5994,fast_right,True
24.9,7.7429,-0.123,0.1636,6.8028,0.0769,-0.6981,0.9612,27.997,0.4886,0.5388,0.4612,-0.1199,0.3413,fast_right,True
25.203,7.8683,-0.1113,0.0136,6.8947,0.0003,0.6981,0.9799,46.535,0.8122,0.5201,0.4799,-0.8614,-0.3815,fast_right,True
25.499,7.994,-0.1184,-0.1364,6.9868,0.0775,0.6981,1.0261,51.005,0.8902,0.4739,0.5261,-1.0,-0.4739,fast_right,False
25.803,8.1172,-0.1442,-0.2864,7.0785,0.1545,0.6981,1.0808,56.04,0.9781,0.4192,0.5808,-1.0,-0.4192,fast_right,False
26.099,8.2351,-0.1881,-0.4364,7.1705,0.2317,0.6981,1.1444,61.517,1.0737,0.3556,0.6444,-1.0,-0.3556,fast_left,False
26.401,8.3453,-0.2491,-0.5822,7.2624,0.3088,0.6981,1.2181,67.257,1.1739,0.2819,0.7181,-1.0,-0.2819,fast_left,False
26.702,8.4465,-0.3239,-0.6902,7.3543,0.3859,0.6981,1.3026,73.021,1.2745,0.1974,0.8026,-1.0,-0.1974,left,False
26.998,8.5379,-0.4045,-0.7532,7.4462,0.463,0.6981,1.3944,78.473,1.3696,0.1056,0.8944,-1.0,-0.1056,left,False
27.289,8.6136,-0.4772,-0.7712,7.538,0.54,0.6981,1.4805,83.403,1.4557,0.0195,0.9805,-1.0,-0.0195,left,False
27.599,8.6895,-0.5497,-0.7442,7.6301,0.6173,0.6981,1.5762,87.767,1.5318,0.0762,0.9238,-1.0,-0.0762,left,False
27.888,8.7743,-0.6229,-0.6658,7.722,0.6944,0.6981,1.686,91.381,1.5949,0.186,0.814,-1.0,-0.186,fast_left,False
28.202,8.8588,-0.6827,-0.5552,7.8139,0.7716,0.6981,1.7907,94.302,1.6459,0.2907,0.7093,-1.0,-0.2907,left,False
28.501,8.9663,-0.7398,-0.4064,7.9059,0.8487,0.6981,1.9099,96.274,1.6803,0.4099,0.5901,-1.0,-0.4099,fast_left,False
28.8,9.0694,-0.7756,-0.2564,7.9978,0.9258,0.6981,2.0107,97.796,1.7069,0.5107,0.4973,-1.0,-0.5027,left,False
29.218,9.1889,-0.7983,-0.1064,8.0897,0.9254,-0.6981,2.0444,17.475,0.305,0.5444,0.4889,0.301,0.7899,right,True
29.373,9.1889,-0.7983,-0.1064,8.1202,0.8998,-0.6981,2.0064,17.816,0.311,0.5064,0.4984,0.2874,0.7858,right,True
29.587,9.3635,-0.7962,0.1326,8.2427,0.797,-0.6981,1.9479,14.875,0.2596,0.4479,0.5521,0.405,0.9571,right,True
29.897,9.4667,-0.7773,0.2286,8.3348,0.7197,-0.6981,1.8768,12.906,0.2253,0.3768,0.6232,0.4837,1.107,right,True
30.097,9.5346,-0.7601,0.2676,8.3961,0.6683,-0.6981,1.8266,11.445,0.1997,0.3266,0.6734,0.5422,1.2156,fast_right,True
30.401,9.6395,-0.7298,0.2886,8.4881,0.5911,-0.6981,1.7523,8.922,0.1557,0.2523,0.7477,0.6431,1.3908,fast_right,True
30.7,9.7605,-0.6949,0.2646,8.58,0.514,-0.6981,1.6896,5.679,0.0991,0.1896,0.8104,0.7729,1.5832,fast_right,True
30.997,9.883,-0.6654,0.1956,8.6719,0.4369,-0.6981,1.6377,2.306,0.0402,0.1377,0.8623,0.9078,1.7701,fast_right,True
31.3,10.0076,-0.6471,0.0816,8.7638,0.3597,-0.6981,1.6002,1.011,0.0177,0.1002,0.8998,0.9595,1.8594,right,True
31.599,10.1293,-0.6452,-0.0664,8.8559,0.2825,-0.6981,1.5754,3.926,0.0685,0.0754,0.9246,0.843,1.7675,right,True
31.9,10.2332,-0.6595,-0.2164,8.9477,0.2054,-0.6981,1.5494,6.066,0.1059,0.0494,0.9506,0.7573,1.708,fast_right,True
32.2,10.3378,-0.6905,-0.3664,9.0396,0.1283,-0.6981,1.5348,7.758,0.1354,0.0348,0.9652,0.6897,1.6549,right,True
32.498,10.4482,-0.7418,-0.5164,9.1315,0.0512,-0.6981,1.537,8.942,0.1561,0.037,0.963,0.6423,1.6054,fast_right,True
32.798,10.5389,-0.8023,-0.6664,9.2235,0.026,0.6981,1.5545,72.197,1.2601,0.0545,0.9455,-1.0,-0.0545,left,False
33.101,10.6293,-0.8838,-0.8122,9.3154,0.1031,0.6981,1.6433,76.912,1.3424,0.1433,0.8567,-1.0,-0.1433,left,False
33.387,10.6972,-0.9638,-0.9202,9.4071,0.18,0.6981,1.7242,81.56,1.4235,0.2242,0.7758,-1.0,-0.2242,left,False
33.588,10.7423,-1.0262,-0.9708,9.4686,0.2316,0.6981,1.7901,84.64,1.4773,0.2901,0.7099,-1.0,-0.2901,left,False
33.9,10.7963,-1.108,-1.0002,9.5605,0.3088,0.6981,1.88,88.905,1.5517,0.38,0.62,-1.0,-0.38,left,False
34.201,10.8531,-1.1963,-0.9882,9.6524,0.3859,0.6981,1.9862,92.806,1.6198,0.4862,0.5138,-1.0,-0.4862,left,False
34.498,10.9129,-1.2826,-0.9312,9.7444,0.463,0.6981,2.1007,96.202,1.679,0.6007,0.4748,-1.0,-0.5252,left,False
34.801,10.9792,-1.364,-0.8292,9.8363,0.5402,0.6981,2.2208,99.028,1.7284,0.7208,0.4448,-1.0,-0.5552,left,False
