elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.442,0.0,0.0,0.0,0.0,0.0,0.6981,0.0,40.0,0.6981,1.5,0.0,-0.6,-0.6,straight,False
0.727,-0.1851,-0.0002,-0.1671,0.0,0.0,0.6981,0.1851,140.071,2.4447,1.3149,0.0,-1.0,-1.0,straight,False
1.027,-0.1437,-0.0072,-0.1671,0.0,0.0,0.6981,0.1439,142.874,2.4936,1.3561,0.0,-1.0,-1.0,straight,False
1.327,-0.0579,-0.0217,-0.1671,0.0,0.0,0.6981,0.0619,160.518,2.8016,1.4381,0.0,-1.0,-1.0,straight,False
1.63,0.072,-0.0436,-0.1671,0.0,0.0,0.6981,0.0842,71.194,1.2426,1.4158,0.0,-1.0,-1.0,straight,False
1.925,0.2199,-0.0686,-0.1671,0.0,0.0,0.6981,0.2304,57.313,1.0003,1.2696,0.0,-1.0,-1.0,straight,False
2.231,0.3678,-0.0935,-0.1671,0.0,0.0,0.6981,0.3795,54.262,0.9471,1.1205,0.0,-1.0,-1.0,straight,False
2.524,0.5158,-0.1185,-0.1671,0.0,0.0,0.6981,0.5292,52.935,0.9239,0.9708,0.0292,-1.0,-0.9708,fast_right,False
2.729,0.6138,-0.135,-0.1677,0.0,0.0,0.6981,0.6284,52.404,0.9146,0.8716,0.1284,-1.0,-0.8716,fast_right,False
3.024,0.7407,-0.1578,-0.1977,0.0307,0.0258,0.6981,0.7333,54.498,0.9512,0.7667,0.2333,-1.0,-0.7667,fast_right,False
3.33,0.8634,-0.1864,-0.2727,0.1228,0.103,0.6981,0.7952,61.344,1.0707,0.7048,0.2952,-1.0,-0.7048,fast_right,False
3.623,0.9827,-0.2266,-0.3927,0.2146,0.1801,0.6981,0.8692,67.895,1.185,0.6308,0.3692,-1.0,-0.6308,fast_right,False
