elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
1.233,1.5,0.0,0.6981,0.0,0.0,0.6981,1.5,40.0,0.6981,0.0,1.0,-0.6,0.4,fast_left,True
1.437,1.5005,0.0004,0.6987,0.0,0.0,0.6981,1.5005,39.985,0.6979,0.0005,0.9995,-0.5994,0.4001,left,True
1.734,1.5232,0.02,0.7287,0.0,0.0,0.6981,1.5233,39.248,0.685,0.0233,0.9767,-0.5699,0.4068,fast_straight,True
2.035,1.5774,0.0718,0.7925,0.0,0.0,0.6981,1.5791,37.396,0.6527,0.0791,0.9209,-0.4958,0.4251,fast_left,True
2.335,1.6579,0.1567,0.8337,0.0,0.0,0.6981,1.6653,34.601,0.6039,0.1653,0.8347,-0.384,0.4507,fast_left,True
2.631,1.7396,0.2526,0.9087,0.0614,0.0515,0.6981,1.6902,33.168,0.5789,0.1902,0.8098,-0.3267,0.4831,fast_straight,True
2.933,1.8149,0.3604,1.0175,0.1534,0.1287,0.6981,1.6776,32.062,0.5596,0.1776,0.8224,-0.2825,0.54,fast_left,True
3.136,1.869,0.4536,1.0737,0.2148,0.1802,0.6981,1.6767,30.616,0.5344,0.1767,0.8233,-0.2246,0.5987,fast_left,True
3.429,1.9312,0.5808,1.1787,0.3065,0.2572,0.6981,1.6565,28.736,0.5015,0.1565,0.8435,-0.1494,0.694,fast_left,True
3.636,1.96,0.6596,1.2731,0.3679,0.3087,0.6981,1.6303,27.57,0.4812,0.1303,0.8697,-0.1028,0.7669,fast_left,True
3.936,1.9885,0.7823,1.4231,0.4599,0.3859,0.6981,1.5791,25.462,0.4444,0.0791,0.9209,-0.0185,0.9024,fast_right,True
4.235,1.9983,0.9078,1.5675,0.5518,0.463,0.6981,1.5134,22.909,0.3998,0.0134,0.9866,0.0837,1.0703,fast_right,True
4.535,1.9921,1.0336,1.6725,0.6437,0.5401,0.6981,1.4358,19.9,0.3473,0.0642,0.9358,0.204,1.1398,fast_right,True
