elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.364,0.1112,0.0872,-0.1805,0.0,0.0,0.6981,0.1413,1.895,0.0331,1.3587,0.0,0.9242,0.9242,straight,False
0.662,0.1167,0.0862,-0.1805,0.0,0.0,0.6981,0.145,3.551,0.062,1.355,0.0,0.858,0.858,straight,False
0.963,0.1609,0.0781,-0.1805,0.0,0.0,0.6981,0.1789,14.116,0.2464,1.3211,0.0,0.4354,0.4354,straight,False
1.262,0.2495,0.0619,-0.1805,0.0,0.0,0.6981,0.257,26.058,0.4548,1.243,0.0,-0.0423,-0.0423,straight,False
1.563,0.3817,0.0378,-0.1805,0.0,0.0,0.6981,0.3836,34.344,0.5994,1.1164,0.0,-0.3738,-0.3738,straight,False
1.863,0.5293,0.0109,-0.1805,0.0,0.0,0.6981,0.5294,38.823,0.6776,0.9706,0.0294,-0.5529,-0.5236,straight,True
2.162,0.6768,-0.0161,-0.1805,0.0,0.0,0.6981,0.677,41.359,0.7219,0.823,0.177,-0.6544,-0.4774,fast_left,True
2.464,0.8189,-0.0419,-0.1749,0.0,0.0,0.6981,0.82,42.928,0.7492,0.68,0.32,-0.7171,-0.3972,fast_left,True
2.764,0.9433,-0.0617,-0.1299,0.0,0.0,0.6981,0.9453,43.741,0.7634,0.5547,0.4453,-0.7496,-0.3043,fast_right,True
3.065,1.0687,-0.0734,-0.0511,0.0615,0.0516,0.6981,1.015,47.074,0.8216,0.485,0.515,-0.8829,-0.368,fast_right,True
3.366,1.1947,-0.0767,-0.0061,0.1534,0.1287,0.6981,1.0613,51.161,0.8929,0.4387,0.5613,-1.0,-0.4387,fast_right,False
3.663,1.3207,-0.077,-0.0061,0.2453,0.2058,0.6981,1.1119,54.737,0.9553,0.3881,0.6119,-1.0,-0.3881,fast_right,False
3.968,1.4466,-0.08,-0.0511,0.3373,0.283,0.6981,1.1672,58.119,1.0144,0.3328,0.6672,-1.0,-0.3328,fast_right,False
4.276,1.5721,-0.0912,-0.1411,0.4292,0.3601,0.6981,1.2288,61.549,1.0742,0.2712,0.7288,-1.0,-0.2712,fast_left,False
4.572,1.6955,-0.1162,-0.2677,0.5211,0.4373,0.6981,1.2983,65.232,1.1385,0.2017,0.7983,-1.0,-0.2017,fast_left,False
4.872,1.8152,-0.1553,-0.3637,0.6131,0.5144,0.6981,1.3761,69.123,1.2064,0.1239,0.8761,-1.0,-0.1239,fast_left,False
5.172,1.9317,-0.2034,-0.4147,0.705,0.5916,0.6981,1.4617,72.944,1.2731,0.0383,0.9617,-1.0,-0.0383,fast_left,False
5.473,2.0467,-0.2549,-0.4207,0.7969,0.6687,0.6981,1.554,76.465,1.3346,0.054,0.946,-1.0,-0.054,left,False
5.77,2.1585,-0.3031,-0.3817,0.8888,0.7458,0.6981,1.6469,79.559,1.3886,0.1469,0.8531,-1.0,-0.1469,left,False
6.064,2.2573,-0.3387,-0.2977,0.9806,0.8229,0.6981,1.726,82.298,1.4364,0.226,0.774,-1.0,-0.226,left,False
6.372,2.3591,-0.3638,-0.1687,1.0727,0.9001,0.6981,1.8034,84.492,1.4747,0.3034,0.6966,-1.0,-0.3034,fast_left,False
6.664,2.4677,-0.3743,-0.0187,1.1646,0.9512,-0.6981,1.8588,5.486,0.0958,0.3588,0.6412,0.7805,1.4217,right,True
6.967,2.5879,-0.3685,0.1257,1.2565,0.874,-0.6981,1.8211,3.023,0.0528,0.3211,0.6789,0.8791,1.558,right,True
7.173,2.657,-0.3573,0.2007,1.3178,0.8226,-0.6981,1.7848,1.382,0.0241,0.2848,0.7152,0.9447,1.66,right,True
7.47,2.7589,-0.3324,0.2757,1.4097,0.7455,-0.6981,1.7269,1.38,0.0241,0.2269,0.7731,0.9448,1.7179,right,True
7.774,2.8595,-0.302,0.3057,1.5017,0.6683,-0.6981,1.6689,4.449,0.0776,0.1689,0.8311,0.822,1.6532,fast_right,True
8.071,2.9637,-0.2695,0.2907,1.5936,0.5912,-0.6981,1.618,7.863,0.1372,0.118,0.882,0.6855,1.5675,right,True
8.37,3.0812,-0.2374,0.2307,1.6856,0.514,-0.6981,1.585,11.703,0.2042,0.085,0.915,0.5319,1.4469,fast_right,True
8.674,3.1885,-0.2174,0.1257,1.7774,0.4369,-0.6981,1.5554,15.122,0.2639,0.0554,0.9446,0.3951,1.3397,fast_right,True
9.052,3.3141,-0.2098,-0.0187,1.8694,0.3598,-0.6981,1.553,18.483,0.3226,0.053,0.947,0.2607,1.2077,fast_right,True
9.207,3.3141,-0.2098,-0.0187,1.8998,0.3342,-0.6981,1.5153,18.96,0.3309,0.0153,0.9847,0.2416,1.2263,right,True
9.461,3.5187,-0.2381,-0.2687,2.0225,0.2313,-0.6981,1.5681,22.583,0.3941,0.0681,0.9319,0.0967,1.0286,fast_right,True
9.763,3.623,-0.2751,-0.4187,2.1144,0.1542,-0.6981,1.5685,24.116,0.4209,0.0685,0.9315,0.0353,0.9669,fast_right,True
10.071,3.7341,-0.3342,-0.5687,2.2065,0.0769,-0.6981,1.582,24.937,0.4352,0.082,0.918,0.0025,0.9205,fast_right,True
10.371,3.8352,-0.4092,-0.7187,2.2984,0.0002,0.6981,1.5904,54.92,0.9585,0.0904,0.9096,-1.0,-0.0904,left,False
10.672,3.9212,-0.4954,-0.8645,2.3904,0.0774,0.6981,1.6344,60.514,1.0562,0.1344,0.8656,-1.0,-0.1344,left,False
10.973,3.9848,-0.5788,-0.9725,2.4823,0.1545,0.6981,1.672,66.014,1.1522,0.172,0.828,-1.0,-0.172,left,False
