elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.451,-0.1881,-0.2027,0.0319,0.5,-1.0,0.0,1.0532,130.795,2.2828,0.4468,0.5532,-1.0,-0.4468,left,False
0.748,-0.1825,-0.2025,0.0375,0.5,-1.0,0.0,1.0497,130.557,2.2787,0.4503,0.5497,-1.0,-0.4503,left,False
0.949,-0.1575,-0.2013,0.0625,0.5,-1.0,0.0,1.0345,129.463,2.2595,0.4655,0.5345,-1.0,-0.4655,fast_left,False
1.248,-0.0829,-0.194,0.1375,0.5,-1.0,0.0,0.9947,125.874,2.1969,0.5053,0.4947,-1.0,-0.5053,fast_left,False
1.449,-0.009,-0.1812,0.2125,0.5,-1.0,0.0,0.9641,121.868,2.127,0.5359,0.4641,-1.0,-0.5359,fast_left,False
1.754,0.112,-0.1467,0.3569,0.5,-1.0,0.0,0.9374,114.448,1.9975,0.5626,0.4374,-1.0,-0.5626,fast_left,False
2.049,0.2266,-0.0945,0.5069,0.5,-1.0,0.0,0.9458,106.8,1.864,0.5542,0.4458,-1.0,-0.5542,fast_left,False
2.249,0.2981,-0.0505,0.6069,0.5,-1.0,0.0,0.9707,102.003,1.7803,0.5293,0.4707,-1.0,-0.5293,fast_left,False
2.554,0.3962,0.0283,0.7569,0.5,-1.0,0.0,1.0336,95.761,1.6713,0.4664,0.5336,-1.0,-0.4664,fast_right,False
2.848,0.4816,0.1209,0.9013,0.5,-1.0,0.0,1.1211,90.942,1.5872,0.3789,0.6211,-1.0,-0.3789,fast_right,False
3.048,0.5313,0.1886,0.9763,0.5001,-1.0,0.0,1.189,88.494,1.5445,0.311,0.689,-1.0,-0.311,fast_right,False
3.355,0.5978,0.2956,1.0513,0.6203,-1.0,0.0,1.2958,90.998,1.5882,0.2042,0.7958,-1.0,-0.2042,fast_right,False
3.653,0.6584,0.406,1.0813,0.7402,-1.0,0.0,1.4084,93.33,1.6289,0.0916,0.9084,-1.0,-0.0916,right,False
3.966,0.7153,0.5121,1.0663,0.8609,-1.0,0.0,1.5191,95.499,1.6668,0.0191,0.9809,-1.0,-0.0191,right,False
4.25,0.7683,0.6028,1.0063,0.98,-1.0,0.0,1.6167,97.527,1.7022,0.1167,0.8833,-1.0,-0.1167,right,False
4.45,0.8073,0.6608,0.9413,1.0601,-1.0,0.0,1.68,98.652,1.7218,0.18,0.82,-1.0,-0.18,right,False
4.76,0.874,0.7419,0.8069,1.1804,-1.0,0.0,1.7686,99.975,1.7449,0.2686,0.7314,-1.0,-0.2686,right,False
5.056,0.9517,0.8123,0.6569,1.3003,-1.0,0.0,1.8456,100.889,1.7608,0.3456,0.6544,-1.0,-0.3456,right,False
5.353,1.039,0.8704,0.5069,1.4202,-1.0,0.0,1.9089,101.519,1.7718,0.4089,0.5911,-1.0,-0.4089,right,False
5.659,1.1341,0.9148,0.3569,1.5403,-1.0,0.0,1.9574,101.977,1.7798,0.4574,0.5426,-1.0,-0.4574,right,False
5.961,1.2347,0.9445,0.2069,1.6606,-1.0,0.0,1.9906,102.354,1.7864,0.4906,0.5094,-1.0,-0.4906,right,False
6.254,1.3386,0.9588,0.0569,1.7801,-1.0,0.0,2.008,102.702,1.7925,0.508,0.498,-1.0,-0.502,fast_right,False
6.55,1.4491,0.9571,-0.0931,1.9001,-1.0,0.0,2.0084,102.976,1.7973,0.5084,0.4979,-1.0,-0.5021,fast_right,False
6.85,1.5733,0.9367,-0.2431,2.0201,-1.0,0.0,1.9875,102.99,1.7975,0.4875,0.5125,-1.0,-0.4875,fast_right,False
7.05,1.6538,0.9128,-0.3431,2.1001,-1.0,0.0,1.9642,103.132,1.8,0.4642,0.5358,-1.0,-0.4642,fast_right,False
7.35,1.7691,0.8623,-0.4931,2.2201,-1.0,0.0,1.9161,103.612,1.8084,0.4161,0.5839,-1.0,-0.4161,fast_straight,False
7.658,1.8816,0.7911,-0.6359,2.3402,-1.0,0.0,1.8489,104.363,1.8215,0.3489,0.6511,-1.0,-0.3489,fast_left,False
7.958,2.0073,0.6878,-0.7379,2.4604,-1.0,0.0,1.7476,105.026,1.833,0.2476,0.7524,-1.0,-0.2476,fast_left,False
8.257,2.1032,0.5954,-0.7949,2.5,-0.9198,1.5708,1.5663,14.675,0.2561,0.0663,0.9337,0.413,1.3467,left,True
8.558,2.1867,0.5087,-0.8069,2.5,-0.7997,1.5708,1.3454,13.464,0.235,0.1546,0.8454,0.4614,1.3068,left,True
8.85,2.2603,0.4337,-0.7739,2.5,-0.6799,1.5708,1.1392,12.149,0.212,0.3608,0.6392,0.514,1.1532,left,True
9.157,2.3377,0.3629,-0.6959,2.5,-0.5598,1.5708,0.9368,9.977,0.1741,0.5632,0.4368,0.6009,1.0378,straight,True
9.458,2.4262,0.2967,-0.5841,2.5,-0.4398,1.5708,0.7402,5.72,0.0998,0.7598,0.2402,0.7712,1.0114,straight,True
9.759,2.5498,0.2221,-0.5061,2.5,-0.3197,1.5708,0.5441,5.256,0.0917,0.9559,0.0441,0.7898,0.8339,straight,True
10.059,2.6824,0.1519,-0.4731,2.5,-0.1998,1.5708,0.3962,27.411,0.4784,1.1038,0.0,-0.0965,-0.0965,straight,False
10.354,2.816,0.0837,-0.4719,2.5,-0.0799,1.5708,0.3558,62.632,1.0931,1.1442,0.0,-1.0,-1.0,straight,False
10.657,2.9496,0.0155,-0.4719,2.5,0.0402,1.5708,0.4503,93.139,1.6256,1.0497,0.0,-1.0,-1.0,fast_left,False
10.956,3.0783,-0.05,-0.4663,2.5,0.1602,1.5708,0.6153,109.977,1.9195,0.8847,0.1153,-1.0,-0.8847,fast_left,False
11.262,3.1918,-0.1047,-0.4213,2.5,0.2811,1.5708,0.7921,119.149,2.0795,0.7079,0.2921,-1.0,-0.7079,fast_left,False
11.551,3.3086,-0.1518,-0.3313,2.5,0.4001,1.5708,0.979,124.317,2.1697,0.521,0.479,-1.0,-0.521,left,False
11.858,3.4244,-0.1844,-0.1969,2.5,0.5204,1.5708,1.1624,127.319,2.2221,0.3376,0.6624,-1.0,-0.3376,left,False
12.15,3.5285,-0.1976,-0.0469,2.5,0.6401,1.5708,1.3265,129.163,2.2543,0.1735,0.8265,-1.0,-0.1735,left,False
12.458,3.6334,-0.1952,0.1031,2.5,0.7602,1.5708,1.4823,130.13,2.2712,0.0177,0.9823,-1.0,-0.0177,left,False
12.762,3.7367,-0.1771,0.2531,2.5,0.8804,1.5708,1.6272,130.534,2.2783,0.1272,0.8728,-1.0,-0.1272,left,False
13.06,3.8362,-0.1438,0.4031,2.4998,1.0,3.1416,1.7591,139.439,2.4337,0.2591,0.7409,-1.0,-0.2591,left,False
13.47,3.9295,-0.096,0.5531,2.3797,1.0,3.1416,1.8982,144.732,2.5261,0.3982,0.6018,-1.0,-0.3982,left,False
13.626,3.9295,-0.096,0.5531,2.34,1.0,3.1416,1.9308,145.413,2.5379,0.4308,0.5692,-1.0,-0.4308,left,False
13.854,4.066,0.0128,0.8031,2.1798,1.0,3.1416,2.1289,152.372,2.6594,0.6289,0.4678,-1.0,-0.5322,left,False
14.152,4.1334,0.0932,0.9531,2.0599,1.0,3.1416,2.2632,156.379,2.7293,0.7632,0.4342,-1.0,-0.5658,left,False
14.456,4.188,0.1827,1.1031,1.9397,1.0,3.1416,2.3923,160.024,2.7929,0.8923,0.4019,-1.0,-0.5981,left,False
14.753,4.2287,0.2794,1.2531,1.8199,1.0,3.1416,2.5143,163.346,2.8509,1.0143,0.3714,-1.0,-0.6286,left,False
15.06,4.2544,0.3811,1.4031,1.6995,1.0,3.1416,2.6288,166.384,2.9039,1.1288,0.3428,-1.0,-0.6572,left,False
15.359,4.2646,0.4855,1.5531,1.5796,1.0,3.1416,2.7338,169.153,2.9523,1.2338,0.3165,-1.0,-0.6835,left,False
15.649,4.2591,0.5903,1.7031,1.4599,1.0,3.1416,2.829,171.673,2.9963,1.329,0.2927,-1.0,-0.7073,fast_left,False
15.854,4.2465,0.6603,1.8031,1.3798,1.0,3.1416,2.8867,173.243,3.0237,1.3867,0.2783,-1.0,-0.7217,fast_left,False
16.15,4.2093,0.7794,1.9531,1.2599,1.0,3.1416,2.9576,175.722,3.0669,1.4576,0.2606,-1.0,-0.7394,fast_left,False
16.458,4.1543,0.8926,2.1031,1.1398,1.0,3.1416,3.0164,177.959,3.106,1.5164,0.2459,-1.0,-0.7541,fast_left,False
16.758,4.083,0.9963,2.2531,1.0197,1.0,3.1416,3.0633,179.931,3.1404,1.5633,0.2342,-1.0,-0.7658,fast_left,False
17.06,3.997,1.0882,2.4031,0.8997,1.0,3.1416,3.0986,178.369,3.1131,1.5986,0.2254,-1.0,-0.7746,fast_left,False
17.359,3.8982,1.1662,2.5531,0.7798,1.0,3.1416,3.1228,176.948,3.0883,1.6228,0.2193,-1.0,-0.7807,fast_left,False
17.656,3.7888,1.2286,2.7031,0.6598,1.0,3.1416,3.1374,175.821,3.0687,1.6374,0.2157,-1.0,-0.7843,fast_left,False
17.949,3.6714,1.274,2.8531,0.5399,1.0,3.1416,3.1435,175.0,3.0543,1.6435,0.2141,-1.0,-0.7859,fast_left,False
18.259,3.5485,1.3013,3.0031,0.5,0.9197,-1.5708,3.0723,97.134,1.6953,1.5723,0.2319,-1.0,-0.7681,fast_left,False
18.559,3.4229,1.3099,-3.1301,0.5,0.7998,-1.5708,2.9671,99.899,1.7436,1.4671,0.2582,-1.0,-0.7418,fast_left,False
18.858,3.2975,1.2996,-2.9801,0.5,0.6796,-1.5708,2.8654,102.497,1.7889,1.3654,0.2837,-1.0,-0.7163,fast_straight,False
19.149,3.1695,1.2693,-2.8357,0.5,0.5599,-1.5708,2.7622,104.881,1.8305,1.2622,0.3095,-1.0,-0.6905,fast_right,False
19.459,3.0229,1.2144,-2.7307,0.5,0.4396,-1.5708,2.6392,107.071,1.8687,1.1392,0.3402,-1.0,-0.6598,fast_straight,False
19.759,2.9014,1.1567,-2.6707,0.5,0.3198,-1.5708,2.543,109.215,1.9062,1.043,0.3642,-1.0,-0.6358,fast_straight,False
