elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.422,0.2457,0.1838,0.0188,2.0,0.0,0.0,1.7639,174.019,3.0372,0.2639,0.7361,-1.0,-0.2639,fast_left,False
0.72,0.2513,0.1839,0.0244,2.0,0.0,0.0,1.7583,173.996,3.0368,0.2583,0.7417,-1.0,-0.2583,fast_left,False
1.024,0.2963,0.1859,0.0694,2.0,0.0,0.0,1.7139,173.772,3.0329,0.2139,0.7861,-1.0,-0.2139,fast_left,False
1.321,0.3857,0.1959,0.1594,2.0,0.0,0.0,1.6262,173.08,3.0208,0.1262,0.8738,-1.0,-0.1262,fast_left,False
1.623,0.5066,0.2229,0.2938,2.0,0.0,0.0,1.5099,171.51,2.9934,0.0099,0.9901,-1.0,-0.0099,left,False
1.913,0.6191,0.2655,0.4438,2.0,0.0,0.0,1.4062,169.118,2.9517,0.0938,0.9062,-1.0,-0.0938,left,False
2.222,0.7105,0.317,0.5938,2.0,0.0,0.0,1.3279,166.188,2.9005,0.1721,0.8279,-1.0,-0.1721,left,False
2.521,0.7931,0.3817,0.7438,2.0,0.0,0.0,1.2658,162.451,2.8353,0.2342,0.7658,-1.0,-0.2342,left,False
2.821,0.8651,0.4579,0.8938,2.0,0.0,0.0,1.2238,158.026,2.7581,0.2762,0.7238,-1.0,-0.2762,left,False
3.113,0.925,0.5441,1.0438,2.0,0.0,0.0,1.2049,153.155,2.6731,0.2951,0.7049,-1.0,-0.2951,fast_straight,False
3.313,0.9579,0.6072,1.1426,2.0,0.0,0.0,1.2061,149.773,2.614,0.2939,0.7061,-1.0,-0.2939,right,False
3.623,1.0026,0.7223,1.2596,2.0,0.0,0.0,1.2314,144.087,2.5148,0.2686,0.7314,-1.0,-0.2686,right,False
3.921,1.0311,0.8236,1.3316,2.0,0.0,0.0,1.2716,139.635,2.4371,0.2284,0.7716,-1.0,-0.2284,right,False
4.231,1.0543,0.926,1.3586,2.0,0.0,0.0,1.3236,135.604,2.3667,0.1764,0.8236,-1.0,-0.1764,right,False
4.551,1.0769,1.0285,1.3406,2.0,0.0,0.0,1.382,131.909,2.3022,0.118,0.882,-1.0,-0.118,right,False
4.826,1.1034,1.1301,1.2776,2.0,0.0,0.0,1.4425,128.427,2.2415,0.0575,0.9425,-1.0,-0.0575,right,False
5.124,1.1384,1.229,1.1696,2.0,0.0,0.0,1.5009,125.031,2.1822,0.0009,0.9991,-1.0,-0.0009,fast_right,False
5.427,1.1885,1.3275,1.0238,2.0,0.0,0.0,1.5559,121.437,2.1195,0.0559,0.9441,-1.0,-0.0559,fast_right,False
5.726,1.2613,1.4302,0.8738,2.0,0.0,0.0,1.6097,117.315,2.0475,0.1097,0.8903,-1.0,-0.1097,fast_right,False
