elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.444,-0.3226,0.278,0.0539,2.0,0.0,0.0,2.3392,173.175,3.0225,0.8392,0.4152,-1.0,-0.5848,fast_left,False
0.745,-0.317,0.2783,0.0595,2.0,0.0,0.0,2.3337,173.151,3.0221,0.8337,0.4166,-1.0,-0.5834,fast_left,False
1.045,-0.2722,0.2819,0.1045,2.0,0.0,0.0,2.2896,172.927,3.0181,0.7896,0.4276,-1.0,-0.5724,fast_left,False
1.346,-0.1832,0.2951,0.1945,2.0,0.0,0.0,2.203,172.303,3.0073,0.703,0.4492,-1.0,-0.5508,fast_left,False
1.545,-0.1034,0.3139,0.2795,2.0,0.0,0.0,2.1267,171.512,2.9935,0.6267,0.4683,-1.0,-0.5317,fast_left,False
1.846,0.0149,0.3569,0.4289,2.0,0.0,0.0,2.0169,169.807,2.9637,0.5169,0.4958,-1.0,-0.5042,fast_left,False
2.147,0.1254,0.4172,0.5789,2.0,0.0,0.0,1.9204,167.454,2.9226,0.4204,0.5796,-1.0,-0.4204,fast_straight,False
2.447,0.2301,0.4968,0.7233,2.0,0.0,0.0,1.8383,164.322,2.868,0.3383,0.6617,-1.0,-0.3383,fast_right,False
2.747,0.3441,0.6087,0.8283,2.0,0.0,0.0,1.7642,159.818,2.7894,0.2642,0.7358,-1.0,-0.2642,fast_right,False
3.044,0.43,0.7083,0.8883,2.0,0.0,0.0,1.7224,155.717,2.7178,0.2224,0.7776,-1.0,-0.2224,fast_right,False
3.344,0.5084,0.8069,0.9033,2.0,0.0,0.0,1.6959,151.587,2.6457,0.1959,0.8041,-1.0,-0.1959,fast_right,False
3.648,0.5874,0.9051,0.8733,2.0,0.0,0.0,1.6777,147.351,2.5718,0.1777,0.8223,-1.0,-0.1777,fast_right,False
3.946,0.6713,0.9991,0.7983,2.0,0.0,0.0,1.6624,143.06,2.4969,0.1624,0.8376,-1.0,-0.1624,fast_right,False
4.259,0.7638,1.0845,0.6783,2.0,0.0,0.0,1.6445,138.74,2.4215,0.1445,0.8555,-1.0,-0.1445,fast_right,False
4.644,0.867,1.1565,0.5289,2.0,0.0,0.0,1.619,134.41,2.3459,0.119,0.881,-1.0,-0.119,fast_right,False
4.799,0.867,1.1565,0.5289,2.0,0.0,0.0,1.619,134.41,2.3459,0.119,0.881,-1.0,-0.119,fast_right,False
5.049,1.0592,1.2398,0.2789,2.0,0.0,0.0,1.5563,127.191,2.2199,0.0563,0.9437,-1.0,-0.0563,fast_left,False
5.354,1.1824,1.266,0.1345,2.0,0.0,0.0,1.5071,122.856,2.1442,0.0071,0.9929,-1.0,-0.0071,fast_left,False
5.653,1.3079,1.2763,0.0295,2.0,0.0,0.0,1.4519,118.47,2.0677,0.0481,0.9519,-1.0,-0.0481,fast_left,False
5.953,1.4339,1.276,-0.0305,2.0,0.0,0.0,1.396,113.926,1.9884,0.104,0.896,-1.0,-0.104,fast_left,False
6.252,1.5597,1.2708,-0.0455,2.0,0.0,0.0,1.3449,109.107,1.9043,0.1551,0.8449,-1.0,-0.1551,fast_left,False
6.553,1.6857,1.2664,-0.0155,2.0,0.0,0.0,1.3048,103.94,1.8141,0.1952,0.8048,-1.0,-0.1952,fast_left,False
6.852,1.8116,1.2684,0.0595,2.0,0.0,0.0,1.2823,98.448,1.7182,0.2177,0.7823,-1.0,-0.2177,fast_left,False
