elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.424,0.036,-0.2236,0.0464,2.5,0.0,1.5708,2.4742,95.186,1.6613,0.9742,0.3815,-1.0,-0.6185,fast_left,False
0.725,0.0415,-0.2234,0.052,2.5,0.0,1.5708,2.4686,95.192,1.6614,0.9686,0.3829,-1.0,-0.6171,fast_left,False
1.024,0.0864,-0.2201,0.097,2.5,0.0,1.5708,2.4236,95.21,1.6617,0.9236,0.3941,-1.0,-0.6059,fast_left,False
1.325,0.1755,-0.2076,0.187,2.5,0.0,1.5708,2.3337,95.104,1.6599,0.8337,0.4166,-1.0,-0.5834,fast_left,False
1.625,0.2957,-0.1773,0.3214,2.5,0.0,1.5708,2.2114,94.599,1.6511,0.7114,0.4471,-1.0,-0.5529,fast_straight,False
1.925,0.4171,-0.127,0.4658,2.5,0.0,1.5708,2.0867,93.489,1.6317,0.5867,0.4783,-1.0,-0.5217,fast_right,False
2.225,0.5559,-0.0478,0.5708,2.5,0.0,1.5708,1.9447,91.409,1.5954,0.4447,0.5553,-1.0,-0.4447,fast_right,False
2.526,0.6643,0.0266,0.6308,2.5,0.0,1.5708,1.8359,89.169,1.5563,0.3359,0.6641,-1.0,-0.3359,fast_right,False
2.826,0.7653,0.102,0.6458,2.5,0.0002,1.5709,1.7377,86.636,1.5121,0.2377,0.7623,-1.0,-0.2377,right,False
3.126,0.8621,0.1736,0.6158,2.4971,0.1202,1.6189,1.6358,85.375,1.4901,0.1358,0.8642,-1.0,-0.1358,straight,False
3.426,0.9543,0.2346,0.552,2.4885,0.2399,1.6669,1.5341,84.691,1.4781,0.0341,0.9659,-1.0,-0.0341,left,False
3.726,1.0738,0.3053,0.522,2.4741,0.359,1.7149,1.4013,83.941,1.4651,0.0987,0.9013,-1.0,-0.0987,left,False
3.926,1.1393,0.343,0.527,2.4613,0.4381,1.747,1.3254,84.022,1.4665,0.1746,0.8254,-1.0,-0.1746,left,False
4.231,1.2291,0.3974,0.572,2.4375,0.5555,1.7949,1.2187,84.616,1.4768,0.2813,0.7187,-1.0,-0.2813,left,False
4.622,1.3151,0.4575,0.662,2.408,0.6719,1.8429,1.1137,85.508,1.4924,0.3863,0.6137,-1.0,-0.3863,left,False
4.777,1.3151,0.4575,0.662,2.397,0.7102,1.8588,1.111,86.641,1.5122,0.389,0.611,-1.0,-0.389,left,False
5.033,1.4406,0.579,0.8964,2.3466,0.8623,1.9229,0.9493,87.186,1.5217,0.5507,0.4493,-1.0,-0.5507,straight,False
5.331,1.5032,0.67,1.0408,2.3025,0.9738,1.9709,0.8551,87.884,1.5339,0.6449,0.3551,-1.0,-0.6449,straight,False
5.632,1.5693,0.7983,1.1458,2.2532,1.0831,2.0189,0.7408,86.937,1.5173,0.7592,0.2408,-1.0,-0.7592,left,False
5.939,1.6246,0.9317,1.217,2.1986,1.1901,2.0669,0.6295,85.806,1.4976,0.8705,0.1295,-1.0,-0.8705,straight,False
6.233,1.6595,1.041,1.3136,2.139,1.2941,2.1149,0.5422,86.66,1.5125,0.9578,0.0422,-1.0,-0.9578,straight,False
6.531,1.6909,1.1803,1.3796,2.0744,1.3952,2.1629,0.4397,85.347,1.4896,1.0603,0.0,-1.0,-1.0,straight,False
6.825,1.7174,1.3279,1.4006,2.0052,1.4931,2.2109,0.3318,83.187,1.4519,1.1682,0.0,-1.0,-1.0,straight,False
7.13,1.7428,1.4757,1.4006,1.9311,1.5877,2.2589,0.2191,81.305,1.419,1.2809,0.0,-1.0,-1.0,straight,False
7.425,1.7682,1.6236,1.4006,1.8528,1.6784,2.3069,0.1008,80.8,1.4102,1.3992,0.0,-1.0,-1.0,straight,False
7.731,1.7936,1.7714,1.4006,1.77,1.7655,2.3549,0.0243,120.948,2.1109,1.4757,0.0,-1.0,-1.0,straight,False
8.031,1.819,1.9192,1.4006,1.6833,1.8484,2.4029,0.1531,110.119,1.9219,1.3469,0.0,-1.0,-1.0,straight,False
8.232,1.836,2.0178,1.4006,1.6233,1.9013,2.4349,0.2425,110.805,1.9339,1.2575,0.0,-1.0,-1.0,straight,False
8.533,1.8614,2.1656,1.4006,1.5302,1.977,2.4829,0.3811,112.599,1.9652,1.1189,0.0,-1.0,-1.0,fast_right,False
8.834,1.8859,2.3079,1.395,1.4336,2.0481,2.5309,0.5216,115.139,2.0096,0.9784,0.0216,-1.0,-0.9784,fast_right,False
9.133,1.9101,2.4316,1.35,1.3336,2.1146,2.5789,0.6579,118.953,2.0761,0.8421,0.1579,-1.0,-0.8421,fast_right,False
9.427,1.9424,2.5533,1.26,1.2307,2.1761,2.6269,0.8055,122.585,2.1395,0.6945,0.3055,-1.0,-0.6945,fast_right,False
9.731,1.9879,2.6707,1.1256,1.1248,2.2327,2.6749,0.9679,126.35,2.2052,0.5321,0.4679,-1.0,-0.5321,left,False
