elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.39,-0.2214,0.1892,0.0919,2.5,0.0,1.5708,2.728,86.024,1.5014,1.228,0.318,-1.0,-0.682,fast_left,False
0.68,-0.2172,0.1896,0.0961,2.5,0.0,1.5708,2.7239,86.009,1.5011,1.2239,0.319,-1.0,-0.681,fast_left,False
0.881,-0.1944,0.192,0.1191,2.5,0.0,1.5708,2.7012,85.924,1.4997,1.2012,0.3247,-1.0,-0.6753,fast_left,False
1.187,-0.1232,0.203,0.1911,2.5,0.0,1.5708,2.6311,85.576,1.4936,1.1311,0.3422,-1.0,-0.6578,fast_left,False
1.386,-0.0521,0.2192,0.2641,2.5,0.0,1.5708,2.5615,85.092,1.4851,1.0615,0.3596,-1.0,-0.6404,fast_left,False
1.686,0.0671,0.2598,0.4069,2.5,0.0,1.5708,2.4467,83.905,1.4644,0.9467,0.3883,-1.0,-0.6117,fast_left,False
1.989,0.1789,0.3176,0.5569,2.5,0.0,1.5708,2.3427,82.209,1.4348,0.8427,0.4143,-1.0,-0.5857,fast_straight,False
2.289,0.2842,0.394,0.7027,2.5,0.0,1.5708,2.2506,79.918,1.3948,0.7506,0.4374,-1.0,-0.5626,fast_right,False
2.584,0.4001,0.5036,0.8107,2.4997,0.0403,1.5869,2.1501,76.633,1.3375,0.6501,0.4625,-1.0,-0.5375,fast_right,False
2.888,0.4887,0.603,0.8737,2.4949,0.1603,1.635,2.0544,73.88,1.2894,0.5544,0.4864,-1.0,-0.5136,fast_right,False
3.186,0.5684,0.7006,0.8917,2.4843,0.2797,1.6829,1.9615,71.187,1.2424,0.4615,0.5385,-1.0,-0.4615,fast_right,False
3.483,0.6484,0.7979,0.8647,2.468,0.3985,1.7309,1.8629,68.448,1.1946,0.3629,0.6371,-1.0,-0.3629,fast_right,False
