elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
1.137,-0.3762,-0.2251,0.0028,2.5,0.0,1.5708,2.885,94.475,1.6489,1.385,0.2788,-1.0,-0.7212,fast_left,False
1.373,-0.3742,-0.2251,0.0048,2.5,0.0,1.5708,2.883,94.478,1.6489,1.383,0.2793,-1.0,-0.7207,fast_left,False
1.677,-0.3382,-0.2243,0.0408,2.5,0.0,1.5708,2.847,94.519,1.6497,1.347,0.2882,-1.0,-0.7118,fast_left,False
1.97,-0.2574,-0.218,0.1218,2.5,0.0,1.5708,2.766,94.519,1.6497,1.266,0.3085,-1.0,-0.6915,fast_left,False
2.276,-0.139,-0.1966,0.2478,2.5,0.0,1.5708,2.6463,94.26,1.6451,1.1463,0.3384,-1.0,-0.6616,fast_left,False
2.475,-0.0586,-0.1723,0.3478,2.5,0.0002,1.5709,2.5645,93.853,1.638,1.0645,0.3589,-1.0,-0.6411,fast_left,False
2.678,0.0189,-0.1402,0.4478,2.4987,0.0802,1.6029,2.4896,93.241,1.6274,0.9896,0.3776,-1.0,-0.6224,fast_straight,False
2.97,0.1331,-0.075,0.5922,2.492,0.1999,1.6508,2.3749,92.06,1.6068,0.8749,0.4063,-1.0,-0.5937,fast_right,False
3.276,0.2582,0.0191,0.6972,2.4795,0.3193,1.6989,2.2415,90.36,1.5771,0.7415,0.4396,-1.0,-0.5604,fast_right,False
3.577,0.3545,0.1049,0.7572,2.4613,0.4379,1.7469,2.133,88.893,1.5515,0.633,0.4667,-1.0,-0.5333,fast_right,False
3.876,0.4451,0.1924,0.7722,2.4375,0.5556,1.7949,2.0252,87.489,1.527,0.5252,0.4937,-1.0,-0.5063,fast_right,False
4.177,0.5363,0.2794,0.7422,2.408,0.6719,1.8429,1.9125,86.252,1.5054,0.4125,0.5875,-1.0,-0.4125,fast_right,False
4.475,0.6317,0.3616,0.6672,2.373,0.7866,1.8909,1.7924,85.376,1.4901,0.2924,0.7076,-1.0,-0.2924,fast_right,False
4.779,0.7346,0.4343,0.5472,2.3326,0.8995,1.9389,1.6643,85.144,1.4861,0.1643,0.8357,-1.0,-0.1643,left,False
5.075,0.8412,0.4899,0.4034,2.2867,1.0104,1.9869,1.5363,85.965,1.5004,0.0363,0.9637,-1.0,-0.0363,left,False
5.38,0.9398,0.5259,0.2984,2.2356,1.119,2.0349,1.425,88.003,1.5359,0.075,0.925,-1.0,-0.075,left,False
5.682,1.0411,0.5536,0.2384,2.1793,1.225,2.0829,1.3215,91.195,1.5917,0.1785,0.8215,-1.0,-0.1785,left,False
5.971,1.1434,0.5773,0.2234,2.1181,1.328,2.1308,1.2303,95.516,1.6671,0.2697,0.7303,-1.0,-0.2697,left,False
6.271,1.2455,0.6016,0.2534,2.052,1.4281,2.1788,1.1547,100.867,1.7605,0.3453,0.6547,-1.0,-0.3453,left,False
6.552,1.3129,0.6204,0.2984,2.0052,1.4931,2.2108,1.1139,104.904,1.8309,0.3861,0.6139,-1.0,-0.3861,left,False
6.707,1.3129,0.6204,0.2984,1.9811,1.5249,2.2268,1.1245,105.961,1.8494,0.3755,0.6245,-1.0,-0.3755,left,False
6.977,1.4749,0.6859,0.4978,1.8794,1.6486,2.2909,1.0442,115.954,2.0238,0.4558,0.5442,-1.0,-0.4558,left,False
7.282,1.5634,0.7423,0.6478,1.7981,1.7369,2.3389,1.0219,122.713,2.1417,0.4781,0.5219,-1.0,-0.4781,straight,False
7.576,1.6465,0.8151,0.7922,1.7128,1.8211,2.3869,1.0082,129.475,2.2598,0.4918,0.5082,-1.0,-0.4918,right,False
7.879,1.7386,0.9189,0.8972,1.6234,1.9012,2.4349,0.9891,137.181,2.3943,0.5109,0.4891,-1.0,-0.5109,right,False
8.177,1.8049,1.0074,0.9572,1.5303,1.9769,2.4829,1.0077,143.555,2.5055,0.4923,0.5077,-1.0,-0.4923,right,False
