elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.385,0.3658,-0.1307,-0.2118,2.5,0.0,1.5708,2.1382,93.505,1.632,0.6382,0.4654,-1.0,-0.5346,fast_left,False
0.684,0.3658,-0.1307,-0.2118,2.5,0.0,1.5708,2.1382,93.505,1.632,0.6382,0.4654,-1.0,-0.5346,fast_left,False
0.992,0.3658,-0.1307,-0.2118,2.5,0.0,1.5708,2.1382,93.505,1.632,0.6382,0.4654,-1.0,-0.5346,fast_left,False
1.289,0.3712,-0.1319,-0.2062,2.5,0.0,1.5708,2.1328,93.545,1.6327,0.6328,0.4668,-1.0,-0.5332,fast_left,False
1.591,0.4155,-0.1402,-0.1612,2.5,0.0,1.5708,2.0892,93.847,1.6379,0.5892,0.4777,-1.0,-0.5223,fast_left,False
1.89,0.5048,-0.1509,-0.0712,2.5,0.0,1.5708,2.0009,94.325,1.6463,0.5009,0.4998,-1.0,-0.5002,fast_left,False
2.188,0.6287,-0.1523,0.0632,2.5,0.0,1.5708,1.8775,94.652,1.652,0.3775,0.6225,-1.0,-0.3775,fast_left,False
2.49,0.7535,-0.1355,0.2132,2.5,0.0,1.5708,1.7518,94.437,1.6482,0.2518,0.7482,-1.0,-0.2518,fast_left,False
2.789,0.8743,-0.1004,0.3632,2.5,0.0,1.5708,1.6288,93.532,1.6324,0.1288,0.8712,-1.0,-0.1288,left,False
3.09,0.9836,-0.0501,0.5132,2.4997,0.0402,1.5869,1.5187,92.488,1.6142,0.0187,0.9813,-1.0,-0.0187,left,False
3.392,1.0712,0.0077,0.6632,2.4949,0.1602,1.6349,1.4318,92.442,1.6134,0.0682,0.9318,-1.0,-0.0682,straight,False
3.69,1.1532,0.0818,0.8076,2.4843,0.2797,1.6829,1.3458,92.035,1.6063,0.1542,0.8458,-1.0,-0.1542,right,False
3.992,1.2436,0.1869,0.9126,2.468,0.3989,1.731,1.2425,90.641,1.582,0.2575,0.7425,-1.0,-0.2575,right,False
4.331,1.3086,0.2765,0.9726,2.4461,0.5166,1.7789,1.1625,89.995,1.5707,0.3375,0.6625,-1.0,-0.3375,right,False
4.595,1.3668,0.3638,0.9876,2.4185,0.6333,1.8269,1.0857,89.695,1.5655,0.4143,0.5857,-1.0,-0.4143,right,False
4.897,1.4255,0.4509,0.9576,2.3852,0.7487,1.875,1.0049,89.813,1.5675,0.4951,0.5049,-1.0,-0.4951,straight,False
5.196,1.4919,0.5393,0.8938,2.3466,0.8622,1.9229,0.9137,90.519,1.5799,0.5863,0.4137,-1.0,-0.5863,straight,False
5.494,1.5844,0.6502,0.8638,2.3025,0.9738,1.9709,0.7877,91.333,1.5941,0.7123,0.2877,-1.0,-0.7123,left,False
5.796,1.6781,0.76,0.8688,2.2532,1.0832,2.0189,0.6596,93.661,1.6347,0.8404,0.1596,-1.0,-0.8404,straight,False
6.095,1.7518,0.8499,0.9026,2.1986,1.19,2.0669,0.5616,98.851,1.7253,0.9384,0.0616,-1.0,-0.9384,straight,False
6.396,1.8407,0.9637,0.9082,2.139,1.2942,2.1149,0.4452,106.761,1.8633,1.0548,0.0,-1.0,-1.0,straight,False
6.695,1.933,1.0819,0.9082,2.0744,1.3953,2.1629,0.3438,121.78,2.1255,1.1562,0.0,-1.0,-1.0,straight,False
6.986,2.0252,1.2002,0.9082,2.0052,1.4931,2.2108,0.2936,147.25,2.57,1.2064,0.0,-1.0,-1.0,straight,False
7.294,2.1175,1.3184,0.9082,1.9311,1.5878,2.2589,0.3276,175.268,3.059,1.1724,0.0,-1.0,-1.0,right,False
7.594,2.2064,1.4322,0.9026,1.8525,1.6787,2.307,0.4313,167.041,2.9154,1.0687,0.0,-1.0,-1.0,fast_right,False
7.894,2.28,1.5222,0.8576,1.77,1.7655,2.3549,0.5651,160.439,2.8002,0.9349,0.0651,-1.0,-0.9349,fast_right,False
