elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.433,0.3137,-0.3304,-0.0406,2.5,0.0,1.5708,2.2111,98.595,1.7208,0.7111,0.4472,-1.0,-0.5528,fast_left,False
0.636,0.3137,-0.3304,-0.0406,2.5,0.0,1.5708,2.2111,98.595,1.7208,0.7111,0.4472,-1.0,-0.5528,fast_left,False
0.935,0.3137,-0.3304,-0.0406,2.5,0.0,1.5708,2.2111,98.595,1.7208,0.7111,0.4472,-1.0,-0.5528,fast_left,False
1.233,0.3193,-0.3307,-0.035,2.5,0.0,1.5708,2.2056,98.622,1.7213,0.7056,0.4486,-1.0,-0.5514,fast_left,False
1.438,0.3443,-0.3313,-0.01,2.5,0.0,1.5708,2.181,98.736,1.7233,0.681,0.4548,-1.0,-0.5452,fast_left,False
1.746,0.4193,-0.3294,0.065,2.5,0.0,1.5708,2.1066,98.996,1.7278,0.6066,0.4733,-1.0,-0.5267,fast_left,False
2.039,0.5354,-0.3154,0.185,2.5,0.0,1.5708,1.9898,99.121,1.73,0.4898,0.5102,-1.0,-0.4898,fast_left,False
2.341,0.6572,-0.2837,0.3344,2.5,0.0,1.5708,1.8645,98.753,1.7236,0.3645,0.6355,-1.0,-0.3645,fast_straight,False
2.639,0.778,-0.2318,0.4788,2.5,0.0,1.5708,1.7375,97.668,1.7046,0.2375,0.7625,-1.0,-0.2375,fast_straight,False
2.939,0.9235,-0.1459,0.5838,2.5,0.0,1.5708,1.5833,95.289,1.6631,0.0833,0.9167,-1.0,-0.0833,straight,False
3.24,1.0659,-0.0453,0.6438,2.4997,0.0402,1.5869,1.4363,92.494,1.6143,0.0637,0.9363,-1.0,-0.0637,straight,False
3.538,1.1854,0.0463,0.6594,2.4949,0.1601,1.6349,1.3144,91.294,1.5934,0.1856,0.8144,-1.0,-0.1856,left,False
3.923,1.2995,0.1349,0.665,2.4843,0.2797,1.6829,1.1937,90.546,1.5803,0.3063,0.6937,-1.0,-0.3063,straight,False
4.08,1.2995,0.1349,0.665,2.4795,0.3192,1.6988,1.1944,91.541,1.5977,0.3056,0.6944,-1.0,-0.3056,left,False
4.345,1.4472,0.2587,0.7346,2.454,0.4773,1.7629,1.0303,91.243,1.5925,0.4697,0.5303,-1.0,-0.4697,left,False
4.644,1.5234,0.3318,0.8066,2.4283,0.5945,1.8109,0.9423,92.434,1.6133,0.5577,0.4423,-1.0,-0.5577,left,False
4.937,1.5921,0.4111,0.9236,2.397,0.7102,1.8588,0.8587,93.88,1.6385,0.6413,0.3587,-1.0,-0.6413,left,False
5.244,1.6494,0.499,1.0724,2.3601,0.8246,1.9069,0.7817,95.358,1.6643,0.7183,0.2817,-1.0,-0.7183,straight,False
5.549,1.6951,0.5996,1.2168,2.3178,0.9368,1.9549,0.7082,96.432,1.6831,0.7918,0.2082,-1.0,-0.7918,right,False
5.844,1.7363,0.732,1.3218,2.2701,1.0471,2.003,0.6199,95.789,1.6718,0.8801,0.1199,-1.0,-0.8801,straight,False
6.149,1.7613,0.8455,1.3818,2.2174,1.1547,2.0509,0.551,96.629,1.6865,0.949,0.051,-1.0,-0.949,straight,False
6.442,1.7869,0.9876,1.3974,2.1593,1.26,2.099,0.4613,95.918,1.6741,1.0387,0.0,-1.0,-1.0,straight,False
6.736,1.8128,1.1354,1.3974,2.0966,1.3618,2.1468,0.363,95.582,1.6682,1.137,0.0,-1.0,-1.0,straight,False
6.939,1.83,1.2339,1.3974,2.0519,1.4282,2.1789,0.2949,96.382,1.6822,1.2051,0.0,-1.0,-1.0,straight,False
7.149,1.8473,1.3324,1.3974,2.0051,1.4932,2.2109,0.2253,98.87,1.7256,1.2747,0.0,-1.0,-1.0,straight,False
7.445,1.8732,1.4801,1.3974,1.9311,1.5877,2.2589,0.1222,112.287,1.9598,1.3778,0.0,-1.0,-1.0,straight,False
7.739,1.8991,1.6279,1.3974,1.8528,1.6784,2.3069,0.0686,179.724,3.1368,1.4314,0.0,-1.0,-1.0,straight,False
8.046,1.9249,1.7756,1.3974,1.77,1.7655,2.3549,0.1552,131.191,2.2897,1.3448,0.0,-1.0,-1.0,straight,False
8.345,1.9508,1.9234,1.3974,1.6833,1.8483,2.4029,0.2778,122.01,2.1295,1.2222,0.0,-1.0,-1.0,straight,False
8.648,1.9767,2.0711,1.3974,1.5927,1.927,2.4509,0.4101,119.851,2.0918,1.0899,0.0,-1.0,-1.0,fast_right,False
8.934,2.0017,2.2133,1.3918,1.4985,2.0011,2.4988,0.5461,120.306,2.0997,0.9539,0.0461,-1.0,-0.9539,fast_right,False
9.245,2.0263,2.3369,1.3468,1.4006,2.0708,2.5469,0.6799,122.884,2.1447,0.8201,0.1799,-1.0,-0.8201,fast_right,False
9.546,2.0589,2.4586,1.2568,1.2997,2.1356,2.5949,0.8251,125.634,2.1927,0.6749,0.3251,-1.0,-0.6749,fast_right,False
9.844,2.1048,2.5758,1.1224,1.1957,2.1955,2.6429,0.9855,128.732,2.2468,0.5145,0.4855,-1.0,-0.5145,left,False
10.146,2.1641,2.6805,0.978,1.089,2.2504,2.6909,1.158,132.375,2.3104,0.342,0.658,-1.0,-0.342,left,False
10.448,2.2273,2.7643,0.873,0.9797,2.3001,2.7389,1.3312,136.519,2.3827,0.1688,0.8312,-1.0,-0.1688,left,False
10.747,2.2973,2.8426,0.813,0.8683,2.3444,2.7869,1.5133,140.458,2.4515,0.0133,0.9867,-1.0,-0.0133,left,False
11.047,2.3702,2.918,0.798,0.7547,2.3834,2.8349,1.7017,144.116,2.5153,0.2017,0.7983,-1.0,-0.2017,left,False
11.344,2.4428,2.994,0.828,0.6395,2.4168,2.8829,1.8934,147.432,2.5732,0.3934,0.6066,-1.0,-0.3934,left,False
11.646,2.5113,3.0735,0.903,0.5228,2.4447,2.9309,2.0855,150.382,2.6247,0.5855,0.4786,-1.0,-0.5214,left,False
11.945,2.5719,3.1591,1.023,0.4049,2.467,2.9789,2.2748,152.965,2.6697,0.7748,0.4313,-1.0,-0.5687,left,False
12.246,2.6202,3.2523,1.1724,0.2861,2.4836,3.0269,2.4574,155.202,2.7088,0.9574,0.3856,-1.0,-0.6144,left,False
12.536,2.654,3.3516,1.3224,0.1668,2.4944,3.0748,2.6308,157.16,2.743,1.1308,0.3423,-1.0,-0.6577,left,False
12.846,2.6726,3.4548,1.4724,0.0467,2.4996,3.1229,2.7943,158.939,2.774,1.2943,0.3014,-1.0,-0.6986,left,False
13.144,2.6756,3.5597,1.6224,-0.0733,2.4989,-3.1123,2.9464,160.578,2.8026,1.4464,0.2634,-1.0,-0.7366,left,False
13.449,2.6629,3.6638,1.7724,-0.1931,2.4925,-3.0643,3.0868,162.13,2.8297,1.5868,0.2283,-1.0,-0.7717,left,False
13.858,2.6347,3.7649,1.9224,-0.3125,2.4804,-3.0163,3.2149,163.631,2.8559,1.7149,0.1963,-1.0,-0.8037,left,False
14.013,2.6347,3.7649,1.9224,-0.3519,2.4751,-3.0004,3.2532,164.735,2.8752,1.7532,0.1867,-1.0,-0.8133,left,False
14.235,2.5554,3.9203,2.1724,-0.5095,2.4475,-2.9364,3.4004,166.093,2.8989,1.9004,0.1499,-1.0,-0.8501,left,False
14.434,2.5133,3.9762,2.2724,-0.5875,2.43,-2.9044,3.4649,167.089,2.9163,1.9649,0.1338,-1.0,-0.8662,fast_left,False
14.746,2.436,4.0552,2.4224,-0.7036,2.3989,-2.8563,3.5498,168.534,2.9415,2.0498,0.1126,-1.0,-0.8874,left,False
15.035,2.3404,4.1281,2.5724,-0.8178,2.3625,-2.8083,3.6182,169.885,2.965,2.1182,0.0954,-1.0,-0.9046,fast_left,False
15.344,2.2432,4.1808,2.7224,-0.9303,2.3205,-2.7603,3.6786,171.468,2.9927,2.1786,0.0803,-1.0,-0.9197,left,False
15.645,2.1303,4.2222,2.8724,-1.0406,2.2731,-2.7123,3.722,173.019,3.0198,2.222,0.0695,-1.0,-0.9305,fast_left,False
15.944,2.022,4.2438,3.0224,-1.1485,2.2206,-2.6643,3.761,174.804,3.0509,2.261,0.0598,-1.0,-0.9402,fast_straight,False
16.243,1.8906,4.2501,-3.1164,-1.2537,2.1629,-2.6163,3.774,176.522,3.0809,2.274,0.0565,-1.0,-0.9435,fast_right,False
16.534,1.7314,4.2376,-3.0114,-1.3559,2.1004,-2.5684,3.7549,178.15,3.1093,2.2549,0.0613,-1.0,-0.9387,fast_right,False
16.735,1.6428,4.2241,-2.9664,-1.4224,2.0559,-2.5363,3.7546,179.405,3.1312,2.2546,0.0613,-1.0,-0.9387,fast_right,False
17.036,1.5192,4.2,-2.9364,-1.5194,1.9853,-2.4883,3.76,178.658,3.1182,2.26,0.06,-1.0,-0.94,fast_right,False
17.342,1.3957,4.1747,-2.9514,-1.613,1.91,-2.4403,3.7658,176.788,3.0855,2.2658,0.0585,-1.0,-0.9415,fast_left,False
17.642,1.2715,4.1537,-3.0002,-1.7028,1.8304,-2.3923,3.7742,175.062,3.0554,2.2742,0.0565,-1.0,-0.9435,fast_left,False
17.945,1.1466,4.1373,-3.0152,-1.7887,1.7466,-2.3443,3.7857,173.48,3.0278,2.2857,0.0536,-1.0,-0.9464,fast_left,False
18.245,1.0217,4.1201,-2.9852,-1.8704,1.6588,-2.2963,3.7977,171.968,3.0014,2.2977,0.0506,-1.0,-0.9494,fast_left,False
