elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.384,0.2127,-0.2973,-0.0129,5.0,0.0,1.5708,4.7966,93.553,1.6328,3.2966,0.0,-1.0,-1.0,fast_left,False
0.685,0.2183,-0.2973,-0.0073,5.0,0.0,1.5708,4.791,93.558,1.6329,3.291,0.0,-1.0,-1.0,fast_left,False
0.985,0.2633,-0.2967,0.0377,5.0,0.0,1.5708,4.746,93.585,1.6334,3.246,0.0,-1.0,-1.0,fast_left,False
1.281,0.3529,-0.2896,0.1277,5.0,0.0,1.5708,4.6561,93.566,1.633,3.1561,0.0,-1.0,-1.0,fast_left,False
1.586,0.4747,-0.2664,0.2621,5.0,0.0,1.5708,4.5332,93.369,1.6296,3.0332,0.0,-1.0,-1.0,fast_straight,False
1.885,0.5989,-0.2234,0.4065,5.0,0.0,1.5708,4.4068,92.906,1.6215,2.9068,0.0,-1.0,-1.0,fast_right,False
2.186,0.7421,-0.1526,0.5115,5.0,0.0,1.5708,4.2606,92.052,1.6066,2.7606,0.0,-1.0,-1.0,fast_right,False
2.487,0.8548,-0.0847,0.5715,5.0,0.0,1.5708,4.1461,91.17,1.5912,2.6461,0.0,-1.0,-1.0,fast_right,False
2.781,0.96,-0.0154,0.5865,4.9994,0.0801,1.5868,4.0405,90.436,1.5784,2.5405,0.0,-1.0,-1.0,fast_right,False
2.988,1.0302,0.0308,0.5715,4.9974,0.1604,1.6029,3.9693,90.033,1.5714,2.4693,0.0077,-1.0,-0.9923,fast_right,False
3.286,1.1378,0.0963,0.5115,4.9921,0.2801,1.6268,3.8587,89.519,1.5624,2.3587,0.0353,-1.0,-0.9647,fast_right,False
3.589,1.2503,0.1529,0.4065,4.984,0.3999,1.6509,3.7419,89.197,1.5568,2.2419,0.0645,-1.0,-0.9355,fast_right,False
3.887,1.3689,0.195,0.2621,4.973,0.5193,1.6748,3.6186,89.18,1.5565,2.1186,0.0954,-1.0,-0.9046,fast_left,False
4.185,1.4925,0.2192,0.1177,4.9591,0.6383,1.6988,3.4919,89.56,1.5631,1.9919,0.127,-1.0,-0.873,fast_left,False
4.486,1.6182,0.2274,0.0127,4.9423,0.7572,1.7228,3.3661,90.346,1.5768,1.8661,0.1585,-1.0,-0.8415,fast_left,False
4.794,1.7441,0.225,-0.0473,4.9227,0.8757,1.7468,3.2445,91.483,1.5967,1.7445,0.1889,-1.0,-0.8111,fast_left,False
5.088,1.8699,0.2177,-0.0623,4.9003,0.9935,1.7708,3.1281,92.9,1.6214,1.6281,0.218,-1.0,-0.782,fast_left,False
5.388,1.9957,0.2111,-0.0323,4.875,1.1108,1.7948,3.0166,94.516,1.6496,1.5166,0.2458,-1.0,-0.7542,fast_left,False
5.791,2.1217,0.211,0.0427,4.8469,1.2276,1.8189,2.9087,96.245,1.6798,1.4087,0.2728,-1.0,-0.7272,fast_left,False
5.947,2.1217,0.211,0.0427,4.837,1.2662,1.8268,2.9131,96.567,1.6854,1.4131,0.2717,-1.0,-0.7283,fast_left,False
6.183,2.3292,0.2402,0.2621,4.794,1.4202,1.8588,2.7327,99.081,1.7293,1.2327,0.3168,-1.0,-0.6832,fast_left,False
6.382,2.4093,0.2656,0.3621,4.7707,1.4968,1.8748,2.6631,100.117,1.7474,1.1631,0.3342,-1.0,-0.6658,fast_left,False
6.582,2.4864,0.2988,0.4621,4.7462,1.5729,1.8908,2.5942,101.078,1.7642,1.0942,0.3515,-1.0,-0.6485,fast_left,False
6.783,2.5598,0.3396,0.5621,4.7204,1.6486,1.9068,2.5262,101.957,1.7795,1.0262,0.3684,-1.0,-0.6316,fast_straight,False
