elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.441,-0.2238,-0.3432,0.0682,5.0,0.0,1.5708,5.2351,93.759,1.6364,3.7351,0.0,-1.0,-1.0,fast_straight,False
0.746,-0.2238,-0.3432,0.0682,5.0,0.0,1.5708,5.2351,93.759,1.6364,3.7351,0.0,-1.0,-1.0,fast_left,False
1.047,-0.2238,-0.3432,0.0682,5.0,0.0,1.5708,5.2351,93.759,1.6364,3.7351,0.0,-1.0,-1.0,fast_left,False
1.342,-0.2148,-0.3426,0.0772,5.0,0.0,1.5708,5.2261,93.758,1.6364,3.7261,0.0,-1.0,-1.0,fast_straight,False
1.541,-0.186,-0.34,0.1038,5.0,0.0,1.5708,5.1971,93.751,1.6363,3.6971,0.0,-1.0,-1.0,fast_straight,False
1.749,-0.1373,-0.3344,0.1188,5.0,0.0,1.5708,5.1482,93.725,1.6358,3.6482,0.0,-1.0,-1.0,fast_straight,False
2.048,-0.0271,-0.3212,0.1194,5.0,0.0,1.5708,5.0373,93.656,1.6346,3.5373,0.0,-1.0,-1.0,fast_straight,False
2.349,0.1278,-0.3026,0.1194,5.0,0.0,1.5708,4.8816,93.555,1.6328,3.3816,0.0,-1.0,-1.0,fast_left,False
2.647,0.301,-0.2818,0.125,5.0,0.0007,1.5709,4.7075,93.432,1.6307,3.2075,0.0,-1.0,-1.0,fast_left,False
2.948,0.4366,-0.2625,0.17,4.9985,0.1207,1.5949,4.578,93.418,1.6304,3.078,0.0,-1.0,-1.0,fast_left,False
3.248,0.5598,-0.2364,0.26,4.9942,0.2406,1.6189,4.46,93.382,1.6298,2.96,0.0,-1.0,-1.0,fast_left,False
3.548,0.6716,-0.2001,0.3844,4.987,0.3599,1.6428,4.3516,93.266,1.6278,2.8516,0.0,-1.0,-1.0,fast_right,False
3.848,0.792,-0.1406,0.5388,4.9769,0.4803,1.667,4.2307,92.927,1.6219,2.7307,0.0,-1.0,-1.0,fast_right,False
4.159,0.8965,-0.0704,0.6438,4.9639,0.5996,1.691,4.1222,92.466,1.6138,2.6222,0.0,-1.0,-1.0,fast_right,False
4.443,0.9948,0.0084,0.7038,4.9482,0.7175,1.7148,4.0165,91.918,1.6043,2.5165,0.0,-1.0,-1.0,fast_right,False
4.643,1.0584,0.0633,0.7188,4.9361,0.7966,1.7308,3.9465,91.542,1.5977,2.4465,0.0134,-1.0,-0.9866,fast_right,False
5.027,1.1535,0.1459,0.7038,4.9155,0.9156,1.755,3.8399,91.011,1.5884,2.3399,0.04,-1.0,-0.96,fast_right,False
5.182,1.1535,0.1459,0.7038,4.9081,0.9541,1.7628,3.8406,91.147,1.5908,2.3406,0.0398,-1.0,-0.9602,fast_right,False
5.442,1.32,0.2736,0.5788,4.8751,1.1107,1.7948,3.6522,90.415,1.578,2.1522,0.0869,-1.0,-0.9131,fast_right,False
5.653,1.392,0.317,0.4938,4.8565,1.1893,1.811,3.5726,90.372,1.5773,2.0726,0.1068,-1.0,-0.8932,fast_straight,False
5.954,1.5119,0.3709,0.35,4.8265,1.3058,1.835,3.4439,90.612,1.5815,1.9439,0.139,-1.0,-0.861,fast_left,False
6.242,1.6646,0.4177,0.245,4.794,1.4203,1.8588,3.2861,91.261,1.5928,1.7861,0.1785,-1.0,-0.8215,fast_left,False
6.555,1.7932,0.4457,0.185,4.7583,1.5357,1.883,3.1592,92.297,1.6109,1.6592,0.2102,-1.0,-0.7898,fast_left,False
6.842,1.9173,0.4675,0.17,4.7204,1.6486,1.9068,3.0418,93.596,1.6336,1.5418,0.2396,-1.0,-0.7604,fast_left,False
7.043,2.0,0.4822,0.185,4.6934,1.724,1.9228,2.9659,94.583,1.6508,1.4659,0.2585,-1.0,-0.7415,fast_left,False
7.254,2.0823,0.4988,0.22,4.665,1.7995,1.939,2.8917,95.638,1.6692,1.3917,0.2771,-1.0,-0.7229,fast_left,False
7.552,2.1961,0.5284,0.3026,4.6206,1.9105,1.9629,2.7908,97.221,1.6968,1.2908,0.3023,-1.0,-0.6977,fast_left,False
7.854,2.3215,0.5764,0.4444,4.5732,2.0213,1.987,2.6754,98.844,1.7252,1.1754,0.3311,-1.0,-0.6689,fast_left,False
8.154,2.4311,0.6383,0.5944,4.5234,2.1304,2.011,2.5699,100.275,1.7501,1.0699,0.3575,-1.0,-0.6425,fast_left,False
8.442,2.5302,0.7159,0.7444,4.4713,2.2377,2.0348,2.4665,101.509,1.7717,0.9665,0.3834,-1.0,-0.6166,fast_left,False
8.643,2.5894,0.7755,0.8444,4.4349,2.309,2.0508,2.3995,102.219,1.7841,0.8995,0.4001,-1.0,-0.5999,fast_left,False
8.843,2.6422,0.8407,0.9444,4.3974,2.3796,2.0668,2.3343,102.824,1.7946,0.8343,0.4164,-1.0,-0.5836,fast_straight,False
9.149,2.7124,0.9538,1.0872,4.3389,2.4847,2.0909,2.2336,103.467,1.8058,0.7336,0.4416,-1.0,-0.5584,fast_right,False
9.443,2.7806,1.1016,1.1892,4.2782,2.5878,2.1148,2.1099,103.611,1.8084,0.6099,0.4725,-1.0,-0.5275,fast_right,False
9.754,2.8265,1.2266,1.2462,4.2145,2.6904,2.139,2.0172,103.971,1.8146,0.5172,0.4957,-1.0,-0.5043,fast_right,False
10.054,2.863,1.3384,1.2588,4.1489,2.7904,2.1629,1.9396,104.548,1.8247,0.4396,0.5604,-1.0,-0.4396,fast_right,False
10.347,2.9057,1.4658,1.2252,4.0808,2.8891,2.1868,1.8457,105.158,1.8354,0.3457,0.6543,-1.0,-0.3457,fast_right,False
10.647,2.9523,1.5829,1.1472,4.0103,2.9862,2.2108,1.7575,106.311,1.8555,0.2575,0.7425,-1.0,-0.2575,fast_right,False
10.85,2.9893,1.6583,1.0702,3.9617,3.0503,2.2269,1.6981,107.469,1.8757,0.1981,0.8019,-1.0,-0.1981,right,False
11.155,3.0537,1.7599,0.9244,3.8873,3.1447,2.251,1.6164,109.982,1.9195,0.1164,0.8836,-1.0,-0.1164,right,False
11.451,3.1226,1.839,0.7744,3.8106,3.2372,2.275,1.5583,113.451,1.9801,0.0583,0.9417,-1.0,-0.0583,right,False
11.749,3.2025,1.9069,0.6244,3.7323,3.3271,2.2989,1.5158,117.827,2.0565,0.0158,0.9842,-1.0,-0.0158,straight,False
12.056,3.2965,1.9649,0.48,3.6509,3.4163,2.323,1.494,123.182,2.1499,0.006,0.994,-1.0,-0.006,left,False
12.352,3.4148,2.0192,0.3806,3.5684,3.5024,2.3469,1.4911,129.625,2.2624,0.0089,0.9911,-1.0,-0.0089,left,False
12.675,3.5269,2.0597,0.315,3.4828,3.5875,2.371,1.5284,135.805,2.3703,0.0284,0.9716,-1.0,-0.0284,left,False
12.95,3.6271,2.0912,0.3,3.3958,3.6699,2.395,1.5956,141.112,2.4629,0.0956,0.9044,-1.0,-0.0956,left,False
13.25,3.7271,2.1232,0.33,3.3068,3.7504,2.419,1.6805,145.886,2.5462,0.1805,0.8195,-1.0,-0.1805,left,False
13.557,3.8253,2.1603,0.405,3.2157,3.8287,2.443,1.7763,150.097,2.6197,0.2763,0.7237,-1.0,-0.2763,left,False
13.848,3.9194,2.2067,0.525,3.1234,3.9044,2.4669,1.8751,153.779,2.684,0.3751,0.6249,-1.0,-0.3751,left,False
14.156,4.0063,2.2654,0.6744,3.0283,3.9786,2.491,1.9727,156.998,2.7401,0.4727,0.5273,-1.0,-0.4727,left,False
14.442,4.0835,2.3365,0.8244,2.9327,4.0496,2.5148,2.0638,159.803,2.7891,0.5638,0.4841,-1.0,-0.5159,left,False
14.642,4.1287,2.3899,0.9244,2.8675,4.096,2.5308,2.1216,161.467,2.8181,0.6216,0.4696,-1.0,-0.5304,left,False
14.943,4.1858,2.4779,1.0744,2.7684,4.1636,2.5548,2.2024,163.678,2.8567,0.7024,0.4494,-1.0,-0.5506,left,False
15.256,4.2292,2.5734,1.2244,2.667,4.2293,2.579,2.2765,165.568,2.8897,0.7765,0.4309,-1.0,-0.5691,fast_left,False
15.557,4.2591,2.6798,1.3744,2.5645,4.2922,2.603,2.3392,167.28,2.9196,0.8392,0.4152,-1.0,-0.5848,fast_left,False
15.854,4.275,2.8046,1.5244,2.461,4.3524,2.627,2.3845,169.013,2.9498,0.8845,0.4039,-1.0,-0.5961,fast_left,False
16.153,4.272,2.9305,1.6744,2.3559,4.4102,2.651,2.421,170.434,2.9746,0.921,0.3948,-1.0,-0.6052,fast_left,False
16.45,4.2503,3.0545,1.8244,2.2498,4.4652,2.6749,2.4479,171.549,2.9941,0.9479,0.388,-1.0,-0.612,fast_left,False
16.744,4.2102,3.1738,1.9744,2.1423,4.5178,2.6988,2.4663,172.35,3.0081,0.9663,0.3834,-1.0,-0.6166,fast_left,False
16.955,4.1738,3.2495,2.0744,2.069,4.5518,2.715,2.4751,172.697,3.0141,0.9751,0.3812,-1.0,-0.6188,fast_left,False
17.244,4.1055,3.3552,2.2244,1.9599,4.5999,2.7388,2.4805,172.96,3.0187,0.9805,0.3799,-1.0,-0.6201,fast_left,False
17.553,4.0222,3.4496,2.3744,1.8483,4.6458,2.7629,2.4813,172.871,3.0172,0.9813,0.3797,-1.0,-0.6203,fast_left,False
17.852,3.9325,3.5255,2.5144,1.7366,4.6887,2.7869,2.4849,172.411,3.0091,0.9849,0.3788,-1.0,-0.6212,fast_left,False
18.142,3.8182,3.5959,2.6744,1.6239,4.7289,2.8108,2.4695,171.642,2.9957,0.9695,0.3826,-1.0,-0.6174,fast_left,False
18.342,3.7416,3.6303,2.7744,1.548,4.7543,2.8268,2.4648,170.904,2.9828,0.9648,0.3838,-1.0,-0.6162,fast_straight,False
18.646,3.6143,3.6691,2.9172,1.4333,4.7901,2.8508,2.4522,169.455,2.9575,0.9522,0.387,-1.0,-0.613,fast_straight,False
18.951,3.4459,3.6983,3.0192,1.3177,4.8232,2.8749,2.4072,167.419,2.922,0.9072,0.3982,-1.0,-0.6018,fast_right,False
19.254,3.2722,3.7144,3.0762,1.2013,4.8535,2.899,2.3635,165.089,2.8813,0.8635,0.4091,-1.0,-0.5909,fast_right,False
19.452,3.1774,3.7199,3.0892,1.1234,4.8722,2.915,2.3551,163.693,2.857,0.8551,0.4112,-1.0,-0.5888,right,False
19.752,3.0572,3.7268,3.0712,1.0064,4.8977,2.9389,2.3615,161.888,2.8255,0.8615,0.4096,-1.0,-0.5904,fast_right,False
20.054,2.9471,3.7375,3.0082,0.8883,4.9205,2.963,2.3745,160.353,2.7987,0.8745,0.4064,-1.0,-0.5936,right,False
20.352,2.8355,3.7572,2.9088,0.7705,4.9403,2.9869,2.3798,159.057,2.7761,0.8798,0.405,-1.0,-0.595,fast_right,False
20.646,2.7235,3.7926,2.7544,0.652,4.9573,3.0108,2.3764,158.146,2.7602,0.8764,0.4059,-1.0,-0.5941,fast_right,False
20.955,2.6105,3.8482,2.6044,0.5318,4.9716,3.035,2.3629,157.716,2.7527,0.8629,0.4093,-1.0,-0.5907,fast_left,False
21.255,2.5071,3.9199,2.46,0.4125,4.983,3.059,2.3489,157.824,2.7546,0.8489,0.4128,-1.0,-0.5872,fast_left,False
21.555,2.4136,4.0043,2.355,0.2929,4.9914,3.083,2.3392,158.399,2.7646,0.8392,0.4152,-1.0,-0.5848,fast_left,False
21.967,2.3275,4.0963,2.295,0.1731,4.997,3.107,2.3351,159.296,2.7802,0.8351,0.4162,-1.0,-0.5838,fast_left,False
22.122,2.3275,4.0963,2.295,0.1339,4.9982,3.1148,2.3718,159.185,2.7783,0.8718,0.4071,-1.0,-0.5929,fast_left,False
22.353,2.19,4.255,2.295,-0.0268,4.9999,-3.1362,2.3386,161.12,2.8121,0.8386,0.4153,-1.0,-0.5847,fast_left,False
22.643,2.1043,4.3474,2.355,-0.146,4.9979,-3.1124,2.3425,162.203,2.831,0.8425,0.4144,-1.0,-0.5856,fast_left,False
22.843,2.0434,4.4052,2.42,-0.2261,4.9949,-3.0964,2.3448,162.842,2.8421,0.8448,0.4138,-1.0,-0.5862,fast_left,False
23.154,1.9441,4.4826,2.5544,-0.3464,4.988,-3.0723,2.3456,163.584,2.8551,0.8456,0.4136,-1.0,-0.5864,fast_left,False
23.442,1.8347,4.5448,2.7044,-0.4654,4.9783,-3.0484,2.3405,163.987,2.8621,0.8405,0.4149,-1.0,-0.5851,fast_left,False
