elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action,tracking_ok
0.383,5.0,1.5,1.5708,5.0,0.0,1.5708,1.5,0.0,0.0,0.0,1.0,1.0,2.0,fast_right,True
0.583,5.0,1.5012,1.5696,5.0,0.0,1.5708,1.5012,0.0,0.0,0.0012,0.9988,1.0,1.9988,fast_right,True
0.882,5.0005,1.5342,1.5366,5.0,0.0,1.5708,1.5342,0.02,0.0004,0.0342,0.9658,0.9992,1.965,fast_right,True
1.083,5.0031,1.5811,1.4896,5.0,0.0,1.5708,1.5811,0.114,0.002,0.0811,0.9189,0.9954,1.9143,fast_right,True
1.382,5.0173,1.6879,1.3816,5.0,0.0,1.5708,1.688,0.586,0.0102,0.188,0.812,0.9766,1.7885,fast_right,True
1.688,5.0491,1.8097,1.2358,5.0,0.0,1.5708,1.8104,1.554,0.0271,0.3104,0.6896,0.9378,1.6274,fast_straight,True
1.982,5.1011,1.9305,1.0914,5.0,0.0,1.5708,1.9332,2.997,0.0523,0.4332,0.5668,0.8801,1.447,fast_left,True
2.286,5.1804,2.0654,0.9864,5.0,0.0,1.5708,2.0733,4.993,0.0871,0.5733,0.4817,0.8003,1.282,left,True
2.586,5.2516,2.1662,0.9264,5.0,0.0002,1.5708,2.1806,6.627,0.1157,0.6806,0.4548,0.7349,1.1898,left,True
2.889,5.3156,2.2495,0.9114,4.9986,0.1202,1.5948,2.1527,9.845,0.1718,0.6527,0.4618,0.6062,1.068,fast_left,True
3.187,5.3824,2.3376,0.9414,4.9942,0.2401,1.6188,2.1331,13.236,0.231,0.6331,0.4667,0.4706,0.9373,left,True
3.483,5.4503,2.437,1.0164,4.987,0.3598,1.6428,2.1283,16.698,0.2914,0.6283,0.4679,0.3321,0.8,left,True
3.788,5.5008,2.529,1.1364,4.977,0.4795,1.6668,2.1154,19.84,0.3463,0.6154,0.4712,0.2064,0.6776,fast_left,True
4.089,5.5399,2.6323,1.2858,4.964,0.5987,1.6908,2.1136,22.689,0.396,0.6136,0.4716,0.0924,0.564,left,True
4.396,5.5659,2.7498,1.4358,4.9482,0.7178,1.7148,2.1238,25.161,0.4391,0.6238,0.469,-0.0064,0.4626,fast_left,True
4.69,5.5728,2.8601,1.5858,4.9296,0.8363,1.7388,2.1235,27.26,0.4758,0.6235,0.4691,-0.0904,0.3787,left,True
4.992,5.5628,2.9799,1.7358,4.9081,0.9544,1.7629,2.1288,28.918,0.5047,0.6288,0.4678,-0.1567,0.3111,left,True
5.284,5.5384,3.082,1.8858,4.8838,1.0717,1.7868,2.1141,30.414,0.5308,0.6141,0.4715,-0.2166,0.2549,fast_left,True
5.592,5.4967,3.1843,2.0358,4.8566,1.1887,1.8108,2.0957,31.536,0.5504,0.5957,0.4761,-0.2614,0.2147,left,True
5.893,5.4356,3.2879,2.1858,4.8267,1.3049,1.8348,2.0743,32.198,0.562,0.5743,0.4814,-0.2879,0.1935,left,True
6.184,5.3692,3.3691,2.3358,4.794,1.4203,1.8588,2.032,32.945,0.575,0.532,0.492,-0.3178,0.1742,fast_left,True
6.551,5.2871,3.4431,2.4858,4.7586,1.5349,1.8828,1.9801,33.358,0.5822,0.4801,0.5199,-0.3343,0.1856,fast_straight,True
6.706,5.2871,3.4431,2.4858,4.7462,1.5729,1.8908,1.9469,34.467,0.6016,0.4469,0.5531,-0.3787,0.1744,fast_left,True
6.984,5.0961,3.5564,2.7232,4.6934,1.724,1.9228,1.8762,32.565,0.5684,0.3762,0.6238,-0.3026,0.3212,fast_straight,True
7.184,5.0172,3.5874,2.8224,4.6652,1.7988,1.9388,1.8228,32.219,0.5623,0.3228,0.6772,-0.2888,0.3884,left,True
7.496,4.8773,3.6243,2.9536,4.6206,1.9105,1.9629,1.7329,30.981,0.5407,0.2329,0.7671,-0.2392,0.5278,fast_right,True
7.784,4.7567,3.6388,3.0974,4.5735,2.0206,1.9868,1.6285,30.294,0.5287,0.1285,0.8715,-0.2117,0.6598,fast_right,True
7.984,4.6727,3.6395,-3.1108,4.5406,2.0935,2.0028,1.5517,29.635,0.5172,0.0517,0.9483,-0.1854,0.763,right,True
8.284,4.5526,3.6313,-3.0358,4.4891,2.2019,2.0268,1.4308,28.672,0.5004,0.0692,0.9308,-0.1469,0.7839,right,True
8.592,4.4484,3.6183,-3.0058,4.4348,2.3092,2.0509,1.3093,28.099,0.4904,0.1907,0.8093,-0.124,0.6853,fast_right,True
8.889,4.3388,3.6038,-3.0208,4.3782,2.4148,2.0748,1.1896,26.979,0.4709,0.3104,0.6896,-0.0791,0.6105,right,True
9.184,4.219,3.592,-3.0808,4.319,2.5191,2.0988,1.0775,24.926,0.435,0.4225,0.5775,0.003,0.5805,right,True
