elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
15.044,4.1436,-0.4173,1.6276,2.0,0.0,0.0,2.1838,11.016,0.1923,0.6838,0.4541,0.5594,1.0134,left
15.252,4.1392,-0.3474,1.6406,2.0,0.0,0.0,2.1672,9.225,0.161,0.6672,0.4582,0.631,1.0892,straight
15.555,4.1287,-0.2373,1.6864,2.0,0.0,0.0,2.1419,6.362,0.111,0.6419,0.4645,0.7455,1.2101,left
15.853,4.1109,-0.0983,1.7068,2.0,0.0,0.0,2.1132,2.665,0.0465,0.6132,0.4717,0.8934,1.3651,left
16.151,4.0932,0.0125,1.7578,2.0,0.0,0.0,2.0932,0.342,0.006,0.5932,0.4767,0.9863,1.463,left
16.455,4.0688,0.1146,1.8538,2.0,0.0,0.0,2.072,3.171,0.0553,0.572,0.482,0.8732,1.3552,left
16.755,4.0324,0.213,1.9928,2.0,0.0,0.0,2.0436,5.983,0.1044,0.5436,0.4891,0.7607,1.2498,left
17.044,3.982,0.305,2.1428,2.0,0.0,0.0,2.0053,8.747,0.1527,0.5053,0.4987,0.6501,1.1488,left
17.354,3.9183,0.3883,2.2928,2.0,0.0,0.0,1.9572,11.444,0.1997,0.4572,0.5428,0.5422,1.085,left
17.654,3.8429,0.4613,2.4428,2.0,0.0,0.0,1.8998,14.052,0.2453,0.3998,0.6002,0.4379,1.0381,left
17.958,3.7575,0.5221,2.5928,2.0,0.0,0.0,1.8334,16.546,0.2888,0.3334,0.6666,0.3381,1.0048,straight
18.252,3.6601,0.5713,2.7386,2.0,0.0,0.0,1.7556,18.991,0.3314,0.2556,0.7444,0.2404,0.9847,right
18.544,3.5322,0.6168,2.8466,2.0,0.0,0.0,1.6517,21.927,0.3827,0.1517,0.8483,0.1229,0.9713,right
18.856,3.4266,0.6447,2.9096,2.0,0.0,0.0,1.5655,24.318,0.4244,0.0655,0.9345,0.0273,0.9617,straight
19.155,3.32,0.6684,2.9278,2.0,0.0,0.0,1.4796,26.854,0.4687,0.0204,0.9796,-0.0742,0.9054,right
19.454,3.1846,0.6979,2.9236,2.0,0.0,0.0,1.3749,30.503,0.5324,0.1251,0.8749,-0.2201,0.6548,right
19.755,3.0755,0.7241,2.8816,2.0,0.0,0.0,1.2965,33.95,0.5925,0.2035,0.7965,-0.358,0.4385,right
20.055,2.9753,0.7554,2.7946,2.0,0.0,0.0,1.2336,37.757,0.659,0.2664,0.7336,-0.5103,0.2233,right
20.357,2.8793,0.7975,2.6628,2.0,0.0,0.0,1.1871,42.21,0.7367,0.3129,0.6871,-0.6884,-0.0013,fast_right
20.655,2.7869,0.8556,2.5128,2.0,0.0,0.0,1.1624,47.395,0.8272,0.3376,0.6624,-0.8958,-0.2334,fast_right
