elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.439,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.745,2.5,1.0056,1.5708,2.5,0.0,1.5708,1.0056,0.0,0.0,0.4944,0.5056,1.0,1.5056,fast_straight
1.044,2.5,1.0506,1.5708,2.5,0.0,1.5708,1.0506,0.0,0.0,0.4494,0.5506,1.0,1.5506,fast_straight
1.342,2.5,1.1406,1.5708,2.5,0.0,1.5708,1.1406,0.0,0.0,0.3594,0.6406,1.0,1.6406,fast_straight
1.646,2.5,1.2756,1.5708,2.5,0.0,1.5708,1.2756,0.0,0.0,0.2244,0.7756,1.0,1.7756,fast_straight
1.946,2.5,1.45,1.5708,2.5,0.0,1.5708,1.45,0.0,0.0,0.05,0.95,1.0,1.95,straight
2.246,2.5,1.6244,1.5708,2.5,0.0,1.5708,1.6244,0.0,0.0,0.1244,0.8756,1.0,1.8756,straight
2.548,2.5,1.775,1.5708,2.4987,0.0803,1.6029,1.6947,1.884,0.0329,0.1947,0.8053,0.9246,1.7299,left
2.84,2.4999,1.9208,1.575,2.492,0.1998,1.6508,1.721,4.848,0.0846,0.221,0.779,0.8061,1.5851,left
3.145,2.4974,2.033,1.617,2.4795,0.3194,1.6989,1.7137,7.938,0.1385,0.2137,0.7863,0.6825,1.4688,left
3.446,2.4881,2.1375,1.704,2.4613,0.438,1.7469,1.6997,10.992,0.1918,0.1997,0.8003,0.5603,1.3606,left
3.744,2.4673,2.2403,1.8358,2.4375,0.5556,1.7949,1.6851,13.852,0.2418,0.1851,0.8149,0.4459,1.2608,fast_left
3.945,2.4451,2.3073,1.9358,2.4185,0.6333,1.8269,1.6743,15.583,0.272,0.1743,0.8257,0.3767,1.2024,left
4.257,2.3943,2.4142,2.0858,2.3853,0.7486,1.8749,1.6656,17.735,0.3095,0.1656,0.8344,0.2906,1.1251,left
4.554,2.3355,2.501,2.2358,2.3466,0.8622,1.9229,1.6389,19.786,0.3453,0.1389,0.8611,0.2086,1.0697,left
4.853,2.2644,2.5782,2.3858,2.3025,0.9738,1.9709,1.6048,21.562,0.3763,0.1048,0.8952,0.1375,1.0327,fast_left
5.151,2.1791,2.6462,2.5358,2.2532,1.0832,2.0189,1.5648,22.962,0.4008,0.0648,0.9352,0.0815,1.0167,fast_left
5.451,2.0702,2.7094,2.6858,2.1986,1.19,2.0669,1.5248,23.595,0.4118,0.0248,0.9752,0.0562,1.0314,fast_left
