elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.412,2.5,1.0,1.5708,2.5,0.0,1.5708,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.713,2.5,1.0072,1.5708,2.5,0.0,1.5708,1.0072,0.0,0.0,0.4928,0.5072,1.0,1.5072,fast_straight
0.912,2.5,1.0342,1.5708,2.5,0.0,1.5708,1.0342,0.0,0.0,0.4658,0.5342,1.0,1.5342,fast_straight
1.213,2.5,1.1122,1.5708,2.5,0.0,1.5708,1.1122,0.0,0.0,0.3878,0.6122,1.0,1.6122,fast_straight
1.517,2.5,1.2352,1.5708,2.5,0.0,1.5708,1.2352,0.0,0.0,0.2648,0.7352,1.0,1.7352,fast_straight
1.813,2.5,1.402,1.5708,2.5,0.0,1.5708,1.402,0.0,0.0,0.098,0.902,1.0,1.902,straight
2.013,2.5,1.5208,1.5708,2.5,0.0,1.5708,1.5208,0.0,0.0,0.0208,0.9792,1.0,1.9792,straight
2.312,2.5,1.675,1.5708,2.5,0.0,1.5708,1.675,0.0,0.0,0.175,0.825,1.0,1.825,straight
2.612,2.5,1.825,1.5708,2.4987,0.08,1.6028,1.745,1.876,0.0328,0.245,0.755,0.9249,1.68,left
2.812,2.5,1.9238,1.572,2.4949,0.16,1.6348,1.7638,3.834,0.0669,0.2638,0.7362,0.8466,1.5828,left
3.116,2.4983,2.042,1.605,2.4843,0.2796,1.6829,1.7624,6.876,0.12,0.2624,0.7376,0.725,1.4625,left
3.419,2.4907,2.1467,1.683,2.468,0.3986,1.7309,1.7482,9.919,0.1731,0.2482,0.7518,0.6032,1.355,left
3.721,2.4726,2.25,1.806,2.446,0.5166,1.7789,1.7336,12.803,0.2234,0.2336,0.7664,0.4879,1.2543,left
4.016,2.4401,2.3498,1.9558,2.4185,0.6332,1.8268,1.7167,15.391,0.2686,0.2167,0.7833,0.3844,1.1676,left
4.323,2.393,2.4435,2.1058,2.3853,0.7487,1.8749,1.6949,17.689,0.3087,0.1949,0.8051,0.2924,1.0976,left
4.617,2.3325,2.5292,2.2558,2.3467,0.8621,1.9229,1.6672,19.685,0.3436,0.1672,0.8328,0.2126,1.0454,fast_left
4.922,2.2558,2.6087,2.4058,2.3026,0.9738,1.9709,1.6356,21.285,0.3715,0.1356,0.8644,0.1486,1.013,left
5.213,2.1606,2.6823,2.5558,2.2533,1.083,2.0188,1.602,22.355,0.3902,0.102,0.898,0.1058,1.0038,fast_left
5.523,2.0626,2.7362,2.7058,2.1986,1.19,2.0669,1.5522,23.397,0.4083,0.0522,0.9478,0.0641,1.0119,fast_left
5.814,1.9446,2.7801,2.8558,2.1391,1.294,2.1148,1.4988,23.715,0.4139,0.0012,0.9988,0.0514,1.0501,straight
6.014,1.8623,2.7994,2.9552,2.0966,1.3617,2.1468,1.4566,23.746,0.4145,0.0434,0.9566,0.0501,1.0068,fast_right
6.321,1.7219,2.8162,3.0752,2.0288,1.4609,2.1949,1.3896,23.002,0.4015,0.1104,0.8896,0.0799,0.9696,fast_right
6.614,1.596,2.8191,-3.133,1.9564,1.5564,2.2428,1.3131,22.573,0.394,0.1869,0.8131,0.0971,0.9101,fast_right
6.814,1.512,2.8171,-3.108,1.9056,1.6183,2.2748,1.2617,22.165,0.3868,0.2383,0.7617,0.1134,0.8751,fast_right
7.232,1.3861,2.8123,-3.108,1.8256,1.7079,2.3229,1.1887,21.391,0.3733,0.3113,0.6887,0.1444,0.833,fast_right
7.388,1.3861,2.8123,-3.108,1.7982,1.7368,2.3388,1.1518,23.04,0.4021,0.3482,0.6518,0.0784,0.7302,fast_right
7.614,1.1762,2.814,3.0752,1.6834,1.8483,2.4028,1.0908,19.964,0.3484,0.4092,0.5908,0.2014,0.7923,fast_right
7.921,1.0513,2.8299,2.9552,1.5927,1.927,2.4509,1.0528,19.48,0.34,0.4472,0.5528,0.2208,0.7736,fast_straight
8.223,0.9245,2.8646,2.8114,1.4984,2.0012,2.4989,1.0367,19.564,0.3415,0.4633,0.5367,0.2175,0.7542,fast_left
8.526,0.7767,2.9253,2.7064,1.4002,2.0711,2.5471,1.0576,19.812,0.3458,0.4424,0.5576,0.2075,0.7651,fast_straight
8.83,0.6545,2.9875,2.6464,1.2996,2.1357,2.5949,1.0686,21.542,0.376,0.4314,0.5686,0.1383,0.7069,fast_straight
9.125,0.5068,3.0696,2.6308,1.1956,2.1955,2.6429,1.1129,23.186,0.4047,0.3871,0.6129,0.0726,0.6855,fast_left
9.419,0.3545,3.1547,2.6364,1.089,2.2503,2.6909,1.1651,25.095,0.438,0.3349,0.6651,-0.0038,0.6613,fast_left
9.713,0.2334,3.2187,2.6814,0.9799,2.2999,2.7388,1.1838,27.828,0.4857,0.3162,0.6838,-0.1131,0.5707,fast_left
9.914,0.1571,3.2538,2.7364,0.9058,2.3301,2.7708,1.189,29.731,0.5189,0.311,0.689,-0.1892,0.4998,fast_left
10.22,0.0386,3.2964,2.8564,0.7925,2.3711,2.819,1.1936,32.346,0.5646,0.3064,0.6936,-0.2939,0.3998,fast_straight
10.528,-0.0901,3.3232,3.0002,0.6781,2.4063,2.8669,1.1962,34.303,0.5987,0.3038,0.6962,-0.3721,0.3241,fast_straight
10.823,-0.2585,3.3366,3.1052,0.5619,2.436,2.9149,1.2183,34.677,0.6052,0.2817,0.7183,-0.3871,0.3312,fast_left
11.122,-0.4329,3.3365,-3.1068,0.4444,2.4602,2.9629,1.2399,34.731,0.6062,0.2601,0.7399,-0.3892,0.3507,fast_straight
11.425,-0.5785,3.3241,-3.013,0.3256,2.4787,3.011,1.2378,35.594,0.6212,0.2622,0.7378,-0.4238,0.314,fast_left
11.713,-0.7449,3.2961,-2.9418,0.2067,2.4914,3.0588,1.2462,35.477,0.6192,0.2538,0.7462,-0.4191,0.3272,fast_left
11.913,-0.8374,3.2742,-2.8768,0.1268,2.4968,3.0908,1.2386,35.973,0.6278,0.2614,0.7386,-0.4389,0.2997,fast_left
12.114,-0.9173,3.2486,-2.7918,0.0469,2.4996,3.1228,1.221,36.767,0.6417,0.279,0.721,-0.4707,0.2503,fast_left
12.425,-1.0318,3.1962,-2.6424,-0.0733,2.4989,-3.1123,1.1853,37.715,0.6583,0.3147,0.6853,-0.5086,0.1767,fast_right
12.713,-1.1372,3.1274,-2.498,-0.1929,2.4925,-3.0644,1.1379,38.34,0.6692,0.3621,0.6379,-0.5336,0.1043,fast_right
13.014,-1.2333,3.046,-2.393,-0.3123,2.4804,-3.0164,1.0808,38.727,0.6759,0.4192,0.5808,-0.5491,0.0317,fast_straight
13.214,-1.2941,2.9864,-2.348,-0.3915,2.4692,-2.9844,1.0403,38.82,0.6775,0.4597,0.5403,-0.5528,-0.0125,fast_right
13.524,-1.3935,2.8813,-2.318,-0.51,2.4474,-2.9362,0.9843,37.924,0.6619,0.5157,0.4843,-0.517,-0.0327,fast_right
13.821,-1.4796,2.7891,-2.333,-0.6265,2.4202,-2.8883,0.9295,37.892,0.6613,0.5705,0.4295,-0.5157,-0.0862,fast_straight
14.115,-1.573,2.6964,-2.3818,-0.7418,2.3874,-2.8403,0.8868,37.65,0.6571,0.6132,0.3868,-0.506,-0.1192,fast_left
14.418,-1.6902,2.5877,-2.3968,-0.8555,2.3491,-2.7923,0.8681,35.968,0.6278,0.6319,0.3681,-0.4387,-0.0706,fast_straight
14.716,-1.7561,2.5261,-2.383,-0.9305,2.3204,-2.7602,0.8508,35.846,0.6256,0.6492,0.3508,-0.4338,-0.083,fast_left
14.871,-1.7561,2.5261,-2.383,-0.9672,2.3053,-2.7444,0.8192,38.394,0.6701,0.6808,0.3192,-0.5358,-0.2165,fast_left
15.114,-1.9389,2.3501,-2.3618,-1.1127,2.2387,-2.6803,0.8337,34.102,0.5952,0.6663,0.3337,-0.3641,-0.0304,fast_left
