elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
50.425,4.3111,-0.9388,0.9436,2.5,0.0401,1.5708,2.0587,118.392,2.0663,0.5587,0.4853,-1.0,-0.5147,left
50.729,4.3657,-0.8492,1.0936,2.5,0.1604,1.5708,2.1213,118.421,2.0668,0.6213,0.4697,-1.0,-0.5303,left
51.023,4.4062,-0.7525,1.2436,2.5,0.2801,1.5708,2.1679,118.444,2.0672,0.6679,0.458,-1.0,-0.542,fast_left
51.223,4.4252,-0.6845,1.3436,2.5,0.3601,1.5708,2.1904,118.486,2.068,0.6904,0.4524,-1.0,-0.5476,fast_left
51.531,4.4432,-0.562,1.4936,2.5,0.4803,1.5708,2.2051,118.206,2.0631,0.7051,0.4487,-1.0,-0.5513,fast_left
51.831,4.4429,-0.4361,1.6436,2.5,0.6003,1.5708,2.202,118.077,2.0608,0.702,0.4495,-1.0,-0.5505,fast_straight
52.133,4.423,-0.3075,1.7894,2.5,0.7204,1.5708,2.1804,118.126,2.0617,0.6804,0.4549,-1.0,-0.5451,fast_left
52.423,4.3786,-0.1543,1.9058,2.5,0.8401,1.5708,2.1255,117.894,2.0576,0.6255,0.4686,-1.0,-0.5314,fast_left
52.623,4.3445,-0.0697,1.9986,2.5,0.9201,1.5708,2.0933,118.22,2.0633,0.5933,0.4767,-1.0,-0.5233,fast_left
53.003,4.2833,0.0402,2.1486,2.4599,1.0,3.1416,2.0605,152.24,2.6571,0.5605,0.4849,-1.0,-0.5151,fast_left
53.159,4.2833,0.0402,2.1486,2.4199,1.0,3.1416,2.096,152.748,2.666,0.596,0.476,-1.0,-0.524,fast_left
53.424,4.1471,0.1994,2.3986,2.2599,1.0,3.1416,2.05,157.012,2.7404,0.55,0.4875,-1.0,-0.5125,fast_left
53.736,4.0479,0.2769,2.5486,2.1397,1.0,3.1416,2.0407,159.245,2.7794,0.5407,0.4898,-1.0,-0.5102,fast_left
54.034,3.9382,0.3386,2.6986,2.0195,1.0,3.1416,2.0295,160.981,2.8096,0.5295,0.4926,-1.0,-0.5074,fast_left
54.328,3.8205,0.3833,2.8486,1.8998,1.0,3.1416,2.0173,162.2,2.8309,0.5173,0.4957,-1.0,-0.5043,fast_left
54.628,3.6975,0.4099,2.9986,1.7795,1.0,3.1416,2.0067,162.899,2.8431,0.5067,0.4983,-1.0,-0.5017,fast_left
54.933,3.5719,0.4179,-3.1346,1.6597,1.0,3.1416,1.9988,163.067,2.8461,0.4988,0.5012,-1.0,-0.4988,fast_left
55.234,3.4464,0.4069,-2.9846,1.5397,1.0,3.1416,1.9968,162.722,2.84,0.4968,0.5032,-1.0,-0.4968,fast_straight
55.534,3.32,0.3763,-2.8388,1.4197,1.0,3.1416,2.0001,161.829,2.8244,0.5001,0.5,-1.0,-0.5,fast_right
55.837,3.171,0.3194,-2.7308,1.2996,1.0,3.1416,1.9913,160.013,2.7928,0.4913,0.5087,-1.0,-0.4913,right
56.133,3.0547,0.2637,-2.6678,1.1797,1.0,3.1416,2.0144,158.559,2.7674,0.5144,0.4964,-1.0,-0.5036,fast_right
56.424,2.9582,0.2125,-2.6498,1.0599,1.0,3.1416,2.0551,157.47,2.7484,0.5551,0.4862,-1.0,-0.5138,fast_right
56.73,2.8465,0.1542,-2.6768,0.9398,1.0,3.1416,2.0858,156.078,2.7241,0.5858,0.4785,-1.0,-0.5215,fast_right
57.032,2.732,0.1017,-2.7488,0.8197,1.0,3.1416,2.1128,154.838,2.7024,0.6128,0.4718,-1.0,-0.5282,fast_right
57.33,2.613,0.0604,-2.8658,0.6998,1.0,3.1416,2.1315,153.844,2.6851,0.6315,0.4671,-1.0,-0.5329,right
