elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.391,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.782,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
0.983,1.011,0.0,0.0,0.0,0.0,0.0,1.011,0.0,0.0,0.489,0.511,1.0,1.511,fast_straight
1.183,1.042,0.0,0.0,0.0,0.0,0.0,1.042,0.0,0.0,0.458,0.542,1.0,1.542,fast_straight
1.483,1.126,0.0,0.0,0.0,0.0,0.0,1.126,0.0,0.0,0.374,0.626,1.0,1.626,fast_straight
1.683,1.207,0.0,0.0,0.0,0.0,0.0,1.207,0.0,0.0,0.293,0.707,1.0,1.707,fast_straight
1.889,1.308,0.0,0.0,0.0,0.0,0.0,1.308,0.0,0.0,0.192,0.808,1.0,1.808,fast_straight
2.184,1.486,0.0,0.0,0.0,0.0,0.0,1.486,0.0,0.0,0.014,0.986,1.0,1.986,straight
2.484,1.6604,0.0,0.0,0.0401,0.0,0.0,1.6203,0.0,0.0,0.1203,0.8797,1.0,1.8797,straight
2.791,1.811,0.0,0.0,0.1604,0.0,0.0,1.6506,0.0,0.0,0.1506,0.8494,1.0,1.8494,straight
3.085,1.961,0.0,0.0,0.2801,0.0,0.0,1.6809,0.0,0.0,0.1809,0.8191,1.0,1.8191,straight
3.389,2.111,0.0,0.0,0.4002,0.0,0.0,1.7108,0.0,0.0,0.2108,0.7892,1.0,1.7892,straight
3.689,2.261,0.0,0.0,0.5203,0.0,0.0,1.7407,0.0,0.0,0.2407,0.7593,1.0,1.7593,left
3.993,2.4054,0.0001,0.0056,0.6402,0.0,0.0,1.7652,0.005,0.0001,0.2652,0.7348,0.9998,1.7346,straight
4.293,2.5216,0.0029,0.0394,0.7603,0.0,0.0,1.7613,0.094,0.0016,0.2613,0.7387,0.9962,1.7349,straight
4.593,2.6658,0.0093,0.045,0.8803,0.0,0.0,1.7855,0.298,0.0052,0.2855,0.7145,0.9881,1.7025,right
4.885,2.8101,0.0156,0.0394,1.0001,0.0,0.0,1.8101,0.495,0.0086,0.3101,0.6899,0.9802,1.6701,right
5.095,2.8856,0.0177,0.0144,1.0803,0.0,0.0,1.8054,0.563,0.0098,0.3054,0.6946,0.9775,1.6721,right
5.396,2.9906,0.0154,-0.0606,1.2004,0.0,0.0,1.7903,0.494,0.0086,0.2903,0.7097,0.9802,1.69,straight
5.694,3.0989,0.0023,-0.1722,1.3202,0.0,0.0,1.7787,0.073,0.0013,0.2787,0.7213,0.9971,1.7184,left
5.993,3.2315,-0.0273,-0.2532,1.4402,0.0,0.0,1.7914,0.872,0.0152,0.2914,0.7086,0.9651,1.6737,left
6.285,3.3365,-0.057,-0.2892,1.5601,0.0,0.0,1.7774,1.837,0.0321,0.2774,0.7226,0.9265,1.6492,left
6.585,3.4372,-0.0868,-0.2802,1.6801,0.0,0.0,1.7593,2.828,0.0494,0.2593,0.7407,0.8869,1.6276,left
6.885,3.5388,-0.1133,-0.2262,1.8001,0.0,0.0,1.7424,3.728,0.0651,0.2424,0.7576,0.8509,1.6085,left
7.09,3.6075,-0.1268,-0.1652,1.8803,0.0,0.0,1.7319,4.199,0.0733,0.2319,0.7681,0.832,1.6002,left
7.396,3.7119,-0.1373,-0.0362,1.9997,0.0,3.1416,1.7176,175.415,3.0616,0.2176,0.7824,-1.0,-0.2176,straight
7.685,3.8208,-0.1324,0.1096,1.8799,0.0,3.1416,1.9454,176.098,3.0735,0.4454,0.5546,-1.0,-0.4454,right
7.885,3.9115,-0.1183,0.1866,1.7999,0.0,3.1416,2.1149,176.794,3.0856,0.6149,0.4713,-1.0,-0.5287,right
8.085,3.9926,-0.1003,0.2436,1.7199,0.0,3.1416,2.2749,177.474,3.0975,0.7749,0.4313,-1.0,-0.5687,right
8.392,4.0938,-0.0719,0.2916,1.5997,0.0,3.1416,2.4952,178.348,3.1128,0.9952,0.3762,-1.0,-0.6238,fast_right
8.787,4.1996,-0.0396,0.2946,1.4798,0.0,3.1416,2.7201,179.167,3.127,1.2201,0.32,-1.0,-0.68,right
8.941,4.1996,-0.0396,0.2946,1.4399,0.0,3.1416,2.76,179.179,3.1273,1.26,0.31,-1.0,-0.69,right
9.194,4.3904,0.0107,0.1996,1.2795,0.0,3.1416,3.1109,179.803,3.1381,1.6109,0.2223,-1.0,-0.7777,fast_left
9.493,4.4999,0.0263,0.0938,1.1598,0.0,3.1416,3.3402,179.549,3.1337,1.8402,0.165,-1.0,-0.835,fast_right
9.79,4.6257,0.0325,0.0106,1.0398,0.0,3.1416,3.586,179.481,3.1325,2.086,0.1035,-1.0,-0.8965,right
10.088,4.7459,0.027,-0.1064,0.9199,0.0,3.1416,3.8261,179.596,3.1345,2.3261,0.0435,-1.0,-0.9565,fast_straight
10.394,4.8545,0.0065,-0.2496,0.7998,0.0,3.1416,4.0547,179.909,3.14,2.5547,0.0,-1.0,-1.0,right
10.699,4.9865,-0.0361,-0.3658,0.6797,0.0,3.1416,4.307,179.52,3.1332,2.807,0.0,-1.0,-1.0,right
10.992,5.0866,-0.083,-0.5102,0.5598,0.0,3.1416,4.5275,178.95,3.1233,3.0275,0.0,-1.0,-1.0,right
11.294,5.1737,-0.1414,-0.6602,0.4398,0.0,3.1416,4.736,178.29,3.1117,3.236,0.0,-1.0,-1.0,right
11.592,5.2512,-0.2121,-0.8102,0.3198,0.0,3.1416,4.936,177.537,3.0986,3.436,0.0,-1.0,-1.0,right
11.885,5.3172,-0.2936,-0.9602,0.1999,0.0,3.1416,5.1257,176.716,3.0843,3.6257,0.0,-1.0,-1.0,fast_right
12.194,5.3728,-0.3891,-1.1102,0.0798,0.0,3.1416,5.3073,175.796,3.0682,3.8073,0.0,-1.0,-1.0,right
12.486,5.4178,-0.5007,-1.2602,0.0401,0.0,0.0,5.401,5.319,0.0928,3.901,0.0,0.7872,0.7872,right
12.794,5.4418,-0.6028,-1.4102,0.1603,0.0,0.0,5.3158,6.511,0.1136,3.8158,0.0,0.7396,0.7396,fast_right
13.097,5.4504,-0.7129,-1.5602,0.2803,0.0,0.0,5.219,7.851,0.137,3.719,0.0,0.6859,0.6859,fast_right
13.396,5.4417,-0.8385,-1.7102,0.4004,0.0,0.0,5.1105,9.444,0.1648,3.6105,0.0,0.6223,0.6223,fast_right
13.696,5.4143,-0.9614,-1.8602,0.5203,0.0,0.0,4.9875,11.114,0.194,3.4875,0.0,0.5554,0.5554,straight
13.997,5.3672,-1.0827,-2.006,0.6405,0.0,0.0,4.8491,12.901,0.2252,3.3491,0.0,0.484,0.484,fast_right
14.294,5.2978,-1.2106,-2.1224,0.7603,0.0,0.0,4.6962,14.938,0.2607,3.1962,0.0,0.4025,0.4025,right
14.592,5.2275,-1.3084,-2.2652,0.8804,0.0,0.0,4.5397,16.751,0.2924,3.0397,0.0,0.3299,0.3299,right
14.885,5.1541,-1.3834,-2.4152,1.0001,0.0,0.0,4.3783,18.419,0.3215,2.8783,0.0,0.2632,0.2632,right
15.085,5.0993,-1.4269,-2.5152,1.0801,0.0,0.0,4.2651,19.546,0.3411,2.7651,0.0,0.2182,0.2182,right
