elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.366,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
0.672,1.0043,0.0036,0.7037,0.0,0.0,0.6981,1.0043,39.794,0.6945,0.4957,0.5043,-0.5918,-0.0875,fast_left
0.966,1.0379,0.0335,0.7487,0.0,0.0,0.6981,1.0384,38.149,0.6658,0.4616,0.5384,-0.5259,0.0125,fast_left
1.265,1.1008,0.0979,0.8387,0.0,0.0,0.6981,1.1051,34.918,0.6094,0.3949,0.6051,-0.3967,0.2084,fast_left
1.566,1.177,0.1955,0.9731,0.0,0.0,0.6981,1.1932,30.568,0.5335,0.3068,0.6932,-0.2227,0.4705,fast_left
1.766,1.2204,0.2674,1.0731,0.0307,0.0258,0.6981,1.214,28.518,0.4977,0.286,0.714,-0.1407,0.5733,fast_left
2.065,1.2715,0.3825,1.2231,0.1226,0.1029,0.6981,1.1823,26.322,0.4594,0.3177,0.6823,-0.0529,0.6295,fast_left
2.373,1.3048,0.5039,1.3731,0.2148,0.1802,0.6981,1.137,23.461,0.4095,0.363,0.637,0.0616,0.6986,fast_right
2.666,1.3197,0.6289,1.5175,0.3065,0.2572,0.6981,1.0792,19.854,0.3465,0.4208,0.5792,0.2059,0.785,fast_right
2.971,1.3189,0.7548,1.6225,0.3985,0.3344,0.6981,1.0118,15.448,0.2696,0.4882,0.5118,0.3821,0.8939,fast_right
3.266,1.3079,0.8803,1.6825,0.4903,0.4114,0.6981,0.9424,10.163,0.1774,0.5576,0.4424,0.5935,1.0359,right
3.571,1.2931,0.9998,1.6975,0.5824,0.4887,0.6981,0.8754,4.275,0.0746,0.6246,0.3754,0.829,1.2044,right
3.873,1.2811,1.1041,1.6675,0.6745,0.5659,0.6981,0.8109,1.58,0.0276,0.6891,0.3109,0.9368,1.2477,right
4.182,1.2747,1.2089,1.5925,0.7662,0.6429,0.6981,0.7608,8.062,0.1407,0.7392,0.2608,0.6775,0.9384,right
4.476,1.2788,1.3138,1.4725,0.8582,0.7201,0.6981,0.7275,14.685,0.2563,0.7725,0.2275,0.4126,0.6401,fast_right
4.767,1.2986,1.4225,1.3231,0.95,0.7971,0.6981,0.716,20.862,0.3641,0.784,0.216,0.1655,0.3815,fast_right
5.07,1.3391,1.5417,1.1731,1.042,0.8743,0.6981,0.7305,25.999,0.4538,0.7695,0.2305,-0.04,0.1905,fast_right
5.375,1.397,1.6535,1.0231,1.134,0.9515,0.6981,0.7496,29.46,0.5142,0.7504,0.2496,-0.1784,0.0712,fast_right
5.667,1.4709,1.7553,0.8731,1.2258,0.8998,-0.6981,0.89,114.016,1.9899,0.61,0.39,-1.0,-0.61,fast_right
5.88,1.5283,1.8166,0.7731,1.2872,0.8483,-0.6981,0.9979,116.018,2.0249,0.5021,0.4979,-1.0,-0.5021,fast_right
6.178,1.6251,1.8971,0.6231,1.3791,0.7711,-0.6981,1.1525,117.675,2.0538,0.3475,0.6525,-1.0,-0.3475,right
6.477,1.7292,1.9601,0.4731,1.4711,0.694,-0.6981,1.2922,118.476,2.0678,0.2078,0.7922,-1.0,-0.2078,right
6.78,1.8261,2.0003,0.3231,1.5632,0.6167,-0.6981,1.4084,119.24,2.0811,0.0916,0.9084,-1.0,-0.0916,right
7.078,1.9279,2.0256,0.1731,1.6549,0.5397,-0.6981,1.5107,119.588,2.0872,0.0107,0.9893,-1.0,-0.0107,right
7.371,2.0324,2.0353,0.0231,1.7468,0.4626,-0.6981,1.5984,119.71,2.0893,0.0984,0.9016,-1.0,-0.0984,right
7.677,2.1371,2.0294,-0.1269,1.8387,0.3855,-0.6981,1.6707,119.711,2.0893,0.1707,0.8293,-1.0,-0.1707,fast_right
7.976,2.2452,2.0064,-0.2769,1.9306,0.3084,-0.6981,1.7269,119.504,2.0857,0.2269,0.7731,-1.0,-0.2269,right
8.27,2.358,1.9646,-0.4269,2.0225,0.2313,-0.6981,1.7655,119.045,2.0777,0.2655,0.7345,-1.0,-0.2655,fast_right
8.578,2.4545,1.9107,-0.5769,2.1145,0.1541,-0.6981,1.7892,119.048,2.0778,0.2892,0.7108,-1.0,-0.2892,fast_right
8.869,2.5541,1.8339,-0.7269,2.2063,0.0771,-0.6981,1.7909,118.801,2.0735,0.2909,0.7091,-1.0,-0.2909,fast_right
9.181,2.6412,1.743,-0.8769,2.2985,0.0003,0.6981,1.776,38.875,0.6785,0.276,0.724,-0.555,0.169,fast_left
9.469,2.7138,1.6401,-1.0227,2.3901,0.0772,0.6981,1.5961,38.3,0.6685,0.0961,0.9039,-0.532,0.3719,fast_left
9.767,2.7727,1.5288,-1.1307,2.4821,0.1544,0.6981,1.4048,38.061,0.6643,0.0952,0.9048,-0.5224,0.3824,left
10.08,2.82,1.4181,-1.1937,2.5742,0.2316,0.6981,1.2117,38.294,0.6684,0.2883,0.7117,-0.5318,0.1799,fast_left
10.381,2.8588,1.316,-1.2117,2.666,0.3087,0.6981,1.0256,39.164,0.6835,0.4744,0.5256,-0.5666,-0.041,fast_left
10.666,2.9044,1.1985,-1.1847,2.7578,0.3857,0.6981,0.8259,39.779,0.6943,0.6741,0.3259,-0.5912,-0.2653,straight
