elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.451,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
0.751,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
1.051,1.0,0.0,0.6981,0.0,0.0,0.6981,1.0,40.0,0.6981,0.5,0.5,-0.6,-0.1,fast_left
1.251,1.0009,0.0008,0.6993,0.0,0.0,0.6981,1.0009,39.956,0.6974,0.4991,0.5009,-0.5982,-0.0973,fast_left
1.452,1.0138,0.0118,0.7163,0.0,0.0,0.6981,1.0139,39.331,0.6865,0.4861,0.5139,-0.5732,-0.0593,fast_left
1.754,1.0599,0.0548,0.7793,0.0,0.0,0.6981,1.0613,37.042,0.6465,0.4387,0.5613,-0.4817,0.0797,fast_left
2.058,1.1321,0.1348,0.8873,0.0,0.0,0.6981,1.1401,33.211,0.5796,0.3599,0.6401,-0.3284,0.3116,fast_left
2.351,1.2039,0.2382,1.0331,0.0,0.0,0.6981,1.2272,28.81,0.5028,0.2728,0.7272,-0.1524,0.5748,fast_left
2.551,1.2429,0.3125,1.1331,0.0,0.0,0.6981,1.2816,25.885,0.4518,0.2184,0.7816,-0.0354,0.7462,fast_left
2.756,1.2742,0.3904,1.2331,0.0,0.0,0.6981,1.3327,22.965,0.4008,0.1673,0.8327,0.0814,0.9141,fast_left
3.056,1.3063,0.5121,1.3831,0.0309,0.0259,0.6981,1.365,19.131,0.3339,0.135,0.865,0.2348,1.0998,fast_left
3.351,1.3199,0.6373,1.5331,0.1227,0.1029,0.6981,1.3111,15.946,0.2783,0.1889,0.8111,0.3622,1.1732,fast_straight
3.651,1.3141,0.7703,1.6759,0.2145,0.18,0.6981,1.248,11.774,0.2055,0.252,0.748,0.5291,1.277,fast_right
3.854,1.2982,0.8777,1.7489,0.2758,0.2314,0.6981,1.2095,7.703,0.1344,0.2905,0.7095,0.6919,1.4013,right
4.052,1.2781,0.9726,1.8019,0.3371,0.2829,0.6981,1.1667,3.762,0.0657,0.3333,0.6667,0.8495,1.5162,right
4.252,1.259,1.0474,1.8349,0.3984,0.3343,0.6981,1.1176,0.357,0.0062,0.3824,0.6176,0.9857,1.6033,right
4.563,1.2306,1.1484,1.8469,0.4906,0.4116,0.6981,1.0443,4.875,0.0851,0.4557,0.5443,0.805,1.3493,right
4.857,1.2034,1.2498,1.8139,0.5823,0.4886,0.6981,0.9824,10.79,0.1883,0.5176,0.4824,0.5684,1.0508,right
5.16,1.182,1.3526,1.7359,0.6743,0.5658,0.6981,0.9364,17.168,0.2996,0.5636,0.4364,0.3133,0.7496,fast_right
5.46,1.1708,1.4626,1.6129,0.7662,0.6429,0.6981,0.9141,23.726,0.4141,0.5859,0.4141,0.051,0.4651,fast_right
5.761,1.1756,1.5884,1.4631,0.8581,0.7201,0.6981,0.9245,29.919,0.5222,0.5755,0.4245,-0.1968,0.2277,fast_right
6.054,1.1991,1.712,1.3131,0.95,0.7971,0.6981,0.9482,34.77,0.6069,0.5518,0.4482,-0.3908,0.0574,fast_right
6.36,1.2408,1.8308,1.1631,1.042,0.8744,0.6981,0.9769,38.261,0.6678,0.5231,0.4769,-0.5305,-0.0536,fast_right
6.652,1.2998,1.942,1.0131,1.1338,0.9514,0.6981,1.0044,40.49,0.7067,0.4956,0.5044,-0.6196,-0.1152,fast_right
6.924,1.348,2.0107,0.9131,1.1951,0.9255,-0.6981,1.0959,121.979,2.1289,0.4041,0.5959,-1.0,-0.4041,right
7.08,1.348,2.0107,0.9131,1.2257,0.8998,-0.6981,1.1176,123.717,2.1593,0.3824,0.6176,-1.0,-0.3824,right
7.361,1.4849,2.1484,0.6631,1.3485,0.7968,-0.6981,1.3584,124.238,2.1684,0.1416,0.8584,-1.0,-0.1416,right
7.652,1.5724,2.2061,0.5131,1.4402,0.7199,-0.6981,1.4921,124.917,2.1802,0.0079,0.9921,-1.0,-0.0079,right
7.964,1.6676,2.2502,0.3631,1.5324,0.6425,-0.6981,1.6133,125.191,2.185,0.1133,0.8867,-1.0,-0.1133,right
8.257,1.7684,2.2795,0.2131,1.6242,0.5655,-0.6981,1.72,125.191,2.185,0.22,0.78,-1.0,-0.22,right
8.552,1.8723,2.2934,0.0631,1.716,0.4885,-0.6981,1.8117,125.049,2.1825,0.3117,0.6883,-1.0,-0.3117,right
8.752,1.9423,2.294,-0.0369,1.7773,0.4371,-0.6981,1.8642,124.921,2.1803,0.3642,0.6358,-1.0,-0.3642,fast_right
8.953,2.0126,2.2875,-0.1369,1.8386,0.3856,-0.6981,1.9098,124.773,2.1777,0.4098,0.5902,-1.0,-0.4098,fast_right
9.261,2.1335,2.2607,-0.2869,1.9306,0.3084,-0.6981,1.9628,124.065,2.1653,0.4628,0.5372,-1.0,-0.4628,fast_right
9.56,2.251,2.2155,-0.4369,2.0225,0.2313,-0.6981,1.9974,123.43,2.1543,0.4974,0.5026,-1.0,-0.4974,fast_right
9.852,2.3605,2.1533,-0.5869,2.1143,0.1542,-0.6981,2.0142,122.981,2.1464,0.5142,0.4965,-1.0,-0.5035,fast_right
10.159,2.4594,2.0754,-0.7369,2.2064,0.077,-0.6981,2.0144,122.785,2.143,0.5144,0.4964,-1.0,-0.5036,fast_right
10.46,2.5456,1.9837,-0.8869,2.2983,0.0001,0.6981,1.9989,42.894,0.7486,0.4989,0.5011,-0.7157,-0.2147,fast_left
10.756,2.6172,1.8801,-1.0313,2.3902,0.0773,0.6981,1.8171,42.825,0.7474,0.3171,0.6829,-0.713,-0.0301,fast_left
11.063,2.6753,1.7684,-1.1363,2.4822,0.1545,0.6981,1.6255,43.178,0.7536,0.1255,0.8745,-0.7271,0.1474,fast_left
11.357,2.7242,1.6523,-1.1963,2.574,0.2315,0.6981,1.4287,43.966,0.7673,0.0713,0.9287,-0.7586,0.1701,fast_left
11.652,2.7689,1.5345,-1.2113,2.6659,0.3086,0.6981,1.2303,45.195,0.7888,0.2697,0.7303,-0.8078,-0.0776,fast_left
11.958,2.8147,1.4171,-1.1813,2.758,0.3859,0.6981,1.0328,46.853,0.8177,0.4672,0.5328,-0.8741,-0.3413,left
12.252,2.8643,1.3074,-1.1063,2.8498,0.4629,0.6981,0.8447,49.017,0.8555,0.6553,0.3447,-0.9607,-0.616,straight
12.452,2.8984,1.2456,-1.0325,2.911,0.5143,0.6981,0.7315,50.991,0.89,0.7685,0.2315,-1.0,-0.7685,straight
