elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
0.558,0.0,0.0,0.0,2.0,0.0,0.0,2.0,180.0,3.1416,0.5,0.5,-1.0,-0.5,fast_left
1.148,3.503,0.0,0.003,2.0,0.0,0.0,1.503,0.0,0.0,0.003,0.997,1.0,1.997,straight
1.412,3.6257,0.0081,0.12,2.0,0.0,0.0,1.6257,0.287,0.005,0.1257,0.8743,0.9885,1.8629,right
1.715,3.7421,0.0259,0.171,2.0,0.0,0.0,1.7423,0.85,0.0148,0.2423,0.7577,0.966,1.7237,right
2.011,3.8454,0.0444,0.177,2.0,0.0,0.0,1.846,1.379,0.0241,0.346,0.654,0.9448,1.5988,right
2.31,3.9491,0.0612,0.138,2.0,0.0,0.0,1.9501,1.797,0.0314,0.4501,0.5499,0.9281,1.4781,right
2.51,4.0187,0.069,0.087,2.0,0.0,0.0,2.0198,1.956,0.0341,0.5198,0.495,0.9217,1.4168,right
2.819,4.1235,0.0721,-0.027,2.0,0.0,0.0,2.1248,1.944,0.0339,0.6248,0.4688,0.9222,1.391,right
3.116,4.2279,0.0611,-0.175,2.0,0.0,0.0,2.2287,1.571,0.0274,0.7287,0.4428,0.9372,1.38,straight
3.417,4.3348,0.0331,-0.3194,2.0,0.0,0.0,2.335,0.812,0.0142,0.835,0.4163,0.9675,1.3838,left
3.713,4.4636,-0.0183,-0.4244,2.0,0.0,0.0,2.4637,0.425,0.0074,0.9637,0.3841,0.983,1.3671,left
4.012,4.5628,-0.0673,-0.4844,2.0,0.0,0.0,2.5637,1.504,0.0263,1.0637,0.3591,0.9398,1.2989,fast_left
4.311,4.66,-0.12,-0.4994,2.0,0.0,0.0,2.6627,2.582,0.0451,1.1627,0.3343,0.8967,1.231,left
4.613,4.7664,-0.1764,-0.4694,2.0,0.0,0.0,2.772,3.648,0.0637,1.272,0.307,0.8541,1.1611,right
4.812,4.8295,-0.2066,-0.4256,2.0,0.0,0.0,2.8371,4.176,0.0729,1.3371,0.2907,0.833,1.1237,right
5.122,4.9263,-0.2473,-0.3806,2.0,0.0,0.0,2.9367,4.83,0.0843,1.4367,0.2658,0.8068,1.0726,right
5.421,5.024,-0.2859,-0.3806,2.0,0.0,0.0,3.0374,5.401,0.0943,1.5374,0.2406,0.784,1.0246,right
5.712,5.1206,-0.3269,-0.4256,2.0,0.0,0.0,3.1377,5.98,0.1044,1.6377,0.2156,0.7608,0.9764,right
6.014,5.2142,-0.3744,-0.5156,2.0,0.0,0.0,3.2359,6.644,0.116,1.7359,0.191,0.7342,0.9252,right
6.312,5.3017,-0.4322,-0.65,2.0,0.0,0.0,3.3299,7.458,0.1302,1.8299,0.1675,0.7017,0.8692,right
6.612,5.3799,-0.5022,-0.8,2.0,0.0,0.0,3.417,8.451,0.1475,1.917,0.1457,0.6619,0.8077,right
6.812,5.4258,-0.555,-0.9,2.0,0.0,0.0,3.4705,9.202,0.1606,1.9705,0.1324,0.6319,0.7643,right
7.012,5.4663,-0.6121,-1.0,2.0,0.0,0.0,3.5199,10.015,0.1748,2.0199,0.12,0.5994,0.7194,right
7.323,5.5157,-0.7046,-1.15,2.0,0.0,0.0,3.5856,11.333,0.1978,2.0856,0.1036,0.5467,0.6503,fast_right
7.618,5.5519,-0.8075,-1.3,2.0,0.0,0.0,3.6426,12.808,0.2235,2.1426,0.0894,0.4877,0.577,straight
7.821,5.57,-0.8901,-1.3994,2.0,0.0,0.0,3.6793,14.0,0.2444,2.1793,0.0802,0.44,0.5202,right
8.123,5.5846,-1.0321,-1.5278,2.0,0.0,0.0,3.7303,16.062,0.2803,2.2303,0.0674,0.3575,0.4249,left
8.53,5.5811,-1.1441,-1.6716,2.0,0.0,0.0,3.7594,17.718,0.3092,2.2594,0.0601,0.2913,0.3514,left
8.685,5.5811,-1.1441,-1.6716,2.0,0.0,0.0,3.7594,17.718,0.3092,2.2594,0.0601,0.2913,0.3514,right
8.913,5.5478,-1.3158,-1.829,2.0,0.0,0.0,3.7839,20.348,0.3551,2.2839,0.054,0.1861,0.2401,straight
9.224,5.5144,-1.4212,-1.9168,2.0,0.0,0.0,3.7909,22.018,0.3843,2.2909,0.0523,0.1193,0.1716,right
9.517,5.4624,-1.5513,-1.9792,2.0,0.0,0.0,3.794,24.135,0.4212,2.294,0.0515,0.0346,0.0861,right
9.827,5.4133,-1.6522,-2.0722,2.0,0.0,0.0,3.7922,25.829,0.4508,2.2922,0.052,-0.0332,0.0188,straight
10.121,5.3543,-1.744,-2.2018,2.0,0.0,0.0,3.7806,27.471,0.4795,2.2806,0.0549,-0.0988,-0.044,right
10.423,5.2662,-1.8509,-2.3092,2.0,0.0,0.0,3.7541,29.539,0.5156,2.2541,0.0615,-0.1816,-0.1201,right
10.722,5.1853,-1.9285,-2.446,2.0,0.0,0.0,3.7236,31.193,0.5444,2.2236,0.0691,-0.2477,-0.1786,right
11.024,5.0997,-1.9891,-2.596,2.0,0.0,0.0,3.683,32.689,0.5705,2.183,0.0792,-0.3076,-0.2283,right
11.333,5.0059,-2.0362,-2.746,2.0,0.0,0.0,3.6307,34.113,0.5954,2.1307,0.0923,-0.3645,-0.2722,right
11.619,4.9062,-2.0688,-2.896,2.0,0.0,0.0,3.5673,35.445,0.6186,2.0673,0.1082,-0.4178,-0.3096,right
11.922,4.8028,-2.0861,-3.046,2.0,0.0,0.0,3.4939,36.66,0.6398,1.9939,0.1265,-0.4664,-0.3399,left
12.224,4.6979,-2.0878,3.0914,2.0,0.0,0.0,3.4113,37.735,0.6586,1.9113,0.1472,-0.5094,-0.3622,left
12.515,4.5936,-2.0761,2.9834,2.0,0.0,0.0,3.3222,38.676,0.675,1.8222,0.1695,-0.5471,-0.3776,left
12.821,4.4906,-2.0557,2.9204,2.0,0.0,0.0,3.2294,39.536,0.69,1.7294,0.1927,-0.5814,-0.3888,right
13.113,4.3885,-2.0311,2.894,2.0,0.0,0.0,3.1354,40.377,0.7047,1.6354,0.2162,-0.6151,-0.3989,fast_right
13.321,4.3203,-2.0127,2.861,2.0,0.0,0.0,3.0716,40.939,0.7145,1.5716,0.2321,-0.6376,-0.4055,right
13.62,4.2068,-1.9747,2.774,2.0,0.0,0.0,2.9613,41.824,0.73,1.4613,0.2597,-0.6729,-0.4133,right
13.914,4.1116,-1.9306,2.6422,2.0,0.0,0.0,2.8611,42.436,0.7406,1.3611,0.2847,-0.6974,-0.4127,fast_right
14.212,4.0193,-1.8698,2.4922,2.0,0.0,0.0,2.7521,42.8,0.747,1.2521,0.312,-0.712,-0.4,fast_right
14.412,3.9553,-1.8155,2.3922,2.0,0.0,0.0,2.6682,42.876,0.7483,1.1682,0.333,-0.7151,-0.3821,fast_right
14.725,3.8703,-1.7226,2.2422,2.0,0.0,0.0,2.5427,42.647,0.7443,1.0427,0.3643,-0.7059,-0.3415,fast_right
15.019,3.8001,-1.6181,2.0922,2.0,0.0,0.0,2.4205,41.953,0.7322,0.9205,0.3949,-0.6781,-0.2832,fast_right
15.322,3.7463,-1.5043,1.9422,2.0,0.0,0.0,2.3049,40.742,0.7111,0.8049,0.4238,-0.6297,-0.2059,fast_right
15.621,3.7102,-1.3837,1.7922,2.0,0.0,0.0,2.1999,38.977,0.6803,0.6999,0.45,-0.5591,-0.109,fast_right
15.923,3.6924,-1.2591,1.6422,2.0,0.0,0.0,2.1094,36.648,0.6396,0.6094,0.4726,-0.4659,0.0067,fast_right
16.225,3.6935,-1.1332,1.4922,2.0,0.0,0.0,2.0377,33.789,0.5897,0.5377,0.4906,-0.3516,0.139,fast_right
16.522,3.7134,-1.0089,1.3422,2.0,0.0,0.0,1.9884,30.492,0.5322,0.4884,0.5116,-0.2197,0.292,fast_left
16.824,3.7515,-0.889,1.1964,2.0,0.0,0.0,1.9642,26.909,0.4697,0.4642,0.5358,-0.0764,0.4594,fast_left
17.121,3.8047,-0.7748,1.0884,2.0,0.0,0.0,1.964,23.235,0.4055,0.464,0.536,0.0706,0.6066,left
17.424,3.8651,-0.669,1.0254,2.0,0.0,0.0,1.9815,19.734,0.3444,0.4815,0.5185,0.2107,0.7292,left
17.723,3.9208,-0.58,1.0074,2.0,0.0,0.0,2.0064,16.803,0.2933,0.5064,0.4984,0.3279,0.8263,left
18.021,3.9759,-0.4906,1.0344,2.0,0.0,0.0,2.0359,13.945,0.2434,0.5359,0.491,0.4422,0.9332,left
18.322,4.0264,-0.3986,1.1064,2.0,0.0,0.0,2.0652,11.129,0.1942,0.5652,0.4837,0.5549,1.0386,left
18.622,4.0678,-0.3022,1.2234,2.0,0.0,0.0,2.0898,8.314,0.1451,0.5898,0.4776,0.6674,1.145,left
18.917,4.0956,-0.201,1.3722,2.0,0.0,0.0,2.1053,5.48,0.0956,0.6053,0.4737,0.7808,1.2545,fast_right
19.276,4.1086,-0.0913,1.5166,2.0,0.0,0.0,2.1105,2.48,0.0433,0.6105,0.4724,0.9008,1.3732,left
19.431,4.1086,-0.0913,1.5166,2.0,0.0,0.0,2.1105,2.48,0.0433,0.6105,0.4724,0.9008,1.3732,straight
19.723,4.1006,0.1071,1.7002,2.0,0.0,0.0,2.1033,2.918,0.0509,0.6033,0.4742,0.8833,1.3575,right
20.013,4.0765,0.2435,1.7782,2.0,0.0,0.0,2.0907,6.689,0.1167,0.5907,0.4773,0.7325,1.2098,left
20.317,4.0509,0.3527,1.8224,2.0,0.0,0.0,2.081,9.759,0.1703,0.581,0.4798,0.6096,1.0894,straight
20.624,4.0194,0.4588,1.8892,2.0,0.0,0.0,2.0709,12.799,0.2234,0.5709,0.4823,0.4881,0.9703,left
20.915,3.9725,0.5909,1.9306,2.0,0.0,0.0,2.0591,16.675,0.291,0.5591,0.4852,0.333,0.8182,left
21.212,3.9295,0.6945,2.0026,2.0,0.0,0.0,2.0507,19.795,0.3455,0.5507,0.4873,0.2082,0.6955,straight
21.515,3.8775,0.792,2.1084,2.0,0.0,0.0,2.0377,22.872,0.3992,0.5377,0.4906,0.0851,0.5757,left
21.814,3.8012,0.9079,2.1916,2.0,0.0,0.0,2.0171,26.751,0.4669,0.5171,0.4957,-0.07,0.4257,left
22.117,3.7319,0.9941,2.3086,2.0,0.0,0.0,1.9969,29.854,0.521,0.4969,0.5031,-0.1942,0.3089,left
22.322,3.6822,1.0432,2.4074,2.0,0.0,0.0,1.9794,31.806,0.5551,0.4794,0.5206,-0.2722,0.2484,left
22.623,3.5989,1.1071,2.5574,2.0,0.0,0.0,1.9448,34.698,0.6056,0.4448,0.5552,-0.3879,0.1673,fast_left
22.916,3.5033,1.1596,2.7074,2.0,0.0,0.0,1.8985,37.645,0.657,0.3985,0.6015,-0.5058,0.0957,fast_left
23.212,3.3852,1.2032,2.8574,2.0,0.0,0.0,1.8348,40.978,0.7152,0.3348,0.6652,-0.6391,0.026,fast_left
23.412,3.3035,1.2223,2.9574,2.0,0.0,0.0,1.7869,43.16,0.7533,0.2869,0.7131,-0.7264,-0.0133,left
23.612,3.2208,1.2331,3.0574,2.0,0.0,0.0,1.7352,45.287,0.7904,0.2352,0.7648,-0.8115,-0.0466,left
23.923,3.1139,1.2336,-3.0758,2.0,0.0,0.0,1.6621,47.92,0.8364,0.1621,0.8379,-0.9168,-0.0789,left
24.226,3.0101,1.2184,-2.9258,2.0,0.0,0.0,1.5827,50.34,0.8786,0.0827,0.9173,-1.0,-0.0827,right
24.514,2.9097,1.1879,-2.78,2.0,0.0,0.0,1.4962,52.554,0.9172,0.0038,0.9962,-1.0,-0.0038,right
24.821,2.814,1.1448,-2.672,2.0,0.0,0.0,1.4047,54.585,0.9527,0.0953,0.9047,-1.0,-0.0953,left
