elapsed_s,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,distance,alpha_deg,alpha_rad,dist_error,r_d,r_alpha,reward,action
1.147,1.5,-1.0,0.0,0.5,-1.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,1.5,fast_straight
1.447,1.5056,-1.0,0.0,0.5,-1.0,0.0,1.0056,0.0,0.0,0.4944,0.5056,1.0,1.5056,fast_straight
1.647,1.5306,-1.0,0.0,0.5,-1.0,0.0,1.0306,0.0,0.0,0.4694,0.5306,1.0,1.5306,fast_straight
1.947,1.6056,-1.0,0.0,0.5,-1.0,0.0,1.1056,0.0,0.0,0.3944,0.6056,1.0,1.6056,fast_straight
2.247,1.7256,-1.0,0.0,0.5,-1.0,0.0,1.2256,0.0,0.0,0.2744,0.7256,1.0,1.7256,fast_straight
2.553,1.89,-1.0,0.0,0.5,-1.0,0.0,1.39,0.0,0.0,0.11,0.89,1.0,1.89,fast_straight
2.847,2.07,-1.0,0.0,0.5001,-1.0,0.0,1.5699,0.0,0.0,0.0699,0.9301,1.0,1.9301,straight
3.147,2.2444,-1.0,0.0,0.6201,-1.0,0.0,1.6243,0.0,0.0,0.1243,0.8757,1.0,1.8757,straight
3.347,2.345,-1.0,0.0,0.7001,-1.0,0.0,1.6449,0.0,0.0,0.1449,0.8551,1.0,1.8551,straight
3.654,2.495,-1.0,0.0,0.8204,-1.0,0.0,1.6746,0.0,0.0,0.1746,0.8254,1.0,1.8254,straight
3.953,2.645,-1.0,0.0,0.9402,-1.0,0.0,1.7048,0.0,0.0,0.2048,0.7952,1.0,1.7952,straight
4.253,2.795,-1.0,0.0,1.0603,-1.0,0.0,1.7347,0.0,0.0,0.2347,0.7653,1.0,1.7653,straight
4.552,2.945,-1.0,0.0,1.1802,-1.0,0.0,1.7648,0.0,0.0,0.2648,0.7352,1.0,1.7352,straight
4.864,3.095,-1.0,0.0,1.3002,-1.0,0.0,1.7948,0.0,0.0,0.2948,0.7052,1.0,1.7052,straight
5.148,3.245,-1.0,0.0,1.4201,-1.0,0.0,1.8249,0.0,0.0,0.3249,0.6751,1.0,1.6751,straight
5.349,3.345,-1.0,0.0,1.5001,-1.0,0.0,1.8449,0.0,0.0,0.3449,0.6551,1.0,1.6551,straight
5.66,3.495,-1.0,0.0,1.6203,-1.0,0.0,1.8747,0.0,0.0,0.3747,0.6253,1.0,1.6253,straight
5.96,3.645,-1.0,0.0,1.7404,-1.0,0.0,1.9046,0.0,0.0,0.4046,0.5954,1.0,1.5954,straight
6.249,3.795,-1.0,0.0,1.8601,-1.0,0.0,1.9349,0.0,0.0,0.4349,0.5651,1.0,1.5651,straight
6.449,3.895,-1.0,0.0,1.9401,-1.0,0.0,1.9549,0.0,0.0,0.4549,0.5451,1.0,1.5451,straight
6.649,3.995,-1.0,0.0,2.0201,-1.0,0.0,1.9749,0.0,0.0,0.4749,0.5251,1.0,1.5251,straight
6.961,4.145,-1.0,0.0,2.1403,-1.0,0.0,2.0047,0.0,0.0,0.5047,0.4988,1.0,1.4988,straight
7.261,4.295,-1.0,0.0,2.2603,-1.0,0.0,2.0347,0.0,0.0,0.5347,0.4913,1.0,1.4913,straight
7.561,4.445,-1.0,0.0,2.3805,-1.0,0.0,2.0645,0.0,0.0,0.5645,0.4839,1.0,1.4839,straight
7.848,4.595,-1.0,0.0,2.5,-0.9999,1.5708,2.095,90.003,1.5708,0.595,0.4762,-1.0,-0.5238,left
8.16,4.7394,-0.9999,0.0056,2.5,-0.8797,1.5708,2.2426,93.071,1.6244,0.7426,0.4393,-1.0,-0.5607,left
8.459,4.85,-0.9971,0.0506,2.5,-0.7597,1.5708,2.3619,95.768,1.6715,0.8619,0.4095,-1.0,-0.5905,left
